DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_FD_OVRS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2024-07-31,USD,1795352821.57
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2024-07-31,USD,197957919.617
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2024-06-30,USD,272425915.063
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2024-06-30,USD,561252337.418
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2024-06-30,USD,401210186.137
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2024-06-30,USD,1234888438.618
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2024-05-31,USD,636396188.979
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2024-05-31,USD,458525769.687
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2024-05-31,USD,616768038.158
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2024-05-31,USD,1711689996.824
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2024-04-30,USD,31156147.685
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2024-04-30,USD,1078031526.773
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2024-04-30,USD,483109046.499
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2024-04-30,USD,563766332.589
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRO_NRI,0,2024-03-31,USD,543201079.442
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_FCNRB_NRI,0,2024-03-31,USD,831661903.743
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRERA_NRI,0,2024-03-31,USD,1519218408.719
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRI_DEP,0,2024-03-31,USD,2894081391.904
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRO_NRI,0,2024-02-29,USD,316279926.966
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRERA_NRI,0,2024-02-29,USD,-52836363.014
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRI_DEP,0,2024-02-29,USD,1647986012.159
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_FCNRB_NRI,0,2024-02-29,USD,1384542448.207
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRERA_NRI,0,2024-01-31,USD,-226718414.341
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRO_NRI,0,2024-01-31,USD,346275521.177
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRI_DEP,0,2024-01-31,USD,821372661.992
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_FCNRB_NRI,0,2024-01-31,USD,701815555.156
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_FCNRB_NRI,0,2023-12-31,USD,955592072.621
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRERA_NRI,0,2023-12-31,USD,602704424.372
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRO_NRI,0,2023-12-31,USD,489974701.821
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRI_DEP,0,2023-12-31,USD,2048271198.814
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRI_DEP,0,2023-11-30,USD,1177679837.47
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRO_NRI,0,2023-11-30,USD,381859661.585
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRERA_NRI,0,2023-11-30,USD,363317440.796
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_FCNRB_NRI,0,2023-11-30,USD,432502735.089
