DATAFLOW,AUDST,FREQ,FRG_LIB_ASS_RN,REPYEAREND,REPYEARSTART,TYP_ENT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2012,2011,MTL_FND_COMP,0,2012-03-31,INR,437080000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2012,2011,MTL_FND_COMP,0,2012-03-31,USD,8544000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_OTH_FR_ASS,2012,2011,MTL_FND_COMP,0,2012-03-31,INR,1250000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_OTH_FR_ASS,2012,2011,MTL_FND_COMP,0,2012-03-31,USD,25000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2013,2012,ASST_MGMT_COMP,0,2013-03-31,INR,1730000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2013,2012,ASST_MGMT_COMP,0,2013-03-31,USD,32000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2013,2012,MTL_FND_COMP,0,2013-03-31,INR,33430000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2013,2012,MTL_FND_COMP,0,2013-03-31,USD,615000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_DS,2013,2012,MTL_FND_COMP,0,2013-03-31,INR,0.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_DS,2013,2012,MTL_FND_COMP,0,2013-03-31,USD,0.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_ES,2013,2012,MTL_FND_COMP,0,2013-03-31,INR,32140000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_ES,2013,2012,MTL_FND_COMP,0,2013-03-31,USD,591000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2013,2012,ASST_MGMT_COMP,0,2013-03-31,INR,30880000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2013,2012,ASST_MGMT_COMP,0,2013-03-31,USD,568000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2013,2012,MTL_FND_COMP,0,2013-03-31,INR,382700000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2013,2012,MTL_FND_COMP,0,2013-03-31,USD,7036000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_OTH_FR_ASS,2013,2012,MTL_FND_COMP,0,2013-03-31,INR,1290000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_OTH_FR_ASS,2013,2012,MTL_FND_COMP,0,2013-03-31,USD,24000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2014,2013,ASST_MGMT_COMP,0,2014-03-31,INR,1820000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2014,2013,ASST_MGMT_COMP,0,2014-03-31,USD,30000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2014,2013,MTL_FND_COMP,0,2014-03-31,INR,43470000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2014,2013,MTL_FND_COMP,0,2014-03-31,USD,723000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_DS,2014,2013,MTL_FND_COMP,0,2014-03-31,INR,0.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_DS,2014,2013,MTL_FND_COMP,0,2014-03-31,USD,0.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_ES,2014,2013,MTL_FND_COMP,0,2014-03-31,INR,41960000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_ES,2014,2013,MTL_FND_COMP,0,2014-03-31,USD,698000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2014,2013,ASST_MGMT_COMP,0,2014-03-31,INR,33250000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2014,2013,ASST_MGMT_COMP,0,2014-03-31,USD,553000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2014,2013,MTL_FND_COMP,0,2014-03-31,INR,410500000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2014,2013,MTL_FND_COMP,0,2014-03-31,USD,6830000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_OTH_FR_ASS,2014,2013,MTL_FND_COMP,0,2014-03-31,INR,1510000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_OTH_FR_ASS,2014,2013,MTL_FND_COMP,0,2014-03-31,USD,25000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2015,2014,ASST_MGMT_COMP,0,2015-03-31,INR,2230000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2015,2014,ASST_MGMT_COMP,0,2015-03-31,USD,36000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2015,2014,MTL_FND_COMP,0,2015-03-31,INR,40640000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2015,2014,MTL_FND_COMP,0,2015-03-31,USD,649000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_DS,2015,2014,MTL_FND_COMP,0,2015-03-31,INR,0.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_DS,2015,2014,MTL_FND_COMP,0,2015-03-31,USD,0.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_ES,2015,2014,MTL_FND_COMP,0,2015-03-31,INR,40360000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_ES,2015,2014,MTL_FND_COMP,0,2015-03-31,USD,644000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2015,2014,ASST_MGMT_COMP,0,2015-03-31,INR,38320000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2015,2014,ASST_MGMT_COMP,0,2015-03-31,USD,612000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2015,2014,MTL_FND_COMP,0,2015-03-31,INR,558550000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2015,2014,MTL_FND_COMP,0,2015-03-31,USD,8924000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_OTH_FR_ASS,2015,2014,MTL_FND_COMP,0,2015-03-31,INR,290000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_OTH_FR_ASS,2015,2014,MTL_FND_COMP,0,2015-03-31,USD,5000000.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2016,2015,ASST_MGMT_COMP,0,2016-03-31,INR,3820000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2016,2015,ASST_MGMT_COMP,0,2016-03-31,USD,58000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2016,2015,MTL_FND_COMP,0,2016-03-31,INR,38050000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2016,2015,MTL_FND_COMP,0,2016-03-31,USD,574000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_DS,2016,2015,MTL_FND_COMP,0,2016-03-31,INR,0.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_DS,2016,2015,MTL_FND_COMP,0,2016-03-31,USD,0.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_ES,2016,2015,MTL_FND_COMP,0,2016-03-31,INR,37870000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_ES,2016,2015,MTL_FND_COMP,0,2016-03-31,USD,571000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2016,2015,ASST_MGMT_COMP,0,2016-03-31,INR,45400000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2016,2015,ASST_MGMT_COMP,0,2016-03-31,USD,684000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2016,2015,MTL_FND_COMP,0,2016-03-31,INR,581680000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2016,2015,MTL_FND_COMP,0,2016-03-31,USD,8769000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_OTH_FR_ASS,2016,2015,MTL_FND_COMP,0,2016-03-31,INR,180000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_OTH_FR_ASS,2016,2015,MTL_FND_COMP,0,2016-03-31,USD,3000000.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2017,2016,ASST_MGMT_COMP,0,2017-03-31,INR,4490000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2017,2016,ASST_MGMT_COMP,0,2017-03-31,USD,69000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2017,2016,MTL_FND_COMP,0,2017-03-31,INR,38700000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2017,2016,MTL_FND_COMP,0,2017-03-31,USD,597000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_DS,2017,2016,MTL_FND_COMP,0,2017-03-31,INR,0.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_DS,2017,2016,MTL_FND_COMP,0,2017-03-31,USD,0.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_ES,2017,2016,MTL_FND_COMP,0,2017-03-31,INR,38550000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_ES,2017,2016,MTL_FND_COMP,0,2017-03-31,USD,595000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2017,2016,ASST_MGMT_COMP,0,2017-03-31,INR,56600000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2017,2016,ASST_MGMT_COMP,0,2017-03-31,USD,873000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2017,2016,MTL_FND_COMP,0,2017-03-31,INR,719810000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2017,2016,MTL_FND_COMP,0,2017-03-31,USD,11101000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_OTH_FR_ASS,2017,2016,MTL_FND_COMP,0,2017-03-31,INR,150000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_OTH_FR_ASS,2017,2016,MTL_FND_COMP,0,2017-03-31,USD,2000000.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2018,2017,ASST_MGMT_COMP,0,2018-03-31,INR,6150000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2018,2017,ASST_MGMT_COMP,0,2018-03-31,USD,95000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2018,2017,MTL_FND_COMP,0,2018-03-31,INR,34340000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2018,2017,MTL_FND_COMP,0,2018-03-31,USD,528000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_DS,2018,2017,MTL_FND_COMP,0,2018-03-31,INR,0.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_DS,2018,2017,MTL_FND_COMP,0,2018-03-31,USD,0.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_ES,2018,2017,MTL_FND_COMP,0,2018-03-31,INR,34080000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_ES,2018,2017,MTL_FND_COMP,0,2018-03-31,USD,524000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2018,2017,ASST_MGMT_COMP,0,2018-03-31,INR,139310000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2018,2017,ASST_MGMT_COMP,0,2018-03-31,USD,2142000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2018,2017,MTL_FND_COMP,0,2018-03-31,INR,858470000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2018,2017,MTL_FND_COMP,0,2018-03-31,USD,13198000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_OTH_FR_ASS,2018,2017,MTL_FND_COMP,0,2018-03-31,INR,250000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_OTH_FR_ASS,2018,2017,MTL_FND_COMP,0,2018-03-31,USD,4000000.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2019,2018,ASST_MGMT_COMP,0,2019-03-31,INR,5090000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2019,2018,ASST_MGMT_COMP,0,2019-03-31,USD,74000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2019,2018,MTL_FND_COMP,0,2019-03-31,INR,46540000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2019,2018,MTL_FND_COMP,0,2019-03-31,USD,673000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_DS,2019,2018,MTL_FND_COMP,0,2019-03-31,INR,0.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_DS,2019,2018,MTL_FND_COMP,0,2019-03-31,USD,0.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_ES,2019,2018,MTL_FND_COMP,0,2019-03-31,INR,46380000000
