DATAFLOW,AUDST,FREQ,INVT_CAT_OLD_RN,INVT_CAT_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PORTF_INV,N_A,2002,2001,0,2001-08-31,USD,289000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_FII,N_A,2002,2001,0,2001-08-31,USD,922000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_ACQ_SHAR,N_A,2002,2001,0,2001-09-30,USD,50000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_GOVT_SIA_FIPB,N_A,2002,2001,0,2001-09-30,USD,259000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_RBI,N_A,2002,2001,0,2001-09-30,USD,67000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_DI_IND,N_A,2002,2001,0,2001-09-30,USD,376000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_FII,N_A,2002,2001,0,2001-09-30,USD,-179000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_GDR_ADR,N_A,2002,2001,0,2001-09-30,USD,19000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PORTF_INV,N_A,2002,2001,0,2001-09-30,USD,-160000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_FII,N_A,2002,2001,0,2001-09-30,USD,216000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_ACQ_SHAR,N_A,2002,2001,0,2001-10-31,USD,86000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_GOVT_SIA_FIPB,N_A,2002,2001,0,2001-10-31,USD,92000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_RBI,N_A,2002,2001,0,2001-10-31,USD,26000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_DI_IND,N_A,2002,2001,0,2001-10-31,USD,204000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_FII,N_A,2002,2001,0,2001-10-31,USD,35000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PORTF_INV,N_A,2002,2001,0,2001-10-31,USD,35000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_FII,N_A,2002,2001,0,2001-10-31,USD,239000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_ACQ_SHAR,N_A,2002,2001,0,2001-11-30,USD,206000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_GOVT_SIA_FIPB,N_A,2002,2001,0,2001-11-30,USD,70000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_NRI,N_A,2002,2001,0,2001-11-30,USD,3000000.0
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_RBI,N_A,2002,2001,0,2001-11-30,USD,37000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_DI_IND,N_A,2002,2001,0,2001-11-30,USD,316000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_FII,N_A,2002,2001,0,2001-11-30,USD,70000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PORTF_INV,N_A,2002,2001,0,2001-11-30,USD,70000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_FII,N_A,2002,2001,0,2001-11-30,USD,386000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_ACQ_SHAR,N_A,2002,2001,0,2001-12-31,USD,50000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_GOVT_SIA_FIPB,N_A,2002,2001,0,2001-12-31,USD,271000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_RBI,N_A,2002,2001,0,2001-12-31,USD,26000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_DI_IND,N_A,2002,2001,0,2001-12-31,USD,347000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_FII,N_A,2002,2001,0,2001-12-31,USD,28000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PORTF_INV,N_A,2002,2001,0,2001-12-31,USD,28000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_FII,N_A,2002,2001,0,2001-12-31,USD,375000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_ACQ_SHAR,N_A,2002,2001,0,2002-01-31,USD,84000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_GOVT_SIA_FIPB,N_A,2002,2001,0,2002-01-31,USD,77000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_RBI,N_A,2002,2001,0,2002-01-31,USD,78000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_DI_IND,N_A,2002,2001,0,2002-01-31,USD,239000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_FII,N_A,2002,2001,0,2002-01-31,USD,131000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PORTF_INV,N_A,2002,2001,0,2002-01-31,USD,131000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_FII,N_A,2002,2001,0,2002-01-31,USD,370000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_ACQ_SHAR,N_A,2002,2001,0,2002-02-28,USD,81000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_GOVT_SIA_FIPB,N_A,2002,2001,0,2002-02-28,USD,19000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_RBI,N_A,2002,2001,0,2002-02-28,USD,40000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_DI_IND,N_A,2002,2001,0,2002-02-28,USD,140000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_FII,N_A,2002,2001,0,2002-02-28,USD,271000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PORTF_INV,N_A,2002,2001,0,2002-02-28,USD,271000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_FII,N_A,2002,2001,0,2002-02-28,USD,411000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_ACQ_SHAR,N_A,2002,2001,0,2002-03-31,USD,182000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_GOVT_SIA_FIPB,N_A,2002,2001,0,2002-03-31,USD,544000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_NRI,N_A,2002,2001,0,2002-03-31,USD,2000000.0
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_RBI,N_A,2002,2001,0,2002-03-31,USD,85000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_DI_IND,N_A,2002,2001,0,2002-03-31,USD,813000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_FII,N_A,2002,2001,0,2002-03-31,USD,276000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PORTF_INV,N_A,2002,2001,0,2002-03-31,USD,276000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_FII,N_A,2002,2001,0,2002-03-31,USD,1089000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_ACQ_SHAR,N_A,2003,2002,0,2002-04-30,USD,82000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_GOVT_SIA_FIPB,N_A,2003,2002,0,2002-04-30,USD,36000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_RBI,N_A,2003,2002,0,2002-04-30,USD,56000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_DI_IND,N_A,2003,2002,0,2002-04-30,USD,174000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_FII,N_A,2003,2002,0,2002-04-30,USD,-73000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PORTF_INV,N_A,2003,2002,0,2002-04-30,USD,-73000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_EQT,N_A,2003,2002,0,2002-04-30,USD,174000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_FII,N_A,2003,2002,0,2002-04-30,USD,101000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_ACQ_SHAR,N_A,2003,2002,0,2002-05-31,USD,19000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_GOVT_SIA_FIPB,N_A,2003,2002,0,2002-05-31,USD,212000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_RBI,N_A,2003,2002,0,2002-05-31,USD,260000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_DI_IND,N_A,2003,2002,0,2002-05-31,USD,491000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_FII,N_A,2003,2002,0,2002-05-31,USD,87000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_GDR_ADR,N_A,2003,2002,0,2002-05-31,USD,20000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PORTF_INV,N_A,2003,2002,0,2002-05-31,USD,107000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_EQT,N_A,2003,2002,0,2002-05-31,USD,491000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_FII,N_A,2003,2002,0,2002-05-31,USD,598000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_ACQ_SHAR,N_A,2003,2002,0,2002-06-30,USD,307000000
