DATAFLOW,AUDST,FREQ,MOD_OUTW_REMT_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_TRV,2026,2025,0,2025-04-30,USD,1270444814.44
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_LRS_TTL,2026,2025,0,2025-04-30,USD,2481411676.44
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MANT_CLS_RELV,2026,2025,0,2025-04-30,USD,397973471.21
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_STD_ABD,2026,2025,0,2025-04-30,USD,163559280.64
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DEP,2026,2025,0,2025-04-30,USD,94154687.97
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MED_TRT,2026,2025,0,2025-04-30,USD,5079398.27
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_OTH,2026,2025,0,2025-04-30,USD,9610885.87
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DON,2026,2025,0,2025-04-30,USD,1570815.08
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_GFT,2026,2025,0,2025-04-30,USD,290889501.82
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_INV_EQT_DEB,2026,2025,0,2025-04-30,USD,203442134.51
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_GFT,2025,2024,0,2025-03-31,USD,299585718.63
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MED_TRT,2025,2024,0,2025-03-31,USD,3566631.8
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_OTH,2025,2024,0,2025-03-31,USD,10505282.36
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_PUR_IMV_PROP,2025,2024,0,2025-03-31,USD,45096865.11
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_STD_ABD,2025,2024,0,2025-03-31,USD,160033966.6
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_LRS_TTL,2025,2024,0,2025-03-31,USD,2547571044.84
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_TRV,2025,2024,0,2025-03-31,USD,1125550216.74
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_INV_EQT_DEB,2025,2024,0,2025-03-31,USD,306387193.1
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DON,2025,2024,0,2025-03-31,USD,2201016.16
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MANT_CLS_RELV,2025,2024,0,2025-03-31,USD,421473492.01
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DEP,2025,2024,0,2025-03-31,USD,173170662.33
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MED_TRT,2025,2024,0,2025-02-28,USD,3427948.2
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MANT_CLS_RELV,2025,2024,0,2025-02-28,USD,234990981.5
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_OTH,2025,2024,0,2025-02-28,USD,7383976.2
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_GFT,2025,2024,0,2025-02-28,USD,190822522.7
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_LRS_TTL,2025,2024,0,2025-02-28,USD,1964214757.5
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_STD_ABD,2025,2024,0,2025-02-28,USD,182173749
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DON,2025,2024,0,2025-02-28,USD,587405.5
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_TRV,2025,2024,0,2025-02-28,USD,1090614111.2
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DEP,2025,2024,0,2025-02-28,USD,51616417.3
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_INV_EQT_DEB,2025,2024,0,2025-02-28,USD,173837043.5
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_PUR_IMV_PROP,2025,2024,0,2025-02-28,USD,28760602.4
