DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_FD_OVRS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2024-09-30,USD,29618935190.931
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2024-09-30,USD,100923837940.869
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2024-09-30,USD,31080274824.535
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2024-09-30,USD,161623047956.335
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2024-08-31,USD,100542665520.166
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2024-08-31,USD,29204056484.733
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2024-08-31,USD,29198263485.03
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2024-08-31,USD,158944985489.929
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2024-07-31,USD,28572430742.186
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2024-07-31,USD,28603270028.721
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2024-07-31,USD,99981008293.194
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2024-07-31,USD,157156709064.101
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2024-06-30,USD,100110740289.322
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2024-06-30,USD,27414082594.276
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2024-06-30,USD,155782146714.803
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2024-06-30,USD,28257323831.205
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2024-05-31,USD,99894503546.27
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2024-05-31,USD,26852830256.858
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2024-05-31,USD,154784113540.651
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2024-05-31,USD,28036779737.523
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2024-04-30,USD,153009257014.981
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2024-04-30,USD,99228555150.919
