DATAFLOW,AUDST,FREQ,INTL_INV_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_PIDS_BN_BANKS,2006,2005,0,2006-03-31,INR,23784800000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_PIDS_BN_BANKS,2006,2005,0,2006-03-31,USD,533220000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_PIDS_BN_GG,2006,2005,0,2006-03-31,INR,4923500000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_PIDS_BN_GG,2006,2005,0,2006-03-31,USD,110380000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_PIDS_BN_OS,2006,2005,0,2006-03-31,INR,387335199999.99994
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_PIDS_BN_OS,2006,2005,0,2006-03-31,USD,8683780000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_PIDS_MNY_MAR_INST,2006,2005,0,2006-03-31,INR,9245700000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_PIDS_MNY_MAR_INST,2006,2005,0,2006-03-31,USD,207380000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_PIDS_MNY_MI_GG,2006,2005,0,2006-03-31,INR,9245700000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_PIDS_MNY_MI_GG,2006,2005,0,2006-03-31,USD,207380000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_PI_DEB_SEC,2006,2005,0,2006-03-31,INR,425289200000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_PI_DEB_SEC,2006,2005,0,2006-03-31,USD,9534760000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_PI_EQT_SEC,2006,2005,0,2006-03-31,INR,2441820000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_PI_EQT_SEC,2006,2005,0,2006-03-31,USD,54741960000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_PI_ES_OS,2006,2005,0,2006-03-31,INR,2441820000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_PI_ES_OS,2006,2005,0,2006-03-31,USD,54741960000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_PORTF_INV,2006,2005,0,2006-03-31,INR,2867109200000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_PORTF_INV,2006,2005,0,2006-03-31,USD,64276720000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_NET_IIP,2006,2005,0,2006-03-31,INR,-2674834300000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_NET_IIP,2006,2005,0,2006-03-31,USD,-59998570000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_OI_CUR_DEP,2006,2005,0,2006-03-31,INR,436785800000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_OI_CUR_DEP,2006,2005,0,2006-03-31,USD,9792080000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_OI_CUR_DEP_BANKS,2006,2005,0,2006-03-31,INR,392577900000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_OI_CUR_DEP_BANKS,2006,2005,0,2006-03-31,USD,8801010000
