DATAFLOW,AUDST,COUNTRYCODE,FREQ,FRG_LIB_ASS_RN,MEASURE_RN,REPYEAREND,REPYEARSTART,TYP_ENT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,OTH,AFY,FLA_FR_LIB,FAC_VAL,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,201310000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,OTH,AFY,FLA_FR_LIB,MRKT_VAL,2009,2008,ASST_MGMT_COMP,0,2009-03-31,INR,1600000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,OTH,AFY,FLA_FR_LIB,MRKT_VAL,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,231480000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,SG,AFY,FLA_FR_ASS,MRKT_VAL,2009,2008,ASST_MGMT_COMP,0,2009-03-31,INR,670000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,SG,AFY,FLA_FR_LIB,FAC_VAL,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,2890000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,SG,AFY,FLA_FR_LIB,MRKT_VAL,2009,2008,ASST_MGMT_COMP,0,2009-03-31,INR,920000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,SG,AFY,FLA_FR_LIB,MRKT_VAL,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,3110000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,TW,AFY,FLA_FR_EHA,MRKT_VAL,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,670000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,US,AFY,FLA_FR_ASS,MRKT_VAL,2009,2008,ASST_MGMT_COMP,0,2009-03-31,INR,80000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,US,AFY,FLA_FR_EHA,MRKT_VAL,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,5020000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,US,AFY,FLA_FR_LIB,FAC_VAL,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,5790000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,US,AFY,FLA_FR_LIB,MRKT_VAL,2009,2008,ASST_MGMT_COMP,0,2009-03-31,INR,1310000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,US,AFY,FLA_FR_LIB,MRKT_VAL,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,6850000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,AE,AFY,FLA_FR_ASS,MRKT_VAL,2010,2009,ASST_MGMT_COMP,0,2010-03-31,INR,0.0
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,AE,AFY,FLA_FR_LIB,FAC_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,26990000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,AE,AFY,FLA_FR_LIB,MRKT_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,42310000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,AU,AFY,FLA_FR_EHA,MRKT_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,530000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,AU,AFY,FLA_FR_LIB,FAC_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,610000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,AU,AFY,FLA_FR_LIB,MRKT_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,1090000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,BH,AFY,FLA_FR_LIB,FAC_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,810000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,BH,AFY,FLA_FR_LIB,MRKT_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,1450000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,CA,AFY,FLA_FR_LIB,FAC_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,1620000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,CA,AFY,FLA_FR_LIB,MRKT_VAL,2010,2009,ASST_MGMT_COMP,0,2010-03-31,INR,700000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,CA,AFY,FLA_FR_LIB,MRKT_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,19890000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,CH,AFY,FLA_FR_EHA,MRKT_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,2040000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,CN,AFY,FLA_FR_ASS,MRKT_VAL,2010,2009,ASST_MGMT_COMP,0,2010-03-31,INR,20000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,CN,AFY,FLA_FR_LIB,MRKT_VAL,2010,2009,ASST_MGMT_COMP,0,2010-03-31,INR,2190000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,FR,AFY,FLA_FR_LIB,MRKT_VAL,2010,2009,ASST_MGMT_COMP,0,2010-03-31,INR,940000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,GB,AFY,FLA_FR_ASS,MRKT_VAL,2010,2009,ASST_MGMT_COMP,0,2010-03-31,INR,80000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,GB,AFY,FLA_FR_EHA,MRKT_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,2660000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,GB,AFY,FLA_FR_LIB,FAC_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,7100000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,GB,AFY,FLA_FR_LIB,MRKT_VAL,2010,2009,ASST_MGMT_COMP,0,2010-03-31,INR,1680000000
