DATAFLOW,AUDST,FREQ,INTER_INVS_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB_GG,2019,2018,0,2018-06-30,USD,2113030000.0000002
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB_GG_CL_IMF_OTR_OTH_LNG_TRM,2019,2018,0,2018-06-30,INR,137330200000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB_GG_CL_IMF_OTR_OTH_LNG_TRM,2019,2018,0,2018-06-30,USD,2113030000.0000002
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB_MAWR,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB_OS,2019,2018,0,2018-06-30,INR,99516800000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB_OS,2019,2018,0,2018-06-30,USD,1529990000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB_OS_LNG_TRM,2019,2018,0,2018-06-30,INR,99516800000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB_OS_LNG_TRM,2019,2018,0,2018-06-30,USD,1529990000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB_OS_NFCH_NPISH,2019,2018,0,2018-06-30,INR,93064000000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB_OS_NFCH_NPISH,2019,2018,0,2018-06-30,USD,1430780000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB_OS_NFCH_NPISH_LNG_TRM,2019,2018,0,2018-06-30,INR,93064000000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB_OS_NFCH_NPISH_LNG_TRM,2019,2018,0,2018-06-30,USD,1430780000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB_OS_OFC,2019,2018,0,2018-06-30,INR,6452800000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB_OS_OFC,2019,2018,0,2018-06-30,USD,99210000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB_OS_OFC_LNG_TRM,2019,2018,0,2018-06-30,INR,6452800000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB_OS_OFC_LNG_TRM,2019,2018,0,2018-06-30,USD,99210000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB_OS_SHT_TRM,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LNS_CB_OS_SHT_TRM,2019,2018,0,2018-06-30,USD,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LOANS,2019,2018,0,2018-06-30,INR,469355500000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_LOANS,2019,2018,0,2018-06-30,USD,7033580000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR,2019,2018,0,2018-06-30,INR,1122709000000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR,2019,2018,0,2018-06-30,USD,16657970000.000002
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_CB,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_CB,2019,2018,0,2018-06-30,USD,0.0
