DATAFLOW,AUDST,FREQ,NRI_DEP_OS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2017,2016,0,2017-03-31,INR,820334900000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2017,2016,0,2017-03-31,INR,7577508100000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2017,2016,0,2017-03-31,INR,1361730700000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2016,2015,0,2016-03-31,USD,45315873420
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2016,2015,0,2016-03-31,USD,10144885871
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2016,2015,0,2016-03-31,INR,3005933300000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2016,2015,0,2016-03-31,INR,8419556400000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2016,2015,0,2016-03-31,INR,4740683400000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2016,2015,0,2016-03-31,INR,672939700000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2016,2015,0,2016-03-31,USD,71467847779
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2016,2015,0,2016-03-31,USD,126928607070
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2015,2014,0,2015-03-31,USD,115162571872
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2015,2014,0,2015-03-31,INR,7209971600000
