DATAFLOW,AUDST,CAT_EXT_AST_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:EXTR_ASSIST_RN(1.0),N_A,LOANS,AFY,1990,1989,0,1990-03-31,USD,3086000000
RBI:EXTR_ASSIST_RN(1.0),N_A,NET_INFL_AID,AFY,1990,1989,0,1990-03-31,INR,21170000000
RBI:EXTR_ASSIST_RN(1.0),N_A,NET_INFL_AID,AFY,1990,1989,0,1990-03-31,USD,1272000000
RBI:EXTR_ASSIST_RN(1.0),N_A,TTL_AUTH,AFY,1990,1989,0,1990-03-31,INR,108260000000
RBI:EXTR_ASSIST_RN(1.0),N_A,TTL_AUTH,AFY,1990,1989,0,1990-03-31,USD,6503000000
RBI:EXTR_ASSIST_RN(1.0),N_A,UTL_TTL,AFY,1990,1989,0,1990-03-31,INR,58030000000
RBI:EXTR_ASSIST_RN(1.0),N_A,UTL_TTL,AFY,1990,1989,0,1990-03-31,USD,3485000000
RBI:EXTR_ASSIST_RN(1.0),N_A,AMORT,AFY,1991,1990,0,1991-03-31,INR,23290000000
RBI:EXTR_ASSIST_RN(1.0),N_A,AMORT,AFY,1991,1990,0,1991-03-31,USD,1304000000
RBI:EXTR_ASSIST_RN(1.0),N_A,DSP_TTL,AFY,1991,1990,0,1991-03-31,INR,42830000000
RBI:EXTR_ASSIST_RN(1.0),N_A,DSP_TTL,AFY,1991,1990,0,1991-03-31,USD,2398000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRANTS,AFY,1991,1990,0,1991-03-31,INR,5340000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRANTS,AFY,1991,1990,0,1991-03-31,USD,298000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRNT,AFY,1991,1990,0,1991-03-31,INR,5220000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRNT,AFY,1991,1990,0,1991-03-31,USD,291000000
RBI:EXTR_ASSIST_RN(1.0),N_A,INT,AFY,1991,1990,0,1991-03-31,INR,19540000000
RBI:EXTR_ASSIST_RN(1.0),N_A,INT,AFY,1991,1990,0,1991-03-31,USD,1094000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LN,AFY,1991,1990,0,1991-03-31,INR,76010000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LN,AFY,1991,1990,0,1991-03-31,USD,4236000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LOANS,AFY,1991,1990,0,1991-03-31,INR,61700000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LOANS,AFY,1991,1990,0,1991-03-31,USD,3439000000
RBI:EXTR_ASSIST_RN(1.0),N_A,NET_INFL_AID,AFY,1991,1990,0,1991-03-31,INR,24210000000
RBI:EXTR_ASSIST_RN(1.0),N_A,NET_INFL_AID,AFY,1991,1990,0,1991-03-31,USD,1339000000
RBI:EXTR_ASSIST_RN(1.0),N_A,TTL_AUTH,AFY,1991,1990,0,1991-03-31,INR,81230000000
RBI:EXTR_ASSIST_RN(1.0),N_A,TTL_AUTH,AFY,1991,1990,0,1991-03-31,USD,4527000000
RBI:EXTR_ASSIST_RN(1.0),N_A,UTL_TTL,AFY,1991,1990,0,1991-03-31,INR,67040000000
RBI:EXTR_ASSIST_RN(1.0),N_A,UTL_TTL,AFY,1991,1990,0,1991-03-31,USD,3737000000
RBI:EXTR_ASSIST_RN(1.0),N_A,AMORT,AFY,1992,1991,0,1992-03-31,INR,36500000000
RBI:EXTR_ASSIST_RN(1.0),N_A,AMORT,AFY,1992,1991,0,1992-03-31,USD,1474000000
RBI:EXTR_ASSIST_RN(1.0),N_A,DSP_TTL,AFY,1992,1991,0,1992-03-31,INR,66560000000
