DATAFLOW,AUDST,FREQ,FRG_LIB_ASS_RN,MEASURE_RN,REPYEAREND,REPYEARSTART,TYP_ENT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FAC_VAL,2022,2021,MTL_FND_COMP,0,2022-03-31,USD,5426000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FLA_OTH_FR_LIB,2022,2021,MTL_FND_COMP,0,2022-03-31,INR,4870000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FLA_OTH_FR_LIB,2022,2021,MTL_FND_COMP,0,2022-03-31,USD,64000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,MRKT_VAL,2022,2021,MTL_FND_COMP,0,2022-03-31,INR,1391980000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,MRKT_VAL,2022,2021,MTL_FND_COMP,0,2022-03-31,USD,18362000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FAC_VAL,2023,2022,MTL_FND_COMP,0,2023-03-31,INR,448030000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FAC_VAL,2023,2022,MTL_FND_COMP,0,2023-03-31,USD,5449000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FLA_OTH_FR_LIB,2023,2022,MTL_FND_COMP,0,2023-03-31,INR,5980000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FLA_OTH_FR_LIB,2023,2022,MTL_FND_COMP,0,2023-03-31,USD,73000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,MRKT_VAL,2023,2022,MTL_FND_COMP,0,2023-03-31,INR,1531790000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,MRKT_VAL,2023,2022,MTL_FND_COMP,0,2023-03-31,USD,18631000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FAC_VAL,2024,2023,MTL_FND_COMP,0,2024-03-31,INR,497770000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FAC_VAL,2024,2023,MTL_FND_COMP,0,2024-03-31,USD,5970000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FLA_OTH_FR_LIB,2024,2023,MTL_FND_COMP,0,2024-03-31,INR,4100000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,FLA_OTH_FR_LIB,2024,2023,MTL_FND_COMP,0,2024-03-31,USD,49000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,MRKT_VAL,2024,2023,MTL_FND_COMP,0,2024-03-31,INR,2117470000000
RBI:FR_LIB_MUT_NRH_RN(1.0),N_A,AFY,FLA_FR_LIB,MRKT_VAL,2024,2023,MTL_FND_COMP,0,2024-03-31,USD,25397000000
