DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_MAJ_FR_EXC_RES_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2025-11-28,INR,49820458000000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2025-11-28,USD,18628250000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2025-11-28,INR,9462271000000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2025-11-28,USD,686227120000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2025-11-28,USD,4772450000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2025-11-21,INR,61553632800000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2025-11-21,INR,1660881900000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2025-11-21,INR,50151049600000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2025-11-21,USD,4756540000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2025-11-21,USD,18565720000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2025-11-21,USD,560600000000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2025-11-21,SDR,13711660000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2025-11-21,INR,421620199999.99994
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2025-11-21,USD,688104270000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2025-11-21,INR,9320081100000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2025-11-21,USD,104182010000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2025-11-14,USD,562289800000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2025-11-14,USD,4779400000
