DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_DEF_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:DG_GDP_RN(1.0),N_A,AFY,2021,2020,DEF4,0,2021-03-31,RO,7.8
RBI:DG_GDP_RN(1.0),N_A,AFY,2021,2020,DEF6,0,2021-03-31,RO,9.2
RBI:DG_GDP_RN(1.0),N_A,AFY,2022,2021,DEF1,0,2022-03-31,RO,9.5
RBI:DG_GDP_RN(1.0),N_A,AFY,2022,2021,DEF4,0,2022-03-31,RO,4.3
RBI:DG_GDP_RN(1.0),N_A,AFY,2022,2021,DEF6,0,2022-03-31,RO,4.8
RBI:DG_GDP_RN(1.0),N_A,AFY,2023,2022,DEF1,0,2023-03-31,RO,8.81
RBI:DG_GDP_RN(1.0),N_A,AFY,2023,2022,DEF4,0,2023-03-31,RO,3.7
RBI:DG_GDP_RN(1.0),N_A,AFY,2023,2022,DEF6,0,2023-03-31,RO,4.21
RBI:DG_GDP_RN(1.0),N_A,AFY,2024,2023,DEF1,0,2024-03-31,RO,8.006445
RBI:DG_GDP_RN(1.0),N_A,AFY,2024,2023,DEF4,0,2024-03-31,RO,2.835996
RBI:DG_GDP_RN(1.0),N_A,AFY,2024,2023,DEF6,0,2024-03-31,RO,2.850494
RBI:DG_GDP_RN(1.0),N_A,AFY,2025,2024,DEF1,0,2025-03-31,RO,7.837031
RBI:DG_GDP_RN(1.0),N_A,AFY,2025,2024,DEF4,0,2025-03-31,RO,2.739971
RBI:DG_GDP_RN(1.0),N_A,AFY,2025,2024,DEF6,0,2025-03-31,RO,2.42021
RBI:DG_GDP_RN(1.0),N_A,AFY,2026,2025,DEF1,0,2026-03-31,RO,7.207105
RBI:DG_GDP_RN(1.0),N_A,AFY,2026,2025,DEF4,0,2026-03-31,RO,1.930676
RBI:DG_GDP_RN(1.0),N_A,AFY,2026,2025,DEF6,0,2026-03-31,RO,1.695954
