DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_SGEXP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SG_EXP_RN(1.0),N_A,AFY,2008,2007,SE2,0,2008-03-31,INR,4644620000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2008,2007,SE22,0,2008-03-31,INR,2329360000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2008,2007,SE33,0,2008-03-31,INR,617620000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2007,2006,SE3,0,2007-03-31,INR,2118720000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2007,2006,SE21,0,2007-03-31,INR,1965870000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2007,2006,SE32,0,2007-03-31,INR,389640000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2007,2006,SE22,0,2007-03-31,INR,1955780000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2007,2006,SE2,0,2007-03-31,INR,3921650000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2007,2006,SE33,0,2007-03-31,INR,526460000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2007,2006,SE31,0,2007-03-31,INR,931800000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2006,2005,SE31,0,2006-03-31,INR,840240000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2006,2005,SE3,0,2006-03-31,INR,1900210000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2006,2005,SE32,0,2006-03-31,INR,342980000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2006,2005,SE33,0,2006-03-31,INR,484010000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2006,2005,SE21,0,2006-03-31,INR,1643140000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2006,2005,SE22,0,2006-03-31,INR,1657300000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2006,2005,SE2,0,2006-03-31,INR,3300440000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2005,2004,SE3,0,2005-03-31,INR,1851520000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2005,2004,SE33,0,2005-03-31,INR,447470000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2005,2004,SE2,0,2005-03-31,INR,2864730000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2005,2004,SE21,0,2005-03-31,INR,1435670000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2005,2004,SE22,0,2005-03-31,INR,1429050000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2005,2004,SE31,0,2005-03-31,INR,864210000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2005,2004,SE32,0,2005-03-31,INR,304320000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2004,2003,SE32,0,2004-03-31,INR,285810000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2004,2003,SE3,0,2004-03-31,INR,1665380000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2004,2003,SE31,0,2004-03-31,INR,803960000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2004,2003,SE33,0,2004-03-31,INR,391100000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2004,2003,SE21,0,2004-03-31,INR,1432530000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2004,2003,SE22,0,2004-03-31,INR,1295960000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2004,2003,SE2,0,2004-03-31,INR,2728480000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2003,2002,SE3,0,2003-03-31,INR,1495540000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2003,2002,SE32,0,2003-03-31,INR,271020000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2003,2002,SE31,0,2003-03-31,INR,690270000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2003,2002,SE21,0,2003-03-31,INR,1027860000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2003,2002,SE33,0,2003-03-31,INR,365630000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2003,2002,SE22,0,2003-03-31,INR,1190140000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2003,2002,SE2,0,2003-03-31,INR,2217990000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2002,2001,SE3,0,2002-03-31,INR,1135050000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2002,2001,SE31,0,2002-03-31,INR,615960000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2002,2001,SE32,0,2002-03-31,INR,266800000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2002,2001,SE33,0,2002-03-31,INR,327540000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2002,2001,SE2,0,2002-03-31,INR,2110860000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2002,2001,SE21,0,2002-03-31,INR,970970000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2002,2001,SE22,0,2002-03-31,INR,1139900000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2001,2000,SE33,0,2001-03-31,INR,284830000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2001,2000,SE3,0,2001-03-31,INR,1168230000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2001,2000,SE32,0,2001-03-31,INR,251900000000
RBI:SG_EXP_RN(1.0),N_A,AFY,2001,2000,SE2,0,2001-03-31,INR,2056710000000
