DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_SGEXP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2012,2011,SE12,0,2012-03-31,INR,2770410000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2012,2011,SE11,0,2012-03-31,INR,10745710000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2012,2011,SE1201,0,2012-03-31,INR,1712450000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2012,2011,SE1,0,2012-03-31,INR,13516120000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2012,2011,SE1202,0,2012-03-31,INR,388910000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2011,2010,SE1,0,2011-03-31,INR,11587300000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2011,2010,SE12,0,2011-03-31,INR,2264330000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2011,2010,SE11,0,2011-03-31,INR,9322970000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2011,2010,SE1202,0,2011-03-31,INR,188160000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2011,2010,SE1203,0,2011-03-31,INR,556850000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2011,2010,SE1201,0,2011-03-31,INR,1519320000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2010,2009,SE1203,0,2010-03-31,INR,527020000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2010,2009,SE12,0,2010-03-31,INR,2161760000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2010,2009,SE11,0,2010-03-31,INR,7991540000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2010,2009,SE1,0,2010-03-31,INR,10153300000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2010,2009,SE1202,0,2010-03-31,INR,142590000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2010,2009,SE1201,0,2010-03-31,INR,1492150000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2009,2008,SE1203,0,2009-03-31,INR,412220000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2009,2008,SE1202,0,2009-03-31,INR,164970000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2009,2008,SE11,0,2009-03-31,INR,6819850000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2009,2008,SE12,0,2009-03-31,INR,2003470000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2009,2008,SE1201,0,2009-03-31,INR,1426280000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2009,2008,SE1,0,2009-03-31,INR,8823330000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2008,2007,SE1201,0,2008-03-31,INR,1188620000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2008,2007,SE12,0,2008-03-31,INR,1715200000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2008,2007,SE1,0,2008-03-31,INR,7523240000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2008,2007,SE11,0,2008-03-31,INR,5808050000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2008,2007,SE1202,0,2008-03-31,INR,142610000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2008,2007,SE1203,0,2008-03-31,INR,383970000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2007,2006,SE11,0,2007-03-31,INR,5056990000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2007,2006,SE1,0,2007-03-31,INR,6572800000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2007,2006,SE1203,0,2007-03-31,INR,397320000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2007,2006,SE12,0,2007-03-31,INR,1515820000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2007,2006,SE1202,0,2007-03-31,INR,137870000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2007,2006,SE1201,0,2007-03-31,INR,980630000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2006,2005,SE12,0,2006-03-31,INR,1236480000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2006,2005,SE1201,0,2006-03-31,INR,775590000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2006,2005,SE1,0,2006-03-31,INR,5616820000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2006,2005,SE1203,0,2006-03-31,INR,316650000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2006,2005,SE1202,0,2006-03-31,INR,144240000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2006,2005,SE11,0,2006-03-31,INR,4380340000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2005,2004,SE1201,0,2005-03-31,INR,601330000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2005,2004,SE1,0,2005-03-31,INR,5534280000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2005,2004,SE1202,0,2005-03-31,INR,165220000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2005,2004,SE11,0,2005-03-31,INR,4026700000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2005,2004,SE12,0,2005-03-31,INR,1507580000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2005,2004,SE1203,0,2005-03-31,INR,741030000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2004,2003,SE12,0,2004-03-31,INR,1417090000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2004,2003,SE11,0,2004-03-31,INR,3725940000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2004,2003,SE1202,0,2004-03-31,INR,218100000000
