DATAFLOW,AUDST,FREQ,INDICATORS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND7,1993,1992,0,1993-03-31,RO,11.7605
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND71,1993,1992,0,1993-03-31,RO,7.8043
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND72,1993,1992,0,1993-03-31,RO,3.9563
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND8,1993,1992,0,1993-03-31,RO,15.6431
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND1,1994,1993,0,1994-03-31,RO,0.4344
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND2,1994,1993,0,1994-03-31,RO,2.2846
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND3,1994,1993,0,1994-03-31,RO,0.512
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND4,1994,1993,0,1994-03-31,RO,-1.3383
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND5,1994,1993,0,1994-03-31,RO,0.0407
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND6,1994,1993,0,1994-03-31,RO,15.0162
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND7,1994,1993,0,1994-03-31,RO,11.7795
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND71,1994,1993,0,1994-03-31,RO,7.659
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND72,1994,1993,0,1994-03-31,RO,4.1205
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND8,1994,1993,0,1994-03-31,RO,14.9756
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND1,1995,1994,0,1995-03-31,RO,0.6414
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND2,1995,1994,0,1995-03-31,RO,2.6117
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND3,1995,1994,0,1995-03-31,RO,0.7551
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND4,1995,1994,0,1995-03-31,RO,-1.2154
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND5,1995,1994,0,1995-03-31,RO,-0.4157
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND6,1995,1994,0,1995-03-31,RO,15.2208
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND7,1995,1994,0,1995-03-31,RO,11.5058
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND71,1995,1994,0,1995-03-31,RO,7.5395
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND72,1995,1994,0,1995-03-31,RO,3.9664
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND8,1995,1994,0,1995-03-31,RO,15.6364
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND1,1996,1995,0,1996-03-31,RO,0.7027
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND2,1996,1995,0,1996-03-31,RO,2.5165
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND3,1996,1995,0,1996-03-31,RO,0.7362
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND4,1996,1995,0,1996-03-31,RO,-1.0776
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND5,1996,1995,0,1996-03-31,RO,-0.2185
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND6,1996,1995,0,1996-03-31,RO,14.2357
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND7,1996,1995,0,1996-03-31,RO,10.9647
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND71,1996,1995,0,1996-03-31,RO,7.402
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND72,1996,1995,0,1996-03-31,RO,3.5627
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND8,1996,1995,0,1996-03-31,RO,14.4541
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND1,1997,1996,0,1997-03-31,RO,1.1892
