DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_LIABLTY_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SGL_RN(1.0),N_A,AFY,2014,2013,TLB4,0,2014-03-31,INR,1494964488000.0002
RBI:SGL_RN(1.0),N_A,AFY,2014,2013,TLB13,0,2014-03-31,INR,14023391000
RBI:SGL_RN(1.0),N_A,AFY,2014,2013,TLB3,0,2014-03-31,INR,3057970000000
RBI:SGL_RN(1.0),N_A,AFY,2014,2013,TTL_LIABLITIES,0,2014-03-31,INR,24712630000000
RBI:SGL_RN(1.0),N_A,AFY,2014,2013,TLB2,0,2014-03-31,INR,1458093599999.9998
RBI:SGL_RN(1.0),N_A,AFY,2013,2012,TLB3,0,2013-03-31,INR,2793650000000
RBI:SGL_RN(1.0),N_A,AFY,2013,2012,TLB4,0,2013-03-31,INR,1315579976000
RBI:SGL_RN(1.0),N_A,AFY,2013,2012,TLB12,0,2013-03-31,INR,750186860
RBI:SGL_RN(1.0),N_A,AFY,2013,2012,TLB31,0,2013-03-31,INR,2377897308310
RBI:SGL_RN(1.0),N_A,AFY,2013,2012,TLB13,0,2013-03-31,INR,5537447000
RBI:SGL_RN(1.0),N_A,AFY,2013,2012,TLB15,0,2013-03-31,INR,4867536100000
RBI:SGL_RN(1.0),N_A,AFY,2013,2012,TLB5,0,2013-03-31,INR,1952294710000
RBI:SGL_RN(1.0),N_A,AFY,2013,2012,TLB2,0,2013-03-31,INR,1448124200000.0002
RBI:SGL_RN(1.0),N_A,AFY,2013,2012,TLB6,0,2013-03-31,INR,34462307000
RBI:SGL_RN(1.0),N_A,AFY,2013,2012,TTL_LIABLITIES,0,2013-03-31,INR,22102450000000
RBI:SGL_RN(1.0),N_A,AFY,2013,2012,TLB1,0,2013-03-31,INR,14558350000000
RBI:SGL_RN(1.0),N_A,AFY,2013,2012,TLB11,0,2013-03-31,INR,8832677988000
RBI:SGL_RN(1.0),N_A,AFY,2013,2012,TLB32,0,2013-03-31,INR,415752590690
RBI:SGL_RN(1.0),N_A,AFY,2013,2012,TLB14,0,2013-03-31,INR,851843483330
RBI:SGL_RN(1.0),N_A,AFY,2012,2011,TLB13,0,2012-03-31,INR,6099000000
RBI:SGL_RN(1.0),N_A,AFY,2012,2011,TLB15,0,2012-03-31,INR,4864178000000
RBI:SGL_RN(1.0),N_A,AFY,2012,2011,TLB6,0,2012-03-31,INR,31415000000
RBI:SGL_RN(1.0),N_A,AFY,2012,2011,TLB5,0,2012-03-31,INR,1789766000000
RBI:SGL_RN(1.0),N_A,AFY,2012,2011,TLB14,0,2012-03-31,INR,830827000000
RBI:SGL_RN(1.0),N_A,AFY,2012,2011,TTL_LIABLITIES,0,2012-03-31,INR,19939170000000
