DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_FINANCE_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SG_BOR_RN(1.0),N_A,AFY,2008,2007,SGB2,0,2008-03-31,INR,539250000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2008,2007,SGB3,0,2008-03-31,INR,58530000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2008,2007,SGB,0,2008-03-31,INR,754550000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2008,2007,SGB1,0,2008-03-31,INR,-9330000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2007,2006,SGB,0,2007-03-31,INR,775080000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2007,2006,SGB4,0,2007-03-31,INR,172890000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2007,2006,SGB2,0,2007-03-31,INR,130830000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2007,2006,SGB1,0,2007-03-31,INR,-88870000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2007,2006,SGB3,0,2007-03-31,INR,560230000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2006,2005,SGB2,0,2006-03-31,INR,153050000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2006,2005,SGB3,0,2006-03-31,INR,738150000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2006,2005,SGB4,0,2006-03-31,INR,10080000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2006,2005,SGB,0,2006-03-31,INR,900840000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2006,2005,SGB1,0,2006-03-31,INR,-440000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2005,2004,SGB3,0,2005-03-31,INR,641920000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2005,2004,SGB2,0,2005-03-31,INR,345590000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2005,2004,SGB1,0,2005-03-31,INR,-97810000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2005,2004,SGB4,0,2005-03-31,INR,188040000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2005,2004,SGB,0,2005-03-31,INR,1077740000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2004,2003,SGB,0,2004-03-31,INR,1206310000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2004,2003,SGB3,0,2004-03-31,INR,180030000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2004,2003,SGB2,0,2004-03-31,INR,472860000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2004,2003,SGB4,0,2004-03-31,INR,414020000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2004,2003,SGB1,0,2004-03-31,INR,139400000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2003,2002,SGB3,0,2003-03-31,INR,489660000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2003,2002,SGB,0,2003-03-31,INR,997270000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2003,2002,SGB2,0,2003-03-31,INR,284840000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2003,2002,SGB1,0,2003-03-31,INR,-3720000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2003,2002,SGB4,0,2003-03-31,INR,226490000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2002,2001,SGB1,0,2002-03-31,INR,108950000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2002,2001,SGB,0,2002-03-31,INR,942600000000
