DATAFLOW,AUDST,COMP_COUNT,FREQ,INDS_GRP_RN,REPYEAREND,REPYEARSTART,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,237,QFY,MNF_CHM_PRD,2021,2020,OPR_PFTS_TO_SAL,0,2021-03-31,RPT,17.2474
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,237,QFY,MNF_CHM_PRD,2021,2020,TAX_PROV_TO_EBT,0,2021-03-31,RPT,24.9803
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,113,QFY,MNF_CP_BASIC,2021,2020,CSH_CVG_RATIO,0,2021-03-31,RPT,13.930893
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,113,QFY,MNF_CP_BASIC,2021,2020,EBITDA_TO_SAL,0,2021-03-31,RPT,19.8303
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,113,QFY,MNF_CP_BASIC,2021,2020,INT_BURDEN,0,2021-03-31,RPT,8.732
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,113,QFY,MNF_CP_BASIC,2021,2020,INT_CVG,0,2021-03-31,RPT,11.45217
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,113,QFY,MNF_CP_BASIC,2021,2020,INT_TO_SAL,0,2021-03-31,RPT,1.4235
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,113,QFY,MNF_CP_BASIC,2021,2020,NET_PFT_TO_SAL,0,2021-03-31,RPT,12.6572
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,113,QFY,MNF_CP_BASIC,2021,2020,OPR_PFTS_TO_SAL,0,2021-03-31,RPT,18.005
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,113,QFY,MNF_CP_BASIC,2021,2020,TAX_PROV_TO_EBT,0,2021-03-31,RPT,25.7636
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,27,QFY,MNF_CP_FNP,2021,2020,CSH_CVG_RATIO,0,2021-03-31,RPT,8.645392
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,27,QFY,MNF_CP_FNP,2021,2020,EBITDA_TO_SAL,0,2021-03-31,RPT,15.3867
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,27,QFY,MNF_CP_FNP,2021,2020,INT_BURDEN,0,2021-03-31,RPT,14.3379
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,27,QFY,MNF_CP_FNP,2021,2020,INT_CVG,0,2021-03-31,RPT,6.97453
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,27,QFY,MNF_CP_FNP,2021,2020,INT_TO_SAL,0,2021-03-31,RPT,1.7798
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,27,QFY,MNF_CP_FNP,2021,2020,NET_PFT_TO_SAL,0,2021-03-31,RPT,7.6707
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,27,QFY,MNF_CP_FNP,2021,2020,OPR_PFTS_TO_SAL,0,2021-03-31,RPT,13.9213
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,27,QFY,MNF_CP_FNP,2021,2020,TAX_PROV_TO_EBT,0,2021-03-31,RPT,20.8342
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,84,QFY,MNF_CP_OTH,2021,2020,CSH_CVG_RATIO,0,2021-03-31,RPT,18.541898
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,84,QFY,MNF_CP_OTH,2021,2020,EBITDA_TO_SAL,0,2021-03-31,RPT,19.1046
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,84,QFY,MNF_CP_OTH,2021,2020,INT_BURDEN,0,2021-03-31,RPT,6.6026
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,84,QFY,MNF_CP_OTH,2021,2020,INT_CVG,0,2021-03-31,RPT,15.145471
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,84,QFY,MNF_CP_OTH,2021,2020,INT_TO_SAL,0,2021-03-31,RPT,1.0303
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,84,QFY,MNF_CP_OTH,2021,2020,NET_PFT_TO_SAL,0,2021-03-31,RPT,10.9717
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,84,QFY,MNF_CP_OTH,2021,2020,OPR_PFTS_TO_SAL,0,2021-03-31,RPT,17.6527
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,84,QFY,MNF_CP_OTH,2021,2020,TAX_PROV_TO_EBT,0,2021-03-31,RPT,25.4417
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,13,QFY,MNF_CP_PNV,2021,2020,CSH_CVG_RATIO,0,2021-03-31,RPT,43.158252
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,13,QFY,MNF_CP_PNV,2021,2020,EBITDA_TO_SAL,0,2021-03-31,RPT,20.1952
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,13,QFY,MNF_CP_PNV,2021,2020,INT_BURDEN,0,2021-03-31,RPT,2.7356
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,13,QFY,MNF_CP_PNV,2021,2020,INT_CVG,0,2021-03-31,RPT,36.554518
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,13,QFY,MNF_CP_PNV,2021,2020,INT_TO_SAL,0,2021-03-31,RPT,0.4679
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,13,QFY,MNF_CP_PNV,2021,2020,NET_PFT_TO_SAL,0,2021-03-31,RPT,11.9827
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,13,QFY,MNF_CP_PNV,2021,2020,OPR_PFTS_TO_SAL,0,2021-03-31,RPT,18.696
