DATAFLOW,AUDST,COMP_COUNT,FREQ,PERF_IND_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,INT,2019,2018,0,2019-03-31,INR,1197084100000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,INT,2019,2018,0,2019-03-31,PT,2.0
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,NET_PFT,2019,2018,0,2019-03-31,INR,2859237600000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,NET_PFT,2019,2018,0,2019-03-31,PT,36.2
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,OPR_PFT,2019,2018,0,2019-03-31,INR,5817569200000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,OPR_PFT,2019,2018,0,2019-03-31,PT,10.5
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,OTH_INC,2019,2018,0,2019-03-31,INR,1316384499999.9998
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,OTH_INC,2019,2018,0,2019-03-31,PT,21.1
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,SALES,2019,2018,0,2019-03-31,INR,39097419200000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,SALES,2019,2018,0,2019-03-31,PT,14.0
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,TAX_PROV,2019,2018,0,2019-03-31,INR,1244755200000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,TAX_PROV,2019,2018,0,2019-03-31,PT,15.7
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,VAL_OF_PROD,2019,2018,0,2019-03-31,INR,39453592500000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,VAL_OF_PROD,2019,2018,0,2019-03-31,PT,14.6
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,DEPRC,2020,2019,0,2020-03-31,INR,1925403700000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,DEPRC,2020,2019,0,2020-03-31,PT,25.0
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,EBITDA,2020,2019,0,2020-03-31,INR,6981713600000.001
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,EBITDA,2020,2019,0,2020-03-31,PT,-3.3
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,EBT_BEFORE_NOP,2020,2019,0,2020-03-31,INR,3542885600000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,EBT_BEFORE_NOP,2020,2019,0,2020-03-31,PT,-18.4
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,EXPD,2020,2019,0,2020-03-31,INR,31779992400000.004
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,EXPD,2020,2019,0,2020-03-31,PT,-5.2
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,EXPD_OTH,2020,2019,0,2020-03-31,INR,11821282300000.004
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,EXPD_OTH,2020,2019,0,2020-03-31,PT,2.9
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,EXPD_PNF,2020,2019,0,2020-03-31,INR,1134702900000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,EXPD_PNF,2020,2019,0,2020-03-31,PT,-6.0
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,EXPD_RAW_MATR,2020,2019,0,2020-03-31,INR,14570409700000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,EXPD_RAW_MATR,2020,2019,0,2020-03-31,PT,-10.2
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,EXPD_STAFF_COST,2020,2019,0,2020-03-31,INR,4253597500000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,EXPD_STAFF_COST,2020,2019,0,2020-03-31,PT,8.1
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,GROSS_PFT_EBIT,2020,2019,0,2020-03-31,INR,5056309900000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,GROSS_PFT_EBIT,2020,2019,0,2020-03-31,PT,-10.9
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,INT,2020,2019,0,2020-03-31,INR,1513424300000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,INT,2020,2019,0,2020-03-31,PT,13.6
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,NET_PFT,2020,2019,0,2020-03-31,INR,1152025500000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,NET_PFT,2020,2019,0,2020-03-31,PT,-58.7
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,OPR_PFT,2020,2019,0,2020-03-31,INR,5714436200000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,OPR_PFT,2020,2019,0,2020-03-31,PT,-3.9
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,OTH_INC,2020,2019,0,2020-03-31,INR,1267277400000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,OTH_INC,2020,2019,0,2020-03-31,PT,-0.4
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,SALES,2020,2019,0,2020-03-31,INR,37460110800000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,SALES,2020,2019,0,2020-03-31,PT,-4.2
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,TAX_PROV,2020,2019,0,2020-03-31,INR,931667999999.9999
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,TAX_PROV,2020,2019,0,2020-03-31,PT,-25.0
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,VAL_OF_PROD,2020,2019,0,2020-03-31,INR,37494428600000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,VAL_OF_PROD,2020,2019,0,2020-03-31,PT,-5.0
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,DEPRC,2021,2020,0,2021-03-31,INR,1903729100000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,DEPRC,2021,2020,0,2021-03-31,PT,0.3
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,EBITDA,2021,2020,0,2021-03-31,INR,7503209800000
