DATAFLOW,AUDST,COMP_COUNT,FREQ,PERF_IND_RN,PUC_CLS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,TAX_PROV,ALL_COMP,2016,2015,0,2016-03-31,PT,2.2136
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,TAX_PROV,LES_THN_5,2016,2015,0,2016-03-31,PT,12.9164
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,498,AFY,DEPRC,10_TO_15,2017,2016,0,2017-03-31,PT,2.3084
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,431,AFY,DEPRC,15_TO_25,2017,2016,0,2017-03-31,PT,1.8577
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,803,AFY,DEPRC,25_N_ABOVE,2017,2016,0,2017-03-31,PT,7.1442
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,637,AFY,DEPRC,5_TO_10,2017,2016,0,2017-03-31,PT,3.6564
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,3007,AFY,DEPRC,ALL_COMP,2017,2016,0,2017-03-31,PT,6.4084
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,638,AFY,DEPRC,LES_THN_5,2017,2016,0,2017-03-31,PT,-5.4759
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,498,AFY,EBITDA,10_TO_15,2017,2016,0,2017-03-31,PT,6.7669
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,431,AFY,EBITDA,15_TO_25,2017,2016,0,2017-03-31,PT,8.3055
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,803,AFY,EBITDA,25_N_ABOVE,2017,2016,0,2017-03-31,PT,5.5415
