DATAFLOW,AUDST,COMP_COUNT,FREQ,REPYEAREND,REPYEARSTART,SALE_SZ_CLS_RN,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,500,AFY,2017,2016,100_N_ABOVE,OPR_PFTS_TO_SAL,0,2017-03-31,RPT,16.5946
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,500,AFY,2017,2016,100_N_ABOVE,OTH_INC_NET_PFT,0,2017-03-31,RPT,43.0633
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,500,AFY,2017,2016,100_N_ABOVE,SC_TO_SAL,0,2017-03-31,RPT,10.5842
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,500,AFY,2017,2016,100_N_ABOVE,TAX_PROV_TO_EBT,0,2017-03-31,RPT,22.4871
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,727,AFY,2017,2016,100_TO_500,CORM_TO_SAL,0,2017-03-31,RPT,53.4618
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,727,AFY,2017,2016,100_TO_500,CSH_CVG_RATIO,0,2017-03-31,RPT,2.16648
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,727,AFY,2017,2016,100_TO_500,EBITDA_TO_SAL,0,2017-03-31,RPT,11.3896
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,727,AFY,2017,2016,100_TO_500,EBIT_TO_SAL,0,2017-03-31,RPT,7.6419
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,727,AFY,2017,2016,100_TO_500,INT_BURDEN,0,2017-03-31,RPT,68.7936
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,727,AFY,2017,2016,100_TO_500,INT_CVG,0,2017-03-31,RPT,1.453624
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,727,AFY,2017,2016,100_TO_500,INT_TO_SAL,0,2017-03-31,RPT,5.2572
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,727,AFY,2017,2016,100_TO_500,NET_PFT_TO_SAL,0,2017-03-31,RPT,0.5979
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,727,AFY,2017,2016,100_TO_500,OPR_PFTS_TO_SAL,0,2017-03-31,RPT,8.6199
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,727,AFY,2017,2016,100_TO_500,SC_TO_SAL,0,2017-03-31,RPT,10.4011
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,727,AFY,2017,2016,100_TO_500,TAX_PROV_TO_EBT,0,2017-03-31,RPT,25.5789
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,273,AFY,2017,2016,25_TO_50,CORM_TO_SAL,0,2017-03-31,RPT,48.7607
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,273,AFY,2017,2016,25_TO_50,CSH_CVG_RATIO,0,2017-03-31,RPT,1.27416
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,273,AFY,2017,2016,25_TO_50,EBITDA_TO_SAL,0,2017-03-31,RPT,17.8929
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,273,AFY,2017,2016,25_TO_50,EBIT_TO_SAL,0,2017-03-31,RPT,12.4904
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,273,AFY,2017,2016,25_TO_50,INT_BURDEN,0,2017-03-31,RPT,112.4299
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,273,AFY,2017,2016,25_TO_50,INT_CVG,0,2017-03-31,RPT,0.889443
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,273,AFY,2017,2016,25_TO_50,INT_TO_SAL,0,2017-03-31,RPT,14.0429
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,273,AFY,2017,2016,25_TO_50,NET_PFT_TO_SAL,0,2017-03-31,RPT,-4.7048
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,273,AFY,2017,2016,25_TO_50,OPR_PFTS_TO_SAL,0,2017-03-31,RPT,4.9276
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,273,AFY,2017,2016,25_TO_50,SC_TO_SAL,0,2017-03-31,RPT,13.1096
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,273,AFY,2017,2016,25_TO_50,TAX_PROV_TO_EBT,0,2017-03-31,RPT,21.1268
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,248,AFY,2017,2016,500_TO_1000,CORM_TO_SAL,0,2017-03-31,RPT,51.1001
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,248,AFY,2017,2016,500_TO_1000,CSH_CVG_RATIO,0,2017-03-31,RPT,1.921225
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,248,AFY,2017,2016,500_TO_1000,EBITDA_TO_SAL,0,2017-03-31,RPT,14.1199
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,248,AFY,2017,2016,500_TO_1000,EBIT_TO_SAL,0,2017-03-31,RPT,9.6891
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,248,AFY,2017,2016,500_TO_1000,INT_BURDEN,0,2017-03-31,RPT,75.853
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,248,AFY,2017,2016,500_TO_1000,INT_CVG,0,2017-03-31,RPT,1.31834
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,248,AFY,2017,2016,500_TO_1000,INT_TO_SAL,0,2017-03-31,RPT,7.3494
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,248,AFY,2017,2016,500_TO_1000,NET_PFT_TO_SAL,0,2017-03-31,RPT,-0.2542
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,248,AFY,2017,2016,500_TO_1000,OPR_PFTS_TO_SAL,0,2017-03-31,RPT,11.3433
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,248,AFY,2017,2016,500_TO_1000,SC_TO_SAL,0,2017-03-31,RPT,9.6008
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,248,AFY,2017,2016,500_TO_1000,TAX_PROV_TO_EBT,0,2017-03-31,RPT,26.4417
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,332,AFY,2017,2016,50_TO_100,CORM_TO_SAL,0,2017-03-31,RPT,51.8852
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,332,AFY,2017,2016,50_TO_100,CSH_CVG_RATIO,0,2017-03-31,RPT,0.978108
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,332,AFY,2017,2016,50_TO_100,EBITDA_TO_SAL,0,2017-03-31,RPT,8.3601
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,332,AFY,2017,2016,50_TO_100,EBIT_TO_SAL,0,2017-03-31,RPT,2.2901
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,332,AFY,2017,2016,50_TO_100,INT_CVG,0,2017-03-31,RPT,0.26793
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,332,AFY,2017,2016,50_TO_100,INT_TO_SAL,0,2017-03-31,RPT,8.5472
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,332,AFY,2017,2016,50_TO_100,NET_PFT_TO_SAL,0,2017-03-31,RPT,-11.0441
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,332,AFY,2017,2016,50_TO_100,OPR_PFTS_TO_SAL,0,2017-03-31,RPT,5.0012
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,332,AFY,2017,2016,50_TO_100,SC_TO_SAL,0,2017-03-31,RPT,12.9157
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,332,AFY,2017,2016,50_TO_100,TAX_PROV_TO_EBT,0,2017-03-31,RPT,25.7533
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,3007,AFY,2017,2016,ALL_COMP,CORM_TO_SAL,0,2017-03-31,RPT,49.7332
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,3007,AFY,2017,2016,ALL_COMP,CSH_CVG_RATIO,0,2017-03-31,RPT,4.175301
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,3007,AFY,2017,2016,ALL_COMP,EBITDA_TO_SAL,0,2017-03-31,RPT,18.9425
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,3007,AFY,2017,2016,ALL_COMP,EBIT_TO_SAL,0,2017-03-31,RPT,14.5516
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,3007,AFY,2017,2016,ALL_COMP,INT_BURDEN,0,2017-03-31,RPT,31.1773
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,3007,AFY,2017,2016,ALL_COMP,INT_CVG,0,2017-03-31,RPT,3.207466
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,3007,AFY,2017,2016,ALL_COMP,INT_TO_SAL,0,2017-03-31,RPT,4.5368
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,3007,AFY,2017,2016,ALL_COMP,NET_PFT_TO_SAL,0,2017-03-31,RPT,6.5412
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,3007,AFY,2017,2016,ALL_COMP,OPR_PFTS_TO_SAL,0,2017-03-31,RPT,15.6338
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,3007,AFY,2017,2016,ALL_COMP,OTH_INC_NET_PFT,0,2017-03-31,RPT,50.5832
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,3007,AFY,2017,2016,ALL_COMP,SC_TO_SAL,0,2017-03-31,RPT,10.5609
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,3007,AFY,2017,2016,ALL_COMP,TAX_PROV_TO_EBT,0,2017-03-31,RPT,22.7376
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,927,AFY,2017,2016,LES_CLS_THAN_25,CORM_TO_SAL,0,2017-03-31,RPT,56.2112
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,927,AFY,2017,2016,LES_CLS_THAN_25,EBITDA_TO_SAL,0,2017-03-31,RPT,-15.6647
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,927,AFY,2017,2016,LES_CLS_THAN_25,EBIT_TO_SAL,0,2017-03-31,RPT,-30.982
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,927,AFY,2017,2016,LES_CLS_THAN_25,INT_TO_SAL,0,2017-03-31,RPT,22.074
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,927,AFY,2017,2016,LES_CLS_THAN_25,NET_PFT_TO_SAL,0,2017-03-31,RPT,-59.8627
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,927,AFY,2017,2016,LES_CLS_THAN_25,OPR_PFTS_TO_SAL,0,2017-03-31,RPT,-29.4697
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,927,AFY,2017,2016,LES_CLS_THAN_25,SC_TO_SAL,0,2017-03-31,RPT,18.8357
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,927,AFY,2017,2016,LES_CLS_THAN_25,TAX_PROV_TO_EBT,0,2017-03-31,RPT,21.5113
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,509,AFY,2018,2017,100_N_ABOVE,CORM_TO_SAL,0,2018-03-31,RPT,49.5372
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,509,AFY,2018,2017,100_N_ABOVE,CSH_CVG_RATIO,0,2018-03-31,RPT,5.879265
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,509,AFY,2018,2017,100_N_ABOVE,EBITDA_TO_SAL,0,2018-03-31,RPT,19.3505
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,509,AFY,2018,2017,100_N_ABOVE,EBIT_TO_SAL,0,2018-03-31,RPT,15.3053
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,509,AFY,2018,2017,100_N_ABOVE,INT_BURDEN,0,2018-03-31,RPT,21.5043
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,509,AFY,2018,2017,100_N_ABOVE,INT_CVG,0,2018-03-31,RPT,4.650228
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,509,AFY,2018,2017,100_N_ABOVE,INT_TO_SAL,0,2018-03-31,RPT,3.2913
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,509,AFY,2018,2017,100_N_ABOVE,NET_PFT_TO_SAL,0,2018-03-31,RPT,7.8394
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,509,AFY,2018,2017,100_N_ABOVE,OPR_PFTS_TO_SAL,0,2018-03-31,RPT,16.2977
