DATAFLOW,AUDST,COMP_COUNT,FREQ,IND_CLASF_RN,REPYEAREND,REPYEARSTART,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,465,QFY,ICC_SRV_NON_IT,2015,2014,CORM_TO_SAL,0,2014-09-30,RPT,36.668325457811
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,465,QFY,ICC_SRV_NON_IT,2015,2014,CSH_CVG_RATIO,0,2014-09-30,RPT,4.289115570651
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,465,QFY,ICC_SRV_NON_IT,2015,2014,EBITDA_TO_SAL,0,2014-09-30,RPT,27.515981861484
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,465,QFY,ICC_SRV_NON_IT,2015,2014,EBIT_TO_SAL,0,2014-09-30,RPT,18.921762497467
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,465,QFY,ICC_SRV_NON_IT,2015,2014,INT_BURDEN,0,2014-09-30,RPT,33.904370009458
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,465,QFY,ICC_SRV_NON_IT,2015,2014,INT_CVG,0,2014-09-30,RPT,2.949472294342
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,465,QFY,ICC_SRV_NON_IT,2015,2014,INT_TO_SAL,0,2014-09-30,RPT,6.415304369452
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,465,QFY,ICC_SRV_NON_IT,2015,2014,NET_PFT_TO_SAL,0,2014-09-30,RPT,10.190516024215
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,465,QFY,ICC_SRV_NON_IT,2015,2014,OPR_PFTS_TO_SAL,0,2014-09-30,RPT,18.404827050512
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,465,QFY,ICC_SRV_NON_IT,2015,2014,OTH_INC_NET_PFT,0,2014-09-30,RPT,89.408179029622
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,465,QFY,ICC_SRV_NON_IT,2015,2014,SC_TO_SAL,0,2014-09-30,RPT,7.108751207289
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,465,QFY,ICC_SRV_NON_IT,2015,2014,TAX_PROV_TO_EBT,0,2014-09-30,RPT,15.43750022368
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,1899,QFY,ICC_MANF,2015,2014,CORM_TO_SAL,0,2014-12-31,RPT,57.314370254603
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,1899,QFY,ICC_MANF,2015,2014,CSH_CVG_RATIO,0,2014-12-31,RPT,3.67530365267
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,1899,QFY,ICC_MANF,2015,2014,EBITDA_TO_SAL,0,2014-12-31,RPT,12.611195340512
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,1899,QFY,ICC_MANF,2015,2014,EBIT_TO_SAL,0,2014-12-31,RPT,9.292989964275
RBI:RATIO_LNGNFC_QTR_IND_RN(1.0),N_A,1899,QFY,ICC_MANF,2015,2014,INT_BURDEN,0,2014-12-31,RPT,36.923899342604
