DATAFLOW,AUDST,COMP_COUNT,FREQ,PUC_CLS_RN,REPYEAREND,REPYEARSTART,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,ALL_COMP,2016,2015,OPR_PFTS_TO_SAL,0,2016-03-31,RPT,15.2024
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,ALL_COMP,2016,2015,OTH_INC_NET_PFT,0,2016-03-31,RPT,46.686
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,ALL_COMP,2016,2015,SC_TO_SAL,0,2016-03-31,RPT,9.7215
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,ALL_COMP,2016,2015,TAX_PROV_TO_EBT,0,2016-03-31,RPT,23.1535
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,LES_THN_5,2016,2015,CORM_TO_SAL,0,2016-03-31,RPT,52.2048
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,LES_THN_5,2016,2015,CSH_CVG_RATIO,0,2016-03-31,RPT,3.351896
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,LES_THN_5,2016,2015,EBITDA_TO_SAL,0,2016-03-31,RPT,8.5886
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,LES_THN_5,2016,2015,EBIT_TO_SAL,0,2016-03-31,RPT,6.3472
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,LES_THN_5,2016,2015,INT_BURDEN,0,2016-03-31,RPT,40.3694
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,LES_THN_5,2016,2015,INT_CVG,0,2016-03-31,RPT,2.477123
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,LES_THN_5,2016,2015,INT_TO_SAL,0,2016-03-31,RPT,2.5623
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,LES_THN_5,2016,2015,NET_PFT_TO_SAL,0,2016-03-31,RPT,2.4444
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,LES_THN_5,2016,2015,OPR_PFTS_TO_SAL,0,2016-03-31,RPT,7.1118
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,LES_THN_5,2016,2015,OTH_INC_NET_PFT,0,2016-03-31,RPT,60.4169
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,LES_THN_5,2016,2015,SC_TO_SAL,0,2016-03-31,RPT,7.6088
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,LES_THN_5,2016,2015,TAX_PROV_TO_EBT,0,2016-03-31,RPT,30.9328
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,498,AFY,10_TO_15,2017,2016,CORM_TO_SAL,0,2017-03-31,RPT,51.7096
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,498,AFY,10_TO_15,2017,2016,CSH_CVG_RATIO,0,2017-03-31,RPT,4.280942
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,498,AFY,10_TO_15,2017,2016,EBITDA_TO_SAL,0,2017-03-31,RPT,12.6416
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,498,AFY,10_TO_15,2017,2016,EBIT_TO_SAL,0,2017-03-31,RPT,9.529
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,498,AFY,10_TO_15,2017,2016,INT_BURDEN,0,2017-03-31,RPT,30.9896
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,498,AFY,10_TO_15,2017,2016,INT_CVG,0,2017-03-31,RPT,3.226889
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,498,AFY,10_TO_15,2017,2016,INT_TO_SAL,0,2017-03-31,RPT,2.953
