DATAFLOW,AUDST,COMP_COUNT,FREQ,IND_CLASF_RN,PERF_IND_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,EXPD_PNF,2016,2015,0,2016-03-31,PT,-47.893745507224
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,EXPD_RAW_MATR,2016,2015,0,2016-03-31,INR,192999400000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,EXPD_RAW_MATR,2016,2015,0,2016-03-31,PT,-6.723695879639
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,EXPD_STAFF_COST,2016,2015,0,2016-03-31,INR,224091100000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,EXPD_STAFF_COST,2016,2015,0,2016-03-31,PT,8.230741069523
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,GROSS_PFT_EBIT,2016,2015,0,2016-03-31,INR,488613600000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,GROSS_PFT_EBIT,2016,2015,0,2016-03-31,PT,5.354471489321
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,INT,2016,2015,0,2016-03-31,INR,200649199999.99997
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,INT,2016,2015,0,2016-03-31,PT,9.313980532064
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,NET_PFT,2016,2015,0,2016-03-31,INR,162387300000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,NET_PFT,2016,2015,0,2016-03-31,PT,-16.947085939382
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,OPR_PFT,2016,2015,0,2016-03-31,INR,681727200000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,OPR_PFT,2016,2015,0,2016-03-31,PT,21.914756068446
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,OTH_INC,2016,2015,0,2016-03-31,INR,96121900000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,OTH_INC,2016,2015,0,2016-03-31,PT,-39.850279466648
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,SALES,2016,2015,0,2016-03-31,INR,3247044400000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,SALES,2016,2015,0,2016-03-31,PT,4.878667990008
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,TAX_PROV,2016,2015,0,2016-03-31,INR,74005800000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,547,AFY,ICC_SRV_NON_IT,TAX_PROV,2016,2015,0,2016-03-31,PT,-17.210480331759
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,DEPRC,2017,2016,0,2017-03-31,INR,820263400000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,DEPRC,2017,2016,0,2017-03-31,PT,6.037422034197
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,EBITDA,2017,2016,0,2017-03-31,INR,3606023500000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,EBITDA,2017,2016,0,2017-03-31,PT,11.64896395019
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,EBT_BEFORE_NOP,2017,2016,0,2017-03-31,INR,2018190500000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,EBT_BEFORE_NOP,2017,2016,0,2017-03-31,PT,19.042311831217
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,EXPD,2017,2016,0,2017-03-31,INR,19023248000000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,EXPD,2017,2016,0,2017-03-31,PT,4.684585405937
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,EXPD_OTH,2017,2016,0,2017-03-31,INR,5817553500000.002
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,EXPD_PNF,2017,2016,0,2017-03-31,INR,536391000000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,EXPD_PNF,2017,2016,0,2017-03-31,PT,-1.318207758462
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,EXPD_RAW_MATR,2017,2016,0,2017-03-31,INR,11296108899999.998
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,EXPD_RAW_MATR,2017,2016,0,2017-03-31,PT,5.757238023562
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,EXPD_STAFF_COST,2017,2016,0,2017-03-31,INR,1373194600000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,EXPD_STAFF_COST,2017,2016,0,2017-03-31,PT,8.034444335962
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,GROSS_PFT_EBIT,2017,2016,0,2017-03-31,INR,2785760100000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,GROSS_PFT_EBIT,2017,2016,0,2017-03-31,PT,13.416254567728
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,INT,2017,2016,0,2017-03-31,INR,767569600000.0001
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,INT,2017,2016,0,2017-03-31,PT,0.880399026957
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,NET_PFT,2017,2016,0,2017-03-31,INR,1423611099999.9998
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,NET_PFT,2017,2016,0,2017-03-31,PT,27.958118580909
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,OPR_PFT,2017,2016,0,2017-03-31,INR,3079582100000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,OPR_PFT,2017,2016,0,2017-03-31,PT,12.20765211374
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,OTH_INC,2017,2016,0,2017-03-31,INR,526441400000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,OTH_INC,2017,2016,0,2017-03-31,PT,8.489054265815
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,SALES,2017,2016,0,2017-03-31,INR,21904326800000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,SALES,2017,2016,0,2017-03-31,PT,4.220654672563
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,TAX_PROV,2017,2016,0,2017-03-31,INR,549941900000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1875,AFY,ICC_MANF,TAX_PROV,2017,2016,0,2017-03-31,PT,9.447534065661
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,DEPRC,2017,2016,0,2017-03-31,INR,67018000000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,DEPRC,2017,2016,0,2017-03-31,PT,1.658407243416
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,EBITDA,2017,2016,0,2017-03-31,INR,901063100000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,EBITDA,2017,2016,0,2017-03-31,PT,6.412982183274
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,EBT_BEFORE_NOP,2017,2016,0,2017-03-31,INR,819437800000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,EBT_BEFORE_NOP,2017,2016,0,2017-03-31,PT,7.118740757938
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,EXPD,2017,2016,0,2017-03-31,INR,2217013300000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,EXPD,2017,2016,0,2017-03-31,PT,9.582331697352
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,EXPD_OTH,2017,2016,0,2017-03-31,INR,743925300000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,EXPD_RAW_MATR,2017,2016,0,2017-03-31,INR,50097500000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,EXPD_RAW_MATR,2017,2016,0,2017-03-31,PT,22.948606881048
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,EXPD_STAFF_COST,2017,2016,0,2017-03-31,INR,1422990500000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,EXPD_STAFF_COST,2017,2016,0,2017-03-31,PT,10.238796800962
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,GROSS_PFT_EBIT,2017,2016,0,2017-03-31,INR,834045100000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,GROSS_PFT_EBIT,2017,2016,0,2017-03-31,PT,6.814403233048
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,INT,2017,2016,0,2017-03-31,INR,14607300000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,INT,2017,2016,0,2017-03-31,PT,-7.869441816462
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,NET_PFT,2017,2016,0,2017-03-31,INR,626015700000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,NET_PFT,2017,2016,0,2017-03-31,PT,8.689262933394
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,OPR_PFT,2017,2016,0,2017-03-31,INR,760575700000.0001
