DATAFLOW,AUDST,COMP_COUNT,FREQ,IND_CLASF_RN,REPYEAREND,REPYEARSTART,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,2017,2016,CORM_TO_SAL,0,2017-03-31,RPT,24.26373970036
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,2017,2016,CSH_CVG_RATIO,0,2017-03-31,RPT,3.284279523174
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,2017,2016,EBITDA_TO_SAL,0,2017-03-31,RPT,22.32491204986
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,2017,2016,EBIT_TO_SAL,0,2017-03-31,RPT,12.485566270394
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,2017,2016,INT_BURDEN,0,2017-03-31,RPT,54.442918716314
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,2017,2016,INT_CVG,0,2017-03-31,RPT,1.836786167198
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,2017,2016,INT_TO_SAL,0,2017-03-31,RPT,6.797506695862
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,2017,2016,NET_PFT_TO_SAL,0,2017-03-31,RPT,-0.893808078043
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,2017,2016,OPR_PFTS_TO_SAL,0,2017-03-31,RPT,19.187776094598
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,2017,2016,SC_TO_SAL,0,2017-03-31,RPT,8.521988024329
