DATAFLOW,AUDST,COMP_COUNT,FREQ,INDS_GRP_RN,PERF_IND_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,167,AFY,CONSTRN,PC_SHARE_SAL,2016,2015,0,2016-03-31,PT,5.968855
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,167,AFY,CONSTRN,SALES,2016,2015,0,2016-03-31,INR,1784588800000
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,167,AFY,CONSTRN,SALES,2016,2015,0,2016-03-31,PT,1.0288
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,167,AFY,CONSTRN,TAX_PROV,2016,2015,0,2016-03-31,PT,15.4354
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,21,AFY,ELC_GAS_SPLY,DEPRC,2016,2015,0,2016-03-31,PT,14.8778
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,21,AFY,ELC_GAS_SPLY,EBITDA,2016,2015,0,2016-03-31,PT,21.7993
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,21,AFY,ELC_GAS_SPLY,EXPD,2016,2015,0,2016-03-31,PT,-13.8116
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,21,AFY,ELC_GAS_SPLY,GROSS_PFT_EBIT,2016,2015,0,2016-03-31,PT,23.5853
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,21,AFY,ELC_GAS_SPLY,INT,2016,2015,0,2016-03-31,PT,21.6077
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,21,AFY,ELC_GAS_SPLY,NET_PFT,2016,2015,0,2016-03-31,PT,22.6093
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,21,AFY,ELC_GAS_SPLY,OPR_PFT,2016,2015,0,2016-03-31,PT,33.1432
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,21,AFY,ELC_GAS_SPLY,OTH_INC,2016,2015,0,2016-03-31,PT,-9.4424
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,21,AFY,ELC_GAS_SPLY,PC_SHARE_SAL,2016,2015,0,2016-03-31,PT,3.08319
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,21,AFY,ELC_GAS_SPLY,SALES,2016,2015,0,2016-03-31,INR,921822800000
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,21,AFY,ELC_GAS_SPLY,SALES,2016,2015,0,2016-03-31,PT,-6.5192
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,21,AFY,ELC_GAS_SPLY,TAX_PROV,2016,2015,0,2016-03-31,PT,5.3548
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,2932,AFY,INDS_GRP_ALL_COMP,DEPRC,2016,2015,0,2016-03-31,PT,4.9526
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,2932,AFY,INDS_GRP_ALL_COMP,EBITDA,2016,2015,0,2016-03-31,PT,7.8764
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,2932,AFY,INDS_GRP_ALL_COMP,EXPD,2016,2015,0,2016-03-31,PT,-4.3745
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,2932,AFY,INDS_GRP_ALL_COMP,GROSS_PFT_EBIT,2016,2015,0,2016-03-31,PT,8.7526
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,2932,AFY,INDS_GRP_ALL_COMP,INT,2016,2015,0,2016-03-31,PT,5.0068
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,2932,AFY,INDS_GRP_ALL_COMP,NET_PFT,2016,2015,0,2016-03-31,PT,9.2933
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,2932,AFY,INDS_GRP_ALL_COMP,OPR_PFT,2016,2015,0,2016-03-31,PT,10.2238
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,2932,AFY,INDS_GRP_ALL_COMP,OTH_INC,2016,2015,0,2016-03-31,PT,-2.4146
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,2932,AFY,INDS_GRP_ALL_COMP,PC_SHARE_SAL,2016,2015,0,2016-03-31,PT,100.0
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,2932,AFY,INDS_GRP_ALL_COMP,SALES,2016,2015,0,2016-03-31,INR,29898344400000
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,2932,AFY,INDS_GRP_ALL_COMP,SALES,2016,2015,0,2016-03-31,PT,-1.6035
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,2932,AFY,INDS_GRP_ALL_COMP,TAX_PROV,2016,2015,0,2016-03-31,PT,2.2136
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,203,AFY,IT_CSRS,DEPRC,2016,2015,0,2016-03-31,PT,0.1669
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,203,AFY,IT_CSRS,EBITDA,2016,2015,0,2016-03-31,PT,9.5984
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,203,AFY,IT_CSRS,EXPD,2016,2015,0,2016-03-31,PT,11.0076
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,203,AFY,IT_CSRS,GROSS_PFT_EBIT,2016,2015,0,2016-03-31,PT,10.4573
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,203,AFY,IT_CSRS,INT,2016,2015,0,2016-03-31,PT,0.5519
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,203,AFY,IT_CSRS,NET_PFT,2016,2015,0,2016-03-31,PT,14.453
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,203,AFY,IT_CSRS,OPR_PFT,2016,2015,0,2016-03-31,PT,11.8895
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,203,AFY,IT_CSRS,OTH_INC,2016,2015,0,2016-03-31,PT,-1.0969
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,203,AFY,IT_CSRS,PC_SHARE_SAL,2016,2015,0,2016-03-31,PT,8.947055
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,203,AFY,IT_CSRS,SALES,2016,2015,0,2016-03-31,INR,2675021400000
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,203,AFY,IT_CSRS,SALES,2016,2015,0,2016-03-31,PT,11.2899
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,203,AFY,IT_CSRS,TAX_PROV,2016,2015,0,2016-03-31,PT,8.158
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,47,AFY,MIN_N_QUARY,DEPRC,2016,2015,0,2016-03-31,PT,25.0022
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,47,AFY,MIN_N_QUARY,EBITDA,2016,2015,0,2016-03-31,PT,31.9083
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,47,AFY,MIN_N_QUARY,EXPD,2016,2015,0,2016-03-31,PT,-6.3478
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,47,AFY,MIN_N_QUARY,GROSS_PFT_EBIT,2016,2015,0,2016-03-31,PT,33.7098
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,47,AFY,MIN_N_QUARY,INT,2016,2015,0,2016-03-31,PT,-2.4987
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,47,AFY,MIN_N_QUARY,OPR_PFT,2016,2015,0,2016-03-31,PT,-29.1942
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,47,AFY,MIN_N_QUARY,PC_SHARE_SAL,2016,2015,0,2016-03-31,PT,1.439389
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,47,AFY,MIN_N_QUARY,SALES,2016,2015,0,2016-03-31,INR,430353400000
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,47,AFY,MIN_N_QUARY,SALES,2016,2015,0,2016-03-31,PT,-11.2591
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,47,AFY,MIN_N_QUARY,TAX_PROV,2016,2015,0,2016-03-31,PT,-22.2274
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,1885,AFY,MNF,DEPRC,2016,2015,0,2016-03-31,PT,1.6278
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,1885,AFY,MNF,EBITDA,2016,2015,0,2016-03-31,PT,7.2256
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,1885,AFY,MNF,EXPD,2016,2015,0,2016-03-31,PT,-6.5809
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,1885,AFY,MNF,GROSS_PFT_EBIT,2016,2015,0,2016-03-31,PT,9.0649
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,1885,AFY,MNF,INT,2016,2015,0,2016-03-31,PT,1.6649
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,1885,AFY,MNF,NET_PFT,2016,2015,0,2016-03-31,PT,12.6029
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,1885,AFY,MNF,OPR_PFT,2016,2015,0,2016-03-31,PT,9.6218
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,1885,AFY,MNF,OTH_INC,2016,2015,0,2016-03-31,PT,-4.907
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,1885,AFY,MNF,PC_SHARE_SAL,2016,2015,0,2016-03-31,PT,69.351142
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,1885,AFY,MNF,SALES,2016,2015,0,2016-03-31,INR,20734843400000
