DATAFLOW,AUDST,COMP_COUNT,FREQ,PERF_IND_RN,PUC_CLS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2755,QFY,TAX_PROV,ALL_COMP,2015,2014,0,2014-06-30,PT,23.7622
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,566,QFY,TAX_PROV,LES_THN_5,2015,2014,0,2014-06-30,PT,20.9559
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,435,QFY,DEPRC,10_TO_15,2015,2014,0,2014-09-30,PT,10.4709
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,430,QFY,DEPRC,15_TO_25,2015,2014,0,2014-09-30,PT,6.6654
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,761,QFY,DEPRC,25_N_ABOVE,2015,2014,0,2014-09-30,PT,2.8401
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,617,QFY,DEPRC,5_TO_10,2015,2014,0,2014-09-30,PT,2.0334
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2863,QFY,DEPRC,ALL_COMP,2015,2014,0,2014-09-30,PT,3.5251
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,620,QFY,DEPRC,LES_THN_5,2015,2014,0,2014-09-30,PT,15.4194
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,435,QFY,EBITDA,10_TO_15,2015,2014,0,2014-09-30,PT,11.5882
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,430,QFY,EBITDA,15_TO_25,2015,2014,0,2014-09-30,PT,7.4434
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,761,QFY,EBITDA,25_N_ABOVE,2015,2014,0,2014-09-30,PT,11.9353
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,617,QFY,EBITDA,5_TO_10,2015,2014,0,2014-09-30,PT,6.6473
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2863,QFY,EBITDA,ALL_COMP,2015,2014,0,2014-09-30,PT,11.5526
