DATAFLOW,AUDST,COMP_COUNT,FREQ,PUC_CLS_RN,REPYEAREND,REPYEARSTART,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,602,QFY,5_TO_10,2015,2014,OTH_INC_NET_PFT,0,2014-06-30,RPT,98.4736
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,602,QFY,5_TO_10,2015,2014,SC_TO_SAL,0,2014-06-30,RPT,8.148
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,602,QFY,5_TO_10,2015,2014,TAX_PROV_TO_EBT,0,2014-06-30,RPT,27.371
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,2755,QFY,ALL_COMP,2015,2014,CORM_TO_SAL,0,2014-06-30,RPT,55.938
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,2755,QFY,ALL_COMP,2015,2014,CSH_CVG_RATIO,0,2014-06-30,RPT,4.400337
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,2755,QFY,ALL_COMP,2015,2014,EBITDA_TO_SAL,0,2014-06-30,RPT,16.6032
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,2755,QFY,ALL_COMP,2015,2014,EBIT_TO_SAL,0,2014-06-30,RPT,12.9108
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,2755,QFY,ALL_COMP,2015,2014,INT_BURDEN,0,2014-06-30,RPT,29.2249
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,2755,QFY,ALL_COMP,2015,2014,INT_CVG,0,2014-06-30,RPT,3.421745
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,2755,QFY,ALL_COMP,2015,2014,INT_TO_SAL,0,2014-06-30,RPT,3.7732
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,2755,QFY,ALL_COMP,2015,2014,NET_PFT_TO_SAL,0,2014-06-30,RPT,6.7067
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,2755,QFY,ALL_COMP,2015,2014,OPR_PFTS_TO_SAL,0,2014-06-30,RPT,14.1152
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,2755,QFY,ALL_COMP,2015,2014,OTH_INC_NET_PFT,0,2014-06-30,RPT,37.0971
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,2755,QFY,ALL_COMP,2015,2014,SC_TO_SAL,0,2014-06-30,RPT,8.043
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,2755,QFY,ALL_COMP,2015,2014,TAX_PROV_TO_EBT,0,2014-06-30,RPT,24.9426
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,566,QFY,LES_THN_5,2015,2014,CORM_TO_SAL,0,2014-06-30,RPT,60.1368
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,566,QFY,LES_THN_5,2015,2014,CSH_CVG_RATIO,0,2014-06-30,RPT,4.282114
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,566,QFY,LES_THN_5,2015,2014,EBITDA_TO_SAL,0,2014-06-30,RPT,10.4791
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,566,QFY,LES_THN_5,2015,2014,EBIT_TO_SAL,0,2014-06-30,RPT,7.9692
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,566,QFY,LES_THN_5,2015,2014,INT_BURDEN,0,2014-06-30,RPT,30.708
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,566,QFY,LES_THN_5,2015,2014,INT_CVG,0,2014-06-30,RPT,3.256482
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,566,QFY,LES_THN_5,2015,2014,INT_TO_SAL,0,2014-06-30,RPT,2.4472
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,566,QFY,LES_THN_5,2015,2014,NET_PFT_TO_SAL,0,2014-06-30,RPT,3.7816
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,566,QFY,LES_THN_5,2015,2014,OPR_PFTS_TO_SAL,0,2014-06-30,RPT,9.0551
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,566,QFY,LES_THN_5,2015,2014,OTH_INC_NET_PFT,0,2014-06-30,RPT,37.6572
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,566,QFY,LES_THN_5,2015,2014,SC_TO_SAL,0,2014-06-30,RPT,7.0489
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,566,QFY,LES_THN_5,2015,2014,TAX_PROV_TO_EBT,0,2014-06-30,RPT,30.2347
RBI:RATIO_LNGNFC_PUC_QTR_RN(1.0),N_A,435,QFY,10_TO_15,2015,2014,CORM_TO_SAL,0,2014-09-30,RPT,53.7589
