DATAFLOW,AUDST,COMP_COUNT,FREQ,PERF_IND_RN,REPYEAREND,REPYEARSTART,SALE_SZ_CLS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,280,QFY,SALES,2015,2014,50_TO_100,0,2014-06-30,PT,-18.386
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2755,QFY,SALES,2015,2014,ALL_COMP,0,2014-06-30,PT,7.1385
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,742,QFY,SALES,2015,2014,LES_CLS_THAN_25,0,2014-06-30,PT,-57.2796
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,466,QFY,SAL_SHARE,2015,2014,100_N_ABOVE,0,2014-06-30,PT,86.8804
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,726,QFY,SAL_SHARE,2015,2014,100_TO_500,0,2014-06-30,PT,5.8214
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,279,QFY,SAL_SHARE,2015,2014,25_TO_50,0,2014-06-30,PT,0.3442
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,262,QFY,SAL_SHARE,2015,2014,500_TO_1000,0,2014-06-30,PT,6.1056
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,280,QFY,SAL_SHARE,2015,2014,50_TO_100,0,2014-06-30,PT,0.6657
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2755,QFY,SAL_SHARE,2015,2014,ALL_COMP,0,2014-06-30,PT,100.0
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,742,QFY,SAL_SHARE,2015,2014,LES_CLS_THAN_25,0,2014-06-30,PT,0.1828
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,466,QFY,TAX_PROV,2015,2014,100_N_ABOVE,0,2014-06-30,PT,26.4132
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,726,QFY,TAX_PROV,2015,2014,100_TO_500,0,2014-06-30,PT,-27.9843
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,279,QFY,TAX_PROV,2015,2014,25_TO_50,0,2014-06-30,PT,45.344
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,262,QFY,TAX_PROV,2015,2014,500_TO_1000,0,2014-06-30,PT,18.4649
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,280,QFY,TAX_PROV,2015,2014,50_TO_100,0,2014-06-30,PT,-13.4293
