DATAFLOW,AUDST,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,TYPE_BID_RN,TYPE_LAF_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AUC_LAF_RN(1.0),N_A,D,AMT,2011,2010,N_A,N_A,0,2011-01-05,INR,1267400000000
RBI:AUC_LAF_RN(1.0),N_A,D,PERIOD_DAYS,2011,2010,N_A,N_A,0,2011-01-05,INR,2.0
RBI:AUC_LAF_RN(1.0),N_A,D,CUT_OFF_RT,2011,2010,N_A,N_A,0,2011-01-05,INR,230000000
RBI:AUC_LAF_RN(1.0),N_A,D,NUM,2011,2010,N_A,N_A,0,2011-01-05,INR,86.0
RBI:AUC_LAF_RN(1.0),N_A,D,NUM,2011,2010,N_A,N_A,0,2011-01-04,INR,120.0
RBI:AUC_LAF_RN(1.0),N_A,D,CUT_OFF_RT,2011,2010,N_A,N_A,0,2011-01-04,INR,230000000
RBI:AUC_LAF_RN(1.0),N_A,D,PERIOD_DAYS,2011,2010,N_A,N_A,0,2011-01-04,INR,2.0
RBI:AUC_LAF_RN(1.0),N_A,D,AMT,2011,2010,N_A,N_A,0,2011-01-04,INR,1408000000000
RBI:AUC_LAF_RN(1.0),N_A,D,NUM,2011,2010,N_A,N_A,0,2011-01-03,INR,130.0
RBI:AUC_LAF_RN(1.0),N_A,D,AMT,2011,2010,N_A,N_A,0,2011-01-03,INR,2087500000000
RBI:AUC_LAF_RN(1.0),N_A,D,CUT_OFF_RT,2011,2010,N_A,N_A,0,2011-01-03,INR,230000000
RBI:AUC_LAF_RN(1.0),N_A,D,PERIOD_DAYS,2011,2010,N_A,N_A,0,2011-01-03,INR,2.0
