DATAFLOW,AUDST,DAILY_AVG_TO_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_364_DAY,W,2026,2025,0,2026-01-16,INR,41307040000
RBI:AVG_TURNOVER_RN(1.0),N_A,FOREX,W,2026,2025,0,2026-01-16,INR,156901000000
RBI:AVG_TURNOVER_RN(1.0),N_A,GOVT_SEC,W,2026,2025,0,2026-01-09,INR,1063569896000
RBI:AVG_TURNOVER_RN(1.0),N_A,CORPO_REPO,W,2026,2025,0,2026-01-09,INR,124606000000
RBI:AVG_TURNOVER_RN(1.0),N_A,NOTICE_MONEY,W,2026,2025,0,2026-01-09,INR,5656833333
RBI:AVG_TURNOVER_RN(1.0),N_A,TRI_REPO,W,2026,2025,0,2026-01-09,INR,7710139000000
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_91_DAY,W,2026,2025,0,2026-01-09,INR,31645888000
RBI:AVG_TURNOVER_RN(1.0),N_A,STATE_GOVT_SEC,W,2026,2025,0,2026-01-09,INR,72268816000
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_182_DAY,W,2026,2025,0,2026-01-09,INR,31641424000
RBI:AVG_TURNOVER_RN(1.0),N_A,MKT_REPO,W,2026,2025,0,2026-01-09,INR,6549249399999.999
RBI:AVG_TURNOVER_RN(1.0),N_A,CALL_MONEY,W,2026,2025,0,2026-01-09,INR,318149000000
RBI:AVG_TURNOVER_RN(1.0),N_A,TERM_MONEY,W,2026,2025,0,2026-01-09,INR,12882666666.67
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_CASH_MNG_BILLS,W,2026,2025,0,2026-01-09,INR,0.0
RBI:AVG_TURNOVER_RN(1.0),N_A,GOVT_SEC_RBI,W,2026,2025,0,2026-01-09,INR,121868693500.00002
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_364_DAY,W,2026,2025,0,2026-01-09,INR,41592608000
RBI:AVG_TURNOVER_RN(1.0),N_A,FOREX,W,2026,2025,0,2026-01-09,INR,147411000000
