DATAFLOW,AUDST,FREQ,HI_LW_AVG_RATES_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2024,2023,0,2023-06-30,INR,4.9
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2024,2023,0,2023-06-30,INR,7.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2024,2023,0,2023-06-30,INR,6.543902
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2024,2023,0,2023-05-31,INR,7.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2024,2023,0,2023-05-31,INR,6.555417
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2024,2023,0,2023-05-31,INR,2.85
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2024,2023,0,2023-04-30,INR,6.47675
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2024,2023,0,2023-04-30,INR,6.95
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2024,2023,0,2023-04-30,INR,4.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2023,2022,0,2023-03-31,INR,8.25
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2023,2022,0,2023-03-31,INR,6.494195
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2023,2022,0,2023-03-31,INR,4.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2023,2022,0,2023-02-28,INR,4.5
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2023,2022,0,2023-02-28,INR,6.433348
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2023,2022,0,2023-02-28,INR,6.85
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2023,2022,0,2023-01-31,INR,6.233757
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2023,2022,0,2023-01-31,INR,6.6
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2023,2022,0,2023-01-31,INR,4.3
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2023,2022,0,2022-12-31,INR,4.15
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2023,2022,0,2022-12-31,INR,6.75
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2023,2022,0,2022-12-31,INR,6.214383
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2023,2022,0,2022-11-30,INR,5.944312
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2023,2022,0,2022-11-30,INR,4.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2023,2022,0,2022-11-30,INR,6.3
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2023,2022,0,2022-10-31,INR,6.052326
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2023,2022,0,2022-10-31,INR,4.1
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2023,2022,0,2022-10-31,INR,6.35
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2023,2022,0,2022-09-30,INR,6.25
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2023,2022,0,2022-09-30,INR,5.303963
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2023,2022,0,2022-09-30,INR,3.8
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2023,2022,0,2022-08-31,INR,5.7
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2023,2022,0,2022-08-31,INR,5.009573
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2023,2022,0,2022-08-31,INR,3.25
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2023,2022,0,2022-07-31,INR,4.786125
