DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,WEEKLY_CALL_MONEY_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2024-12-27,PT,5.1
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2024-12-27,PT,6.7213285
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2024-12-27,PT,7.0
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2024-12-20,PT,7.0
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2024-12-20,PT,5.1
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2024-12-20,PT,6.7083381792
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2024-12-13,PT,6.6473828
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2024-12-13,PT,6.9
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2024-12-13,PT,5.5
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2024-12-06,PT,6.75
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2024-12-06,PT,5.1
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2024-12-06,PT,6.4843968
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2024-11-29,PT,6.7014248
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2024-11-29,PT,6.9
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2024-11-29,PT,5.1
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2024-11-22,PT,6.56880225
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2024-11-22,PT,6.9
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2024-11-22,PT,5.1
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2024-11-15,PT,5.1
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2024-11-15,PT,6.42246875
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2024-11-15,PT,6.72
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2024-11-08,PT,6.55
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2024-11-08,PT,6.3843734
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2024-11-08,PT,5.1
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2024-11-01,PT,6.50836775
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2024-11-01,PT,5.1
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2024-11-01,PT,6.75
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2024-10-25,PT,6.6357214
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2024-10-25,PT,6.9
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2024-10-25,PT,5.1
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2024-10-18,PT,6.6
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2024-10-18,PT,5.0
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2024-10-18,PT,6.428077
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MIN_BORR_LEND_AMT,2024-10-11,PT,5.1
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,WAR_CALL,2024-10-11,PT,6.4280682
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2024-10-11,PT,6.75
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2025,2024,0,MAX_BORR_LEND_AMT,2024-10-04,PT,6.9
