DATAFLOW,AUDST,BASE_PER,BASE_WEIGHT,CORE_INF_INDS_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,3.22,INF_COAL,AFY,2006,2005,0,2006-03-31,PT,6.59699542782495
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,26.68,INF_COMP_INDX,AFY,2006,2005,0,2006-03-31,PT,6.06217616580311
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,4.17,INF_CRD_OIL,AFY,2006,2005,0,2006-03-31,PT,-5.32591414944356
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,10.17,INF_ELECTY,AFY,2006,2005,0,2006-03-31,PT,5.12114537444934
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,2.0,INF_REF_PRD,AFY,2006,2005,0,2006-03-31,PT,2.14195716085678
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,5.13,INF_STL,AFY,2006,2005,0,2006-03-31,PT,10.81593927893738
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,2.41,INF_CEMENT,AFY,2006,2005,0,2006-03-31,PT,12.4
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,4.38,INF_COAL,AFY,2006,2005,0,2006-03-31,PT,6.6
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,37.9,INF_COMP_INDX,AFY,2006,2005,0,2006-03-31,PT,3.9
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,5.22,INF_CRD_OIL,AFY,2006,2005,0,2006-03-31,PT,-5.2
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,10.32,INF_ELECTY,AFY,2006,2005,0,2006-03-31,PT,5.1
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,1.25,INF_FRTZ,AFY,2006,2005,0,2006-03-31,PT,0.6
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,1.71,INF_NAT_GAS,AFY,2006,2005,0,2006-03-31,PT,1.4
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,5.94,INF_REF_PRD,AFY,2006,2005,0,2006-03-31,PT,2.1
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,6.68,INF_STL,AFY,2006,2005,0,2006-03-31,PT,7.0
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,1.99,INF_CEMENT,AFY,2007,2006,0,2007-03-31,PT,9.15438324282389
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,3.22,INF_COAL,AFY,2007,2006,0,2007-03-31,PT,5.88235294117647
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,26.68,INF_COMP_INDX,AFY,2007,2006,0,2007-03-31,PT,9.23302393746947
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,4.17,INF_CRD_OIL,AFY,2007,2006,0,2007-03-31,PT,5.6255247691016
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,10.17,INF_ELECTY,AFY,2007,2006,0,2007-03-31,PT,7.2289156626506
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,2.0,INF_REF_PRD,AFY,2007,2006,0,2007-03-31,PT,12.91118421052632
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,5.13,INF_STL,AFY,2007,2006,0,2007-03-31,PT,13.08219178082192
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,2.41,INF_CEMENT,AFY,2007,2006,0,2007-03-31,PT,9.07473309608541
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,4.38,INF_COAL,AFY,2007,2006,0,2007-03-31,PT,5.90994371482176
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,37.9,INF_COMP_INDX,AFY,2007,2006,0,2007-03-31,PT,8.37343599615014
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,5.22,INF_CRD_OIL,AFY,2007,2006,0,2007-03-31,PT,5.48523206751055
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,10.32,INF_ELECTY,AFY,2007,2006,0,2007-03-31,PT,7.32635585156993
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,1.25,INF_FRTZ,AFY,2007,2006,0,2007-03-31,PT,3.18091451292247
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,1.71,INF_NAT_GAS,AFY,2007,2006,0,2007-03-31,PT,-1.4792899408284
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,5.94,INF_REF_PRD,AFY,2007,2006,0,2007-03-31,PT,12.92850146914789
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,6.68,INF_STL,AFY,2007,2006,0,2007-03-31,PT,12.80373831775701
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,1.99,INF_CEMENT,AFY,2008,2007,0,2008-03-31,PT,8.06680881307747
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,3.22,INF_COAL,AFY,2008,2007,0,2008-03-31,PT,6.25
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,26.68,INF_COMP_INDX,AFY,2008,2007,0,2008-03-31,PT,5.94812164579606
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,4.17,INF_CRD_OIL,AFY,2008,2007,0,2008-03-31,PT,0.31796502384738
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,10.17,INF_ELECTY,AFY,2008,2007,0,2008-03-31,PT,6.35075720566683
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,2.0,INF_REF_PRD,AFY,2008,2007,0,2008-03-31,PT,6.48215586307356
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,5.13,INF_STL,AFY,2008,2007,0,2008-03-31,PT,6.2083585705633
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,2.41,INF_CEMENT,AFY,2008,2007,0,2008-03-31,PT,8.07504078303426
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,4.38,INF_COAL,AFY,2008,2007,0,2008-03-31,PT,6.20017714791851
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,37.9,INF_COMP_INDX,AFY,2008,2007,0,2008-03-31,PT,5.23978685612789
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,5.22,INF_CRD_OIL,AFY,2008,2007,0,2008-03-31,PT,0.4
