DATAFLOW,AUDST,BASE_PER,BASE_WEIGHT,FREQ,INDS_PROD_CLASS_RN,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,3.98,M,SEC_TRANS_EQP_PRTS,2002,2001,2001-05-31,IX,194.4
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.7,M,SEC_WD_FRN,2002,2001,2001-05-31,IX,91.8
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.26,M,SEC_WD_SILK,2002,2001,2001-05-31,IX,205.7
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,14.0,M,SEC_BAS_CHEM_PROD,2002,2001,2001-06-30,IX,178.7
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,7.45,M,SEC_BAS_MTL_ALLOY,2002,2001,2001-06-30,IX,150.3
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.38,M,SEC_BEV_TOB,2002,2001,2001-06-30,IX,219.4
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,5.52,M,SEC_COTT_TEXT,2002,2001,2001-06-30,IX,125.4
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,9.08,M,SEC_FD_PRD,2002,2001,2001-06-30,IX,122.6
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,0.59,M,SEC_JUTE,2002,2001,2001-06-30,IX,83.1
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,1.14,M,SEC_LEATR,2002,2001,2001-06-30,IX,170.7
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,9.57,M,SEC_MACH_EQP,2002,2001,2001-06-30,IX,182.3
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.81,M,SEC_METL_PRD,2002,2001,2001-06-30,IX,149.7
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,4.4,M,SEC_NON_MET_MIN,2002,2001,2001-06-30,IX,222.8
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.56,M,SEC_OTHR_MNF,2002,2001,2001-06-30,IX,161.1
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.65,M,SEC_PPR_PRNT,2002,2001,2001-06-30,IX,166.3
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,5.73,M,SEC_RUBR_PLAS,2002,2001,2001-06-30,IX,172.4
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.54,M,SEC_TEXT_PROD,2002,2001,2001-06-30,IX,151.4
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,3.98,M,SEC_TRANS_EQP_PRTS,2002,2001,2001-06-30,IX,186.5
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.7,M,SEC_WD_FRN,2002,2001,2001-06-30,IX,94.1
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.26,M,SEC_WD_SILK,2002,2001,2001-06-30,IX,244.9
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,14.0,M,SEC_BAS_CHEM_PROD,2002,2001,2001-07-31,IX,185.1
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,7.45,M,SEC_BAS_MTL_ALLOY,2002,2001,2001-07-31,IX,153.0
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.38,M,SEC_BEV_TOB,2002,2001,2001-07-31,IX,217.8
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,5.52,M,SEC_COTT_TEXT,2002,2001,2001-07-31,IX,131.4
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,9.08,M,SEC_FD_PRD,2002,2001,2001-07-31,IX,109.2
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,0.59,M,SEC_JUTE,2002,2001,2001-07-31,IX,89.3
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,1.14,M,SEC_LEATR,2002,2001,2001-07-31,IX,184.5
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,9.57,M,SEC_MACH_EQP,2002,2001,2001-07-31,IX,193.7
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.81,M,SEC_METL_PRD,2002,2001,2001-07-31,IX,150.2
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,4.4,M,SEC_NON_MET_MIN,2002,2001,2001-07-31,IX,203.2
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.56,M,SEC_OTHR_MNF,2002,2001,2001-07-31,IX,174.7
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.65,M,SEC_PPR_PRNT,2002,2001,2001-07-31,IX,161.8
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,5.73,M,SEC_RUBR_PLAS,2002,2001,2001-07-31,IX,170.3
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.54,M,SEC_TEXT_PROD,2002,2001,2001-07-31,IX,152.1
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,3.98,M,SEC_TRANS_EQP_PRTS,2002,2001,2001-07-31,IX,190.2
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.7,M,SEC_WD_FRN,2002,2001,2001-07-31,IX,98.5
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.26,M,SEC_WD_SILK,2002,2001,2001-07-31,IX,224.4
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,14.0,M,SEC_BAS_CHEM_PROD,2002,2001,2001-08-31,IX,185.7
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,7.45,M,SEC_BAS_MTL_ALLOY,2002,2001,2001-08-31,IX,154.4
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.38,M,SEC_BEV_TOB,2002,2001,2001-08-31,IX,231.6
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,5.52,M,SEC_COTT_TEXT,2002,2001,2001-08-31,IX,124.7
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,9.08,M,SEC_FD_PRD,2002,2001,2001-08-31,IX,111.4
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,0.59,M,SEC_JUTE,2002,2001,2001-08-31,IX,103.5
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,1.14,M,SEC_LEATR,2002,2001,2001-08-31,IX,181.7
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,9.57,M,SEC_MACH_EQP,2002,2001,2001-08-31,IX,199.1
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.81,M,SEC_METL_PRD,2002,2001,2001-08-31,IX,133.9
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,4.4,M,SEC_NON_MET_MIN,2002,2001,2001-08-31,IX,210.0
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.56,M,SEC_OTHR_MNF,2002,2001,2001-08-31,IX,176.6
