DATAFLOW,AUDST,FREQ,IIP_SEC_RN,PRJ_STS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_PETRO_CHEM,PRJ_STATUS_DEL,1996,1995,0,1996-03-31,PN,2.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_PETRO_CHEM,PRJ_STATUS_ON_SCH,1996,1995,0,1996-03-31,PN,3.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_PETRO_CHEM,PRJ_STATUS_WT_DOC,1996,1995,0,1996-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_PWR,PRJ_STATUS_AHD,1996,1995,0,1996-03-31,PN,3.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_PWR,PRJ_STATUS_DEL,1996,1995,0,1996-03-31,PN,23.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_PWR,PRJ_STATUS_ON_SCH,1996,1995,0,1996-03-31,PN,5.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_PWR,PRJ_STATUS_WT_DOC,1996,1995,0,1996-03-31,PN,1.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_RLWY,PRJ_STATUS_AHD,1996,1995,0,1996-03-31,PN,2.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_RLWY,PRJ_STATUS_DEL,1996,1995,0,1996-03-31,PN,28.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_RLWY,PRJ_STATUS_ON_SCH,1996,1995,0,1996-03-31,PN,11.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_RLWY,PRJ_STATUS_WT_DOC,1996,1995,0,1996-03-31,PN,5.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_STEEL,PRJ_STATUS_AHD,1996,1995,0,1996-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_STEEL,PRJ_STATUS_DEL,1996,1995,0,1996-03-31,PN,2.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_STEEL,PRJ_STATUS_ON_SCH,1996,1995,0,1996-03-31,PN,5.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_STEEL,PRJ_STATUS_WT_DOC,1996,1995,0,1996-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_SURF_TRANSP,PRJ_STATUS_AHD,1996,1995,0,1996-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_SURF_TRANSP,PRJ_STATUS_DEL,1996,1995,0,1996-03-31,PN,9.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_SURF_TRANSP,PRJ_STATUS_ON_SCH,1996,1995,0,1996-03-31,PN,3.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_SURF_TRANSP,PRJ_STATUS_WT_DOC,1996,1995,0,1996-03-31,PN,1.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_TEL_COMM,PRJ_STATUS_AHD,1996,1995,0,1996-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_TEL_COMM,PRJ_STATUS_DEL,1996,1995,0,1996-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_TEL_COMM,PRJ_STATUS_ON_SCH,1996,1995,0,1996-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_TEL_COMM,PRJ_STATUS_WT_DOC,1996,1995,0,1996-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_URBN_DEV,PRJ_STATUS_AHD,1996,1995,0,1996-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_URBN_DEV,PRJ_STATUS_DEL,1996,1995,0,1996-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_URBN_DEV,PRJ_STATUS_ON_SCH,1996,1995,0,1996-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_URBN_DEV,PRJ_STATUS_WT_DOC,1996,1995,0,1996-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_ATM_ENG,PRJ_STATUS_AHD,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_ATM_ENG,PRJ_STATUS_DEL,1997,1996,0,1997-03-31,PN,5.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_ATM_ENG,PRJ_STATUS_ON_SCH,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_ATM_ENG,PRJ_STATUS_WT_DOC,1997,1996,0,1997-03-31,PN,1.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_COAL,PRJ_STATUS_AHD,1997,1996,0,1997-03-31,PN,2.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_COAL,PRJ_STATUS_DEL,1997,1996,0,1997-03-31,PN,13.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_COAL,PRJ_STATUS_ON_SCH,1997,1996,0,1997-03-31,PN,9.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_COAL,PRJ_STATUS_WT_DOC,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_CVL_AVN,PRJ_STATUS_AHD,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_CVL_AVN,PRJ_STATUS_DEL,1997,1996,0,1997-03-31,PN,3.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_CVL_AVN,PRJ_STATUS_ON_SCH,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_CVL_AVN,PRJ_STATUS_WT_DOC,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_FIN,PRJ_STATUS_AHD,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_FIN,PRJ_STATUS_DEL,1997,1996,0,1997-03-31,PN,1.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_FIN,PRJ_STATUS_ON_SCH,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_FIN,PRJ_STATUS_WT_DOC,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_FRTZ,PRJ_STATUS_AHD,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_FRTZ,PRJ_STATUS_DEL,1997,1996,0,1997-03-31,PN,3.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_FRTZ,PRJ_STATUS_ON_SCH,1997,1996,0,1997-03-31,PN,3.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_FRTZ,PRJ_STATUS_WT_DOC,1997,1996,0,1997-03-31,PN,1.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_HLT_FML_WFR,PRJ_STATUS_AHD,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_HLT_FML_WFR,PRJ_STATUS_DEL,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_HLT_FML_WFR,PRJ_STATUS_ON_SCH,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_HLT_FML_WFR,PRJ_STATUS_WT_DOC,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_MINES,PRJ_STATUS_AHD,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_MINES,PRJ_STATUS_DEL,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_MINES,PRJ_STATUS_ON_SCH,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_MINES,PRJ_STATUS_WT_DOC,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_OTH,PRJ_STATUS_AHD,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_OTH,PRJ_STATUS_DEL,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_OTH,PRJ_STATUS_ON_SCH,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_OTH,PRJ_STATUS_WT_DOC,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_PETROLEUM,PRJ_STATUS_AHD,1997,1996,0,1997-03-31,PN,4.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_PETROLEUM,PRJ_STATUS_DEL,1997,1996,0,1997-03-31,PN,13.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_PETROLEUM,PRJ_STATUS_ON_SCH,1997,1996,0,1997-03-31,PN,8.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_PETROLEUM,PRJ_STATUS_WT_DOC,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_PETRO_CHEM,PRJ_STATUS_AHD,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_PETRO_CHEM,PRJ_STATUS_DEL,1997,1996,0,1997-03-31,PN,3.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_PETRO_CHEM,PRJ_STATUS_ON_SCH,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_PETRO_CHEM,PRJ_STATUS_WT_DOC,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_PRJ_RN(1.0),N_A,AFY,IIP_PWR,PRJ_STATUS_AHD,1997,1996,0,1997-03-31,PN,2.0
