DATAFLOW,AUDST,BASE_PER,FREQ,INDS_PROD_CLASS_RN,INDX_IP_TYP_RN,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_MACH_EQP,IIP_SEC_BASED,2001,2000,2001-03-31,IX,215.0
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_METL_PRD,IIP_SEC_BASED,2001,2000,2001-03-31,IX,157.4
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_MIN_QUAR,IIP_SEC_BASED,2001,2000,2001-03-31,IX,143.2
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_MNF,IIP_SEC_BASED,2001,2000,2001-03-31,IX,184.9
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_NON_MET_MIN,IIP_SEC_BASED,2001,2000,2001-03-31,IX,256.0
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_OTHR_MNF,IIP_SEC_BASED,2001,2000,2001-03-31,IX,199.7
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_PPR_PRNT,IIP_SEC_BASED,2001,2000,2001-03-31,IX,169.0
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_RUBR_PLAS,IIP_SEC_BASED,2001,2000,2001-03-31,IX,180.8
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_TEXT_PROD,IIP_SEC_BASED,2001,2000,2001-03-31,IX,164.2
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_TRANS_EQP_PRTS,IIP_SEC_BASED,2001,2000,2001-03-31,IX,220.4
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_WD_FRN,IIP_SEC_BASED,2001,2000,2001-03-31,IX,103.9
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_WD_SILK,IIP_SEC_BASED,2001,2000,2001-03-31,IX,221.3
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_BAS_GDS,IIP_USE_BASED,2001,2000,2001-03-31,IX,158.1
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_CAP_GDS,IIP_USE_BASED,2001,2000,2001-03-31,IX,192.2
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_CONS_DUR,IIP_USE_BASED,2001,2000,2001-03-31,IX,257.2
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_CONS_GDS,IIP_USE_BASED,2001,2000,2001-03-31,IX,187.5
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_CONS_NON_DUR,IIP_USE_BASED,2001,2000,2001-03-31,IX,171.4
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_INTL_GDS,IIP_USE_BASED,2001,2000,2001-03-31,IX,190.6
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_BAS_CHEM_PROD,IIP_SEC_BASED,2002,2001,2001-04-30,IX,170.3
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_BAS_MTL_ALLOY,IIP_SEC_BASED,2002,2001,2001-04-30,IX,151.0
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_BEV_TOB,IIP_SEC_BASED,2002,2001,2001-04-30,IX,212.0
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_COTT_TEXT,IIP_SEC_BASED,2002,2001,2001-04-30,IX,125.0
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_ELECTY,IIP_SEC_BASED,2002,2001,2001-04-30,IX,153.3
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_FD_PRD,IIP_SEC_BASED,2002,2001,2001-04-30,IX,156.4
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_GEN_INDX,IIP_SEC_BASED,2002,2001,2001-04-30,IX,160.4
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_JUTE,IIP_SEC_BASED,2002,2001,2001-04-30,IX,106.2
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_LEATR,IIP_SEC_BASED,2002,2001,2001-04-30,IX,153.8
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_MACH_EQP,IIP_SEC_BASED,2002,2001,2001-04-30,IX,181.9
