DATAFLOW,AUDST,FREQ,INDS_PRI_CHAR_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,WRK_CAP,1992,1991,0,1992-03-31,INR,444680000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,WRK_STAF_WELF_EXPENS,1992,1991,0,1992-03-31,INR,18540000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,ADD_STC_FIN_GDS,1993,1992,0,1993-03-31,PN,67910000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,ADD_STC_MAT_FUEL,1993,1992,0,1993-03-31,PN,121050000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,ADD_STC_SEMI_FIN_GDS,1993,1992,0,1993-03-31,PN,15110000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,DEPREC,1993,1992,0,1993-03-31,INR,144230000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,FIX_CAP,1993,1992,0,1993-03-31,INR,1928710000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,FUEL_CONS,1993,1992,0,1993-03-31,PN,310730000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,GROSS_CAP_FORM,1993,1992,0,1993-03-31,INR,564470000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,GRS_FXD_CAP_FORM,1993,1992,0,1993-03-31,INR,360410000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,INT_PAID,1993,1992,0,1993-03-31,INR,226240000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,INV_CAP,1993,1992,0,1993-03-31,INR,2777290000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,MAN_DAYS_EMP,1993,1992,0,1993-03-31,PN,2715117000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,MAN_DAYS_WRK,1993,1992,0,1993-03-31,PN,2040458000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,MAT_CONSUMED,1993,1992,0,1993-03-31,PN,2236940000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NBR_EMP,1993,1992,0,1993-03-31,PS,8704947.0
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NBR_FACT,1993,1992,0,1993-03-31,PN,119494.0
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NBR_WRKRS,1993,1992,0,1993-03-31,PS,6649310.0
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NET_FIXD_CAPIT_FORMAT,1993,1992,0,1993-03-31,INR,216180000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NET_INCOME,1993,1992,0,1993-03-31,INR,472220000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NET_VALUE_ADDED,1993,1992,0,1993-03-31,INR,712480000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,OUT_STND_LNS,1993,1992,0,1993-03-31,INR,1612870000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,PFT,1993,1992,0,1993-03-31,INR,145370000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,PROD_BY_PROD,1993,1992,0,1993-03-31,PN,3422500000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,PRV_OTH_FNDS,1993,1992,0,1993-03-31,INR,28430000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,RENT_PAID,1993,1992,0,1993-03-31,INR,14010000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TOTAL_PERSNS_ENGAGED,1993,1992,0,1993-03-31,PS,8835952.0
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TOT_EMOLUMENTS,1993,1992,0,1993-03-31,INR,275600000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TOT_INPUTS,1993,1992,0,1993-03-31,PN,2829430000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TTL_ADN_STOCK,1993,1992,0,1993-03-31,PN,204060000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,VAL_OF_OUTPUT,1993,1992,0,1993-03-31,INR,3686140000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,WGS_TO_WRKRS,1993,1992,0,1993-03-31,INR,168310000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,WRK_CAP,1993,1992,0,1993-03-31,INR,624900000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,WRK_STAF_WELF_EXPENS,1993,1992,0,1993-03-31,INR,22830000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,ADD_STC_FIN_GDS,1994,1993,0,1994-03-31,PN,11270000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,ADD_STC_MAT_FUEL,1994,1993,0,1994-03-31,PN,36880000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,ADD_STC_SEMI_FIN_GDS,1994,1993,0,1994-03-31,PN,7020000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,DEPREC,1994,1993,0,1994-03-31,INR,164550000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,FIX_CAP,1994,1993,0,1994-03-31,INR,2244130000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,FUEL_CONS,1994,1993,0,1994-03-31,PN,337250000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,GROSS_CAP_FORM,1994,1993,0,1994-03-31,INR,327410000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,GRS_FXD_CAP_FORM,1994,1993,0,1994-03-31,INR,272230000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,INT_PAID,1994,1993,0,1994-03-31,INR,234550000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,INV_CAP,1994,1993,0,1994-03-31,INR,3205470000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,MAN_DAYS_EMP,1994,1993,0,1994-03-31,PN,2726927000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,MAN_DAYS_WRK,1994,1993,0,1994-03-31,PN,2045434000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,MAT_CONSUMED,1994,1993,0,1994-03-31,PN,2548260000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NBR_EMP,1994,1993,0,1994-03-31,PS,8707909.0
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NBR_FACT,1994,1993,0,1994-03-31,PN,121594.0
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NBR_WRKRS,1994,1993,0,1994-03-31,PS,6632323.0
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NET_FIXD_CAPIT_FORMAT,1994,1993,0,1994-03-31,INR,107680000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NET_INCOME,1994,1993,0,1994-03-31,INR,631650000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NET_VALUE_ADDED,1994,1993,0,1994-03-31,INR,884340000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,OUT_STND_LNS,1994,1993,0,1994-03-31,INR,1627130000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,PFT,1994,1993,0,1994-03-31,INR,285990000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,PROD_BY_PROD,1994,1993,0,1994-03-31,PN,3929600000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,PRV_OTH_FNDS,1994,1993,0,1994-03-31,INR,33780000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,RENT_PAID,1994,1993,0,1994-03-31,INR,18130000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TOTAL_PERSNS_ENGAGED,1994,1993,0,1994-03-31,PS,8837716.0
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TOT_EMOLUMENTS,1994,1993,0,1994-03-31,INR,286400000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TOT_INPUTS,1994,1993,0,1994-03-31,PN,3208550000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TTL_ADN_STOCK,1994,1993,0,1994-03-31,PN,55170000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,VAL_OF_OUTPUT,1994,1993,0,1994-03-31,INR,4257440000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,WGS_TO_WRKRS,1994,1993,0,1994-03-31,INR,175970000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,WRK_CAP,1994,1993,0,1994-03-31,INR,871090000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,WRK_STAF_WELF_EXPENS,1994,1993,0,1994-03-31,INR,25500000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,ADD_STC_FIN_GDS,1995,1994,0,1995-03-31,PN,54370000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,ADD_STC_MAT_FUEL,1995,1994,0,1995-03-31,PN,101580000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,ADD_STC_SEMI_FIN_GDS,1995,1994,0,1995-03-31,PN,20510000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,DEPREC,1995,1994,0,1995-03-31,INR,186750000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,FIX_CAP,1995,1994,0,1995-03-31,INR,2776450000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,FUEL_CONS,1995,1994,0,1995-03-31,PN,403910000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,GROSS_CAP_FORM,1995,1994,0,1995-03-31,INR,771690000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,GRS_FXD_CAP_FORM,1995,1994,0,1995-03-31,INR,595220000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,INT_PAID,1995,1994,0,1995-03-31,INR,267820000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,INV_CAP,1995,1994,0,1995-03-31,INR,3875350000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,MAN_DAYS_EMP,1995,1994,0,1995-03-31,PN,2854829000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,MAN_DAYS_WRK,1995,1994,0,1995-03-31,PN,2163012000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,MAT_CONSUMED,1995,1994,0,1995-03-31,PN,3116750000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NBR_EMP,1995,1994,0,1995-03-31,PS,9102407.0
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NBR_FACT,1995,1994,0,1995-03-31,PN,123010.0
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NBR_WRKRS,1995,1994,0,1995-03-31,PS,6970116.0
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NET_FIXD_CAPIT_FORMAT,1995,1994,0,1995-03-31,INR,408470000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NET_INCOME,1995,1994,0,1995-03-31,INR,793900000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NET_VALUE_ADDED,1995,1994,0,1995-03-31,INR,1085170000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,OUT_STND_LNS,1995,1994,0,1995-03-31,INR,2063710000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,PFT,1995,1994,0,1995-03-31,INR,372080000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,PROD_BY_PROD,1995,1994,0,1995-03-31,PN,4804180000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,PRV_OTH_FNDS,1995,1994,0,1995-03-31,INR,37770000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,RENT_PAID,1995,1994,0,1995-03-31,INR,23450000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TOTAL_PERSNS_ENGAGED,1995,1994,0,1995-03-31,PS,9227097.0
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TOT_EMOLUMENTS,1995,1994,0,1995-03-31,INR,353420000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TOT_INPUTS,1995,1994,0,1995-03-31,PN,3907950000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TTL_ADN_STOCK,1995,1994,0,1995-03-31,PN,176470000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,VAL_OF_OUTPUT,1995,1994,0,1995-03-31,INR,5179870000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,WGS_TO_WRKRS,1995,1994,0,1995-03-31,INR,220190000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,WRK_CAP,1995,1994,0,1995-03-31,INR,872960000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,WRK_STAF_WELF_EXPENS,1995,1994,0,1995-03-31,INR,30640000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,ADD_STC_FIN_GDS,1996,1995,0,1996-03-31,PN,81200000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,ADD_STC_MAT_FUEL,1996,1995,0,1996-03-31,PN,99740000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,ADD_STC_SEMI_FIN_GDS,1996,1995,0,1996-03-31,PN,34100000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,DEPREC,1996,1995,0,1996-03-31,INR,236260000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,FIX_CAP,1996,1995,0,1996-03-31,INR,3484680000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,FUEL_CONS,1996,1995,0,1996-03-31,PN,485090000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,GROSS_CAP_FORM,1996,1995,0,1996-03-31,INR,906240000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,GRS_FXD_CAP_FORM,1996,1995,0,1996-03-31,INR,691200000000
