DATAFLOW,AUDST,BASE_PER,BASE_WEIGHT,CORE_INF_INDS_RN,FREQ,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,37.9,OVR_ALL_INDX,AFY,2011,2010,2011-03-31,IX,138.4
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,2.41,INF_CEMENT,AFY,2012,2011,2012-03-31,IX,175.2
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,4.38,INF_COAL,AFY,2012,2011,2012-03-31,IX,141.5
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,5.22,INF_CRD_OIL,AFY,2012,2011,2012-03-31,IX,112.1
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,10.32,INF_ELECTY,AFY,2012,2011,2012-03-31,IX,149.3
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,1.25,INF_FRTZ,AFY,2012,2011,2012-03-31,IX,103.8
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,1.71,INF_NAT_GAS,AFY,2012,2011,2012-03-31,IX,149.8
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,5.94,INF_REF_PRD,AFY,2012,2011,2012-03-31,IX,133.7
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,6.68,INF_STL,AFY,2012,2011,2012-03-31,IX,174.0
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,37.9,OVR_ALL_INDX,AFY,2012,2011,2012-03-31,IX,145.3
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,2.41,INF_CEMENT,AFY,2013,2012,2013-03-31,IX,188.7
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,4.38,INF_COAL,AFY,2013,2012,2013-03-31,IX,148.1
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,5.22,INF_CRD_OIL,AFY,2013,2012,2013-03-31,IX,111.4
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,10.32,INF_ELECTY,AFY,2013,2012,2013-03-31,IX,155.3
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,1.25,INF_FRTZ,AFY,2013,2012,2013-03-31,IX,100.2
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,1.71,INF_NAT_GAS,AFY,2013,2012,2013-03-31,IX,128.1
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,5.94,INF_REF_PRD,AFY,2013,2012,2013-03-31,IX,172.4
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,6.68,INF_STL,AFY,2013,2012,2013-03-31,IX,181.1
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,37.9,OVR_ALL_INDX,AFY,2013,2012,2013-03-31,IX,154.7
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2011_12,2.16,INF_CEMENT,AFY,2013,2012,2013-03-31,IX,107.457081
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2011_12,4.16,INF_COAL,AFY,2013,2012,2013-03-31,IX,103.188498
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2011_12,3.62,INF_CRD_OIL,AFY,2013,2012,2013-03-31,IX,99.402242
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2011_12,7.99,INF_ELECTY,AFY,2013,2012,2013-03-31,IX,104.003229
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2011_12,1.06,INF_FRTZ,AFY,2013,2012,2013-03-31,IX,96.684778
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2011_12,2.77,INF_NAT_GAS,AFY,2013,2012,2013-03-31,IX,85.576418
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2011_12,11.29,INF_PETR_REF_PRD,AFY,2013,2012,2013-03-31,IX,107.152632
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2011_12,7.22,INF_STL,AFY,2013,2012,2013-03-31,IX,107.917091
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2011_12,40.27,OVR_ALL_INDX,AFY,2013,2012,2013-03-31,IX,103.816045
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,2.41,INF_CEMENT,AFY,2014,2013,2014-03-31,IX,194.5
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,4.38,INF_COAL,AFY,2014,2013,2014-03-31,IX,150.0
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,5.22,INF_CRD_OIL,AFY,2014,2013,2014-03-31,IX,111.2
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,10.32,INF_ELECTY,AFY,2014,2013,2014-03-31,IX,164.6
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,1.25,INF_FRTZ,AFY,2014,2013,2014-03-31,IX,101.8
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,1.71,INF_NAT_GAS,AFY,2014,2013,2014-03-31,IX,111.5
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,5.94,INF_REF_PRD,AFY,2014,2013,2014-03-31,IX,175.0
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,6.68,INF_STL,AFY,2014,2013,2014-03-31,IX,201.9
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,37.9,OVR_ALL_INDX,AFY,2014,2013,2014-03-31,IX,161.2
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2011_12,2.16,INF_CEMENT,AFY,2014,2013,2014-03-31,IX,111.471024
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2011_12,4.16,INF_COAL,AFY,2014,2013,2014-03-31,IX,104.169197
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2011_12,3.62,INF_CRD_OIL,AFY,2014,2013,2014-03-31,IX,99.209156
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2011_12,7.99,INF_ELECTY,AFY,2014,2013,2014-03-31,IX,110.295613
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2011_12,1.06,INF_FRTZ,AFY,2014,2013,2014-03-31,IX,98.109787
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2011_12,2.77,INF_NAT_GAS,AFY,2014,2013,2014-03-31,IX,74.521141
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2011_12,11.29,INF_PETR_REF_PRD,AFY,2014,2013,2014-03-31,IX,108.638904
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2011_12,7.22,INF_STL,AFY,2014,2013,2014-03-31,IX,115.82097
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2011_12,40.27,OVR_ALL_INDX,AFY,2014,2013,2014-03-31,IX,106.474908
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,2.41,INF_CEMENT,AFY,2015,2014,2015-03-31,IX,205.3
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,4.38,INF_COAL,AFY,2015,2014,2015-03-31,IX,162.2
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,5.22,INF_CRD_OIL,AFY,2015,2014,2015-03-31,IX,110.2
RBI:INX_CORE_INF_INDS_RN(1.0),N_A,BY_2004_05,10.32,INF_ELECTY,AFY,2015,2014,2015-03-31,IX,178.5
