DATAFLOW,AUDST,FIN_ASS_RN,FREQ,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_PRV_PEN_FND,AFY,CURR_PRC,2018,2017,0,2018-03-31,INR,3694030000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_BNK_DEP,AFY,CURR_PRC,2018,2017,0,2018-03-31,INR,5215800000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_SHAR_DEBN,AFY,CURR_PRC,2018,2017,0,2018-03-31,INR,1774170000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_SHAR_DEBN,AFY,CURR_PRC,2017,2016,0,2017-03-31,INR,1744660000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_PRV_PEN_FND,AFY,CURR_PRC,2017,2016,0,2017-03-31,INR,3255390000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_LIF_INS_FND,AFY,CURR_PRC,2017,2016,0,2017-03-31,INR,3543210000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CURR,AFY,CURR_PRC,2017,2016,0,2017-03-31,INR,-3329070000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_TRD_DB_NET,AFY,CURR_PRC,2017,2016,0,2017-03-31,INR,43600000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_NON_BNK_DEP,AFY,CURR_PRC,2017,2016,0,2017-03-31,INR,348560000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CHNG_FIN_ASS,AFY,CURR_PRC,2017,2016,0,2017-03-31,INR,16146770000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CLM_GOV,AFY,CURR_PRC,2017,2016,0,2017-03-31,INR,1154690000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_BNK_DEP,AFY,CURR_PRC,2017,2016,0,2017-03-31,INR,9385740000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_TRD_DB_NET,AFY,CURR_PRC,2016,2015,0,2016-03-31,INR,40660000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_BNK_DEP,AFY,CURR_PRC,2016,2015,0,2016-03-31,INR,6223640000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CHNG_FIN_ASS,AFY,CURR_PRC,2016,2015,0,2016-03-31,INR,14962320000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_NON_BNK_DEP,AFY,CURR_PRC,2016,2015,0,2016-03-31,INR,180820000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_SHAR_DEBN,AFY,CURR_PRC,2016,2015,0,2016-03-31,INR,283560000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CLM_GOV,AFY,CURR_PRC,2016,2015,0,2016-03-31,INR,679400000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CURR,AFY,CURR_PRC,2016,2015,0,2016-03-31,INR,2005180000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_LIF_INS_FND,AFY,CURR_PRC,2016,2015,0,2016-03-31,INR,2641770000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_PRV_PEN_FND,AFY,CURR_PRC,2016,2015,0,2016-03-31,INR,2907290000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_BNK_DEP,AFY,CURR_PRC,2015,2014,0,2015-03-31,INR,5792720000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_TRD_DB_NET,AFY,CURR_PRC,2015,2014,0,2015-03-31,INR,41770000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_SHAR_DEBN,AFY,CURR_PRC,2015,2014,0,2015-03-31,INR,203640000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CLM_GOV,AFY,CURR_PRC,2015,2014,0,2015-03-31,INR,9690000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_PRV_PEN_FND,AFY,CURR_PRC,2015,2014,0,2015-03-31,INR,1908830000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_LIF_INS_FND,AFY,CURR_PRC,2015,2014,0,2015-03-31,INR,2993220000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CHNG_FIN_ASS,AFY,CURR_PRC,2015,2014,0,2015-03-31,INR,12572470000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_NON_BNK_DEP,AFY,CURR_PRC,2015,2014,0,2015-03-31,INR,289150000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CURR,AFY,CURR_PRC,2015,2014,0,2015-03-31,INR,1333450000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CURR,AFY,CURR_PRC,2014,2013,0,2014-03-31,INR,995200000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_LIF_INS_FND,AFY,CURR_PRC,2014,2013,0,2014-03-31,INR,2044690000000
