DATAFLOW,AUDST,BASE_PER,CLASS_EXP_RN,FREQ,MET_CALC_RN,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_DISCP,QFY,MRKT_CST,CNST_PRC,1998,1997,0,1997-06-30,INR,99400000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_DISCP,QFY,MRKT_CST,CURR_PRC,1998,1997,0,1997-06-30,INR,97470000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_EXP_GDS_SER,QFY,MRKT_CST,CNST_PRC,1998,1997,0,1997-06-30,INR,412400000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_EXP_GDS_SER,QFY,MRKT_CST,CURR_PRC,1998,1997,0,1997-06-30,INR,384080000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GDP_MARK_CST,QFY,MRKT_CST,CNST_PRC,1998,1997,0,1997-06-30,INR,4011300000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GDP_MARK_CST,QFY,MRKT_CST,CURR_PRC,1998,1997,0,1997-06-30,INR,3530170000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GFCE,QFY,MRKT_CST,CNST_PRC,1998,1997,0,1997-06-30,INR,350860000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GFCE,QFY,MRKT_CST,CURR_PRC,1998,1997,0,1997-06-30,INR,293500000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GFCF,QFY,MRKT_CST,CNST_PRC,1998,1997,0,1997-06-30,INR,905240000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GFCF,QFY,MRKT_CST,CURR_PRC,1998,1997,0,1997-06-30,INR,828490000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_IMP_GDS_SER,QFY,MRKT_CST,CNST_PRC,1998,1997,0,1997-06-30,INR,469760000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_IMP_GDS_SER,QFY,MRKT_CST,CURR_PRC,1998,1997,0,1997-06-30,INR,434120000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_PFCE,QFY,MRKT_CST,CNST_PRC,1998,1997,0,1997-06-30,INR,2717570000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_PFCE,QFY,MRKT_CST,CURR_PRC,1998,1997,0,1997-06-30,INR,2283710000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_CHG_STOCK,QFY,MRKT_CST,CNST_PRC,1998,1997,0,1997-09-30,INR,-297440000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_CHG_STOCK,QFY,MRKT_CST,CURR_PRC,1998,1997,0,1997-09-30,INR,-174110000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_DISCP,QFY,MRKT_CST,CNST_PRC,1998,1997,0,1997-09-30,INR,93050000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_DISCP,QFY,MRKT_CST,CURR_PRC,1998,1997,0,1997-09-30,INR,91840000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_EXP_GDS_SER,QFY,MRKT_CST,CNST_PRC,1998,1997,0,1997-09-30,INR,416110000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_EXP_GDS_SER,QFY,MRKT_CST,CURR_PRC,1998,1997,0,1997-09-30,INR,394650000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GDP_MARK_CST,QFY,MRKT_CST,CNST_PRC,1998,1997,0,1997-09-30,INR,3755170000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GDP_MARK_CST,QFY,MRKT_CST,CURR_PRC,1998,1997,0,1997-09-30,INR,3326560000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GFCE,QFY,MRKT_CST,CNST_PRC,1998,1997,0,1997-09-30,INR,380720000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GFCE,QFY,MRKT_CST,CURR_PRC,1998,1997,0,1997-09-30,INR,323600000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GFCF,QFY,MRKT_CST,CNST_PRC,1998,1997,0,1997-09-30,INR,910690000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GFCF,QFY,MRKT_CST,CURR_PRC,1998,1997,0,1997-09-30,INR,835750000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_IMP_GDS_SER,QFY,MRKT_CST,CNST_PRC,1998,1997,0,1997-09-30,INR,462430000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_IMP_GDS_SER,QFY,MRKT_CST,CURR_PRC,1998,1997,0,1997-09-30,INR,463450000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_PFCE,QFY,MRKT_CST,CNST_PRC,1998,1997,0,1997-09-30,INR,2714470000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_PFCE,QFY,MRKT_CST,CURR_PRC,1998,1997,0,1997-09-30,INR,2318270000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_CHG_STOCK,QFY,MRKT_CST,CNST_PRC,1998,1997,0,1997-12-31,INR,385480000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_CHG_STOCK,QFY,MRKT_CST,CURR_PRC,1998,1997,0,1997-12-31,INR,342020000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_DISCP,QFY,MRKT_CST,CNST_PRC,1998,1997,0,1997-12-31,INR,114400000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_DISCP,QFY,MRKT_CST,CURR_PRC,1998,1997,0,1997-12-31,INR,114010000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_EXP_GDS_SER,QFY,MRKT_CST,CNST_PRC,1998,1997,0,1997-12-31,INR,423820000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_EXP_GDS_SER,QFY,MRKT_CST,CURR_PRC,1998,1997,0,1997-12-31,INR,420790000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GDP_MARK_CST,QFY,MRKT_CST,CNST_PRC,1998,1997,0,1997-12-31,INR,4616450000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GDP_MARK_CST,QFY,MRKT_CST,CURR_PRC,1998,1997,0,1997-12-31,INR,4129280000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GFCE,QFY,MRKT_CST,CNST_PRC,1998,1997,0,1997-12-31,INR,417490000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GFCE,QFY,MRKT_CST,CURR_PRC,1998,1997,0,1997-12-31,INR,363140000000
RBI:QTR_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_GFCF,QFY,MRKT_CST,CNST_PRC,1998,1997,0,1997-12-31,INR,967110000000
