DATAFLOW,AUDST,BASE_PER,FREQ,NAT_INC_INDC_RN,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2004_05,AFY,NII_NET_DISP_INC,CURR_PRC,1986,1985,0,1986-03-31,INR,2657788098050.0005
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2004_05,AFY,NII_NET_DOM_CAP_FRM,CNST_PRC,1986,1985,0,1986-03-31,INR,1297120000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2004_05,AFY,NII_NET_DOM_CAP_FRM,CURR_PRC,1986,1985,0,1986-03-31,INR,345110000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2004_05,AFY,NII_NET_FAC_INC_ABR,CNST_PRC,1986,1985,0,1986-03-31,INR,-58670000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2004_05,AFY,NII_NET_FAC_INC_ABR,CURR_PRC,1986,1985,0,1986-03-31,INR,-14290000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2004_05,AFY,NII_NNP_FACT_PRC,CNST_PRC,1986,1985,0,1986-03-31,INR,9131430000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2004_05,AFY,NII_NNP_FACT_PRC,CURR_PRC,1986,1985,0,1986-03-31,INR,2361510000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2004_05,AFY,NII_NNP_MARK_PRC,CNST_PRC,1986,1985,0,1986-03-31,INR,10134100000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2004_05,AFY,NII_NNP_MARK_PRC,CURR_PRC,1986,1985,0,1986-03-31,INR,2629580000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2004_05,AFY,NII_PERS_DIS_INC,CURR_PRC,1986,1985,0,1986-03-31,INR,2376770000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2004_05,AFY,NII_PER_CAP_GNP_FACT_CST,CNST_PRC,1986,1985,0,1986-03-31,INR,133510000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2004_05,AFY,NII_PER_CAP_GNP_FACT_CST,CURR_PRC,1986,1985,0,1986-03-31,INR,3460.76821192053
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2004_05,AFY,NII_PER_CAP_NNI_FACT_CST,CNST_PRC,1986,1985,0,1986-03-31,INR,120950000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2004_05,AFY,NII_PER_CAP_NNI_FACT_CST,CURR_PRC,1986,1985,0,1986-03-31,INR,3127.827814569536
