DATAFLOW,AUDST,BASE_PER,CLASS_EXP_RN,FREQ,MET_CALC_RN,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_CHG_STOCK,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,100755464670
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_DISCP,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,0.0
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_DISCP,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,0.0
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_EXP_GDS_SER,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,1041101765800
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_EXP_GDS_SER,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,165430000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_GDP_MARK_CST,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,19731974431900
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_GDP_MARK_CST,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,3183659412850
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_GFCE,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,2282840457460
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_GFCE,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,367720847620
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_GFCF,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,3906882967310
