DATAFLOW,AUDST,BASE_PER,CLASS_ECNY_RN,FREQ,MET_CALC_RN,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_CONST,QFY,FACT_CST,CURR_PRC,1997,1996,0,1997-03-31,INR,166410000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_ELCTY_GAS_WTR,QFY,FACT_CST,CNST_PRC,1997,1996,0,1997-03-31,INR,94990000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_ELCTY_GAS_WTR,QFY,FACT_CST,CURR_PRC,1997,1996,0,1997-03-31,INR,81950000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_FIN_INS_REAL_BUS_SER,QFY,FACT_CST,CNST_PRC,1997,1996,0,1997-03-31,INR,464160000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_FIN_INS_REAL_BUS_SER,QFY,FACT_CST,CURR_PRC,1997,1996,0,1997-03-31,INR,389500000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_GDP_FACT_CST,QFY,FACT_CST,CNST_PRC,1997,1996,0,1997-03-31,INR,4149010000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_GDP_FACT_CST,QFY,FACT_CST,CURR_PRC,1997,1996,0,1997-03-31,INR,3511230000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MANF,QFY,FACT_CST,CNST_PRC,1997,1996,0,1997-03-31,INR,661450000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MANF,QFY,FACT_CST,CURR_PRC,1997,1996,0,1997-03-31,INR,593040000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MIN_QUAR,QFY,FACT_CST,CNST_PRC,1997,1996,0,1997-03-31,INR,100570000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MIN_QUAR,QFY,FACT_CST,CURR_PRC,1997,1996,0,1997-03-31,INR,79760000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_TRD_HTL_TRAN_COMM,QFY,FACT_CST,CNST_PRC,1997,1996,0,1997-03-31,INR,839460000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_TRD_HTL_TRAN_COMM,QFY,FACT_CST,CURR_PRC,1997,1996,0,1997-03-31,INR,729630000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_AGR_ALL_ACV,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-06-30,INR,981920000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_AGR_ALL_ACV,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-06-30,INR,861550000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_COMM_SOL_PERS_SER,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-06-30,INR,447200000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_COMM_SOL_PERS_SER,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-06-30,INR,378830000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_CONST,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-06-30,INR,209890000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_CONST,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-06-30,INR,175340000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_ELCTY_GAS_WTR,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-06-30,INR,95410000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_ELCTY_GAS_WTR,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-06-30,INR,89850000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_FIN_INS_REAL_BUS_SER,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-06-30,INR,482450000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_FIN_INS_REAL_BUS_SER,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-06-30,INR,401260000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_GDP_FACT_CST,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-06-30,INR,3686800000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_GDP_FACT_CST,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-06-30,INR,3240710000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MANF,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-06-30,INR,595780000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MANF,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-06-30,INR,547710000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MIN_QUAR,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-06-30,INR,91890000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MIN_QUAR,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-06-30,INR,83600000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_TRD_HTL_TRAN_COMM,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-06-30,INR,782250000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_TRD_HTL_TRAN_COMM,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-06-30,INR,702560000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_AGR_ALL_ACV,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-09-30,INR,745260000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_AGR_ALL_ACV,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-09-30,INR,663720000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_COMM_SOL_PERS_SER,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-09-30,INR,467460000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_COMM_SOL_PERS_SER,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-09-30,INR,400420000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_CONST,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-09-30,INR,208590000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_CONST,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-09-30,INR,175760000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_ELCTY_GAS_WTR,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-09-30,INR,97470000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_ELCTY_GAS_WTR,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-09-30,INR,91780000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_FIN_INS_REAL_BUS_SER,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-09-30,INR,482010000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_FIN_INS_REAL_BUS_SER,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-09-30,INR,404360000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_GDP_FACT_CST,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-09-30,INR,3451390000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_GDP_FACT_CST,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-09-30,INR,3053790000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MANF,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-09-30,INR,601150000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MANF,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-09-30,INR,555630000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MIN_QUAR,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-09-30,INR,90120000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MIN_QUAR,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-09-30,INR,73920000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_TRD_HTL_TRAN_COMM,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-09-30,INR,759330000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_TRD_HTL_TRAN_COMM,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-09-30,INR,688190000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_AGR_ALL_ACV,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-12-31,INR,1321740000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_AGR_ALL_ACV,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-12-31,INR,1183880000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_COMM_SOL_PERS_SER,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-12-31,INR,493050000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_COMM_SOL_PERS_SER,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-12-31,INR,428560000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_CONST,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-12-31,INR,226060000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_CONST,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-12-31,INR,192270000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_ELCTY_GAS_WTR,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-12-31,INR,97620000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_ELCTY_GAS_WTR,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-12-31,INR,91920000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_FIN_INS_REAL_BUS_SER,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-12-31,INR,493190000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_FIN_INS_REAL_BUS_SER,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-12-31,INR,417830000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_GDP_FACT_CST,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-12-31,INR,4243000000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_GDP_FACT_CST,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-12-31,INR,3790690000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MANF,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-12-31,INR,625870000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MANF,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-12-31,INR,580150000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MIN_QUAR,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-12-31,INR,100720000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MIN_QUAR,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-12-31,INR,85310000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_TRD_HTL_TRAN_COMM,QFY,FACT_CST,CNST_PRC,1998,1997,0,1997-12-31,INR,884740000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_TRD_HTL_TRAN_COMM,QFY,FACT_CST,CURR_PRC,1998,1997,0,1997-12-31,INR,810770000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_AGR_ALL_ACV,QFY,FACT_CST,CNST_PRC,1998,1997,0,1998-03-31,INR,1041460000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_AGR_ALL_ACV,QFY,FACT_CST,CURR_PRC,1998,1997,0,1998-03-31,INR,952100000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_COMM_SOL_PERS_SER,QFY,FACT_CST,CNST_PRC,1998,1997,0,1998-03-31,INR,771760000000
