DATAFLOW,AUDST,FIN_LIB_RN,FREQ,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2010,2009,0,2010-03-31,INR,88990000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2010,2009,0,2010-03-31,INR,2034470000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_COP_NON_CRD_SOC,AFY,CURR_PRC,2010,2009,0,2010-03-31,INR,2520000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2009,2008,0,2009-03-31,INR,1635980000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_COP_NON_CRD_SOC,AFY,CURR_PRC,2009,2008,0,2009-03-31,INR,2500000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2009,2008,0,2009-03-31,INR,88120000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2009,2008,0,2009-03-31,INR,1547350000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2009,2008,0,2009-03-31,INR,-1990000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2008,2007,0,2008-03-31,INR,1881810000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2008,2007,0,2008-03-31,INR,1795020000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2008,2007,0,2008-03-31,INR,86820000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2008,2007,0,2008-03-31,INR,-2480000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_COP_NON_CRD_SOC,AFY,CURR_PRC,2008,2007,0,2008-03-31,INR,2450000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2007,2006,0,2007-03-31,INR,2826070000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_COP_NON_CRD_SOC,AFY,CURR_PRC,2007,2006,0,2007-03-31,INR,2290000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2007,2006,0,2007-03-31,INR,93620000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2007,2006,0,2007-03-31,INR,2736660000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2007,2006,0,2007-03-31,INR,-6500000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2006,2005,0,2006-03-31,INR,83980000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2006,2005,0,2006-03-31,INR,1837500000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_COP_NON_CRD_SOC,AFY,CURR_PRC,2006,2005,0,2006-03-31,INR,2770000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2006,2005,0,2006-03-31,INR,1755640000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2006,2005,0,2006-03-31,INR,-4890000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2005,2004,0,2005-03-31,INR,83100000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2005,2004,0,2005-03-31,INR,1119710000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2005,2004,0,2005-03-31,INR,-5150000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2005,2004,0,2005-03-31,INR,1200700000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_COP_NON_CRD_SOC,AFY,CURR_PRC,2005,2004,0,2005-03-31,INR,3040000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2004,2003,0,2004-03-31,INR,122610000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2004,2003,0,2004-03-31,INR,578850000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2004,2003,0,2004-03-31,INR,-2690000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_COP_NON_CRD_SOC,AFY,CURR_PRC,2004,2003,0,2004-03-31,INR,1050000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2004,2003,0,2004-03-31,INR,699820000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2003,2002,0,2003-03-31,INR,602740000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2003,2002,0,2003-03-31,INR,2160000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2003,2002,0,2003-03-31,INR,52470000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2003,2002,0,2003-03-31,INR,543880000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_COP_NON_CRD_SOC,AFY,CURR_PRC,2003,2002,0,2003-03-31,INR,4230000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2002,2001,0,2002-03-31,INR,433540000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2002,2001,0,2002-03-31,INR,517270000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_COP_NON_CRD_SOC,AFY,CURR_PRC,2002,2001,0,2002-03-31,INR,3840000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2002,2001,0,2002-03-31,INR,68780000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2002,2001,0,2002-03-31,INR,11110000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2001,2000,0,2001-03-31,INR,317790000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2001,2000,0,2001-03-31,INR,254390000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2001,2000,0,2001-03-31,INR,47410000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2001,2000,0,2001-03-31,INR,13190000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_COP_NON_CRD_SOC,AFY,CURR_PRC,2001,2000,0,2001-03-31,INR,2800000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,2000,1999,0,2000-03-31,INR,298590000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,2000,1999,0,2000-03-31,INR,46310000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,2000,1999,0,2000-03-31,INR,12270000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_COP_NON_CRD_SOC,AFY,CURR_PRC,2000,1999,0,2000-03-31,INR,3500000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,2000,1999,0,2000-03-31,INR,360670000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_COP_NON_CRD_SOC,AFY,CURR_PRC,1999,1998,0,1999-03-31,INR,3480000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,1999,1998,0,1999-03-31,INR,267730000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,1999,1998,0,1999-03-31,INR,9440000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,1999,1998,0,1999-03-31,INR,207930000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,1999,1998,0,1999-03-31,INR,46880000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,1998,1997,0,1998-03-31,INR,249190000000
