DATAFLOW,AUDST,BASE_PER,CLASF_SEC_GDP_RN,DIFF_SEC_GDP_RN,FREQ,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_FIN_CRP,AFY,N_A,2022,2021,0,2022-03-31,INR,5910022186685.06
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_GROSS_FIN_SAV,AFY,N_A,2022,2021,0,2022-03-31,INR,26119738075695
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_NON_FIN_CRP_NON_DEP_ENT,AFY,N_A,2022,2021,0,2022-03-31,INR,2544672439137.34
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_HOUS_SEC,AFY,N_A,2022,2021,0,2022-03-31,INR,47423332704564.8
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_GEN_GOV,AFY,N_A,2022,2021,0,2022-03-31,INR,-7033589873783.47
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_SAV_PHY_ASS,AFY,N_A,2022,2021,0,2022-03-31,INR,29683023889945.8
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_LES_FIN_LIB,AFY,N_A,2022,2021,0,2022-03-31,INR,8992702357680.32
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PRV_FIN_CRP,AFY,N_A,2022,2021,0,2022-03-31,INR,2314346579156.06
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_FIN_CRP,AFY,N_A,2022,2021,0,2022-03-31,INR,3595675607529
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_NON_FIN_CRP_DEP_ENT,AFY,N_A,2021,2020,0,2021-03-31,INR,498202865053.58
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_GROSS_FIN_SAV,AFY,N_A,2021,2020,0,2021-03-31,INR,30670208017387.6
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_NON_FIN_CRP_NON_DEP_ENT,AFY,N_A,2021,2020,0,2021-03-31,INR,1837467492869.16
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_GEN_GOV,AFY,N_A,2021,2020,0,2021-03-31,INR,-13214381866498.4
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PRV_NON_FIN_CRP,AFY,N_A,2021,2020,0,2021-03-31,INR,18553287994431.9
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_FIN_CRP,AFY,N_A,2021,2020,0,2021-03-31,INR,5138451813236.19
