DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_EXT_DEBT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCFI_IBRD,0,2004-06-30,INR,3900000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCFI_IBRD,0,2004-06-30,USD,85000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCFI_OTH,0,2004-06-30,INR,25280000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCFI_OTH,0,2004-06-30,USD,551000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCPS_PRI_IBRD,0,2004-06-30,INR,0.0
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCPS_PRI_IBRD,0,2004-06-30,USD,0.0
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCPS_PRI_OTH,0,2004-06-30,INR,2430000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCPS_PRI_OTH,0,2004-06-30,USD,53000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCPS_PUB_IBRD,0,2004-06-30,INR,46990000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCPS_PUB_IBRD,0,2004-06-30,USD,1024000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCPS_PUB_OTH,0,2004-06-30,INR,36540000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NCPS_PUB_OTH,0,2004-06-30,USD,796000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NGB_CONCS,0,2004-06-30,INR,0.0
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NGB_CONCS,0,2004-06-30,USD,0.0
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NGB_NON_CON,0,2004-06-30,INR,115140000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NGB_NON_CON,0,2004-06-30,USD,2509000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON,0,2004-06-30,INR,197430000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON,0,2004-06-30,USD,4304000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON_FIN_INS,0,2004-06-30,INR,29180000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON_FIN_INS,0,2004-06-30,USD,636000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON_IBRD,0,2004-06-30,INR,149020000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON_IBRD,0,2004-06-30,USD,3249000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON_OTH,0,2004-06-30,INR,48410000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON_OTH,0,2004-06-30,USD,1055000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON_PRI_SEC,0,2004-06-30,INR,2430000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON_PRI_SEC,0,2004-06-30,USD,53000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON_PUB_SEC,0,2004-06-30,INR,83530000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,NON_CON_PUB_SEC,0,2004-06-30,USD,1820000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,RUP_CIV,0,2004-06-30,INR,12860000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,RUP_CIV,0,2004-06-30,USD,280000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,RUP_DEF,0,2004-06-30,INR,93560000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,RUP_DEF,0,2004-06-30,USD,2035000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,SHT_TRM_DEB,0,2004-06-30,INR,271340000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,SHT_TRM_DEB,0,2004-06-30,USD,5902000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,STDO_6MTH_1YR,0,2004-06-30,INR,271340000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,STDO_6MTH_1YR,0,2004-06-30,USD,5902000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,STD_OTH,0,2004-06-30,INR,271340000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,STD_OTH,0,2004-06-30,USD,5902000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_GB_CONCESSION,0,2004-09-30,INR,575830000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_GB_CONCESSION,0,2004-09-30,USD,12496000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_GB_NON_CON,0,2004-09-30,INR,2650000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_GB_NON_CON,0,2004-09-30,USD,57000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_NGB_CONCESSION,0,2004-09-30,INR,87910000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_NGB_CONCESSION,0,2004-09-30,USD,1908000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_NGB_NON_CONCE,0,2004-09-30,INR,100370000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_NGB_NON_CONCE,0,2004-09-30,USD,2175000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_NON_CON_FIN_INS,0,2004-09-30,INR,30950000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_NON_CON_FIN_INS,0,2004-09-30,USD,671000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_NON_CON_PRI_SEC,0,2004-09-30,INR,21960000000
