DATAFLOW,AUDST,EXT_DBT_IND_RN,FREQ,REPYEAREND,REPYEARSTART,TYP_EXT_DEBT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LETC_EXP_CRD_DEF,0,1991-03-31,USD,1945000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LETC_SUP_CRD,0,1991-03-31,INR,9330000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LETC_SUP_CRD,0,1991-03-31,USD,483000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LM_GOVT_BORW,0,1991-03-31,INR,384290000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LM_GOVT_BORW,0,1991-03-31,USD,19887000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LM_NON_GOVT_BORW,0,1991-03-31,INR,19570000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LM_NON_GOVT_BORW,0,1991-03-31,USD,1013000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LTD_BILT,0,1991-03-31,INR,273780000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LTD_BILT,0,1991-03-31,USD,14168000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LTD_COMM_BORW,0,1991-03-31,INR,197270000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LTD_COMM_BORW,0,1991-03-31,USD,10209000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LTD_EXP_TRD_CRD,0,1991-03-31,INR,83740000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LTD_EXP_TRD_CRD,0,1991-03-31,USD,4301000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LTD_IMF,0,1991-03-31,INR,51320000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LTD_IMF,0,1991-03-31,USD,2623000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LTD_MULT,0,1991-03-31,INR,1462260000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LTD_MULT,0,1991-03-31,USD,75257000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LTD_NRI_FCBO_DEP,0,1991-03-31,INR,200300000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LTD_NRI_FCBO_DEP,0,1991-03-31,USD,10209000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LTD_RUP_DEB,0,1991-03-31,INR,251990000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LTD_RUP_DEB,0,1991-03-31,USD,12847000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LTD_TTL_MULT,0,1991-03-31,INR,403860000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,LTD_TTL_MULT,0,1991-03-31,USD,20900000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NCFI_IBRD,0,1991-03-31,INR,8720000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NCFI_IBRD,0,1991-03-31,USD,451000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NCFI_OTH,0,1991-03-31,INR,3980000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NCFI_OTH,0,1991-03-31,USD,206000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NCPS_PRI_IBRD,0,1991-03-31,INR,3300000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NCPS_PRI_IBRD,0,1991-03-31,USD,171000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NCPS_PRI_OTH,0,1991-03-31,INR,540000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NCPS_PRI_OTH,0,1991-03-31,USD,28000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NCPS_PUB_IBRD,0,1991-03-31,INR,3030000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NCPS_PUB_IBRD,0,1991-03-31,USD,157000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NCPS_PUB_OTH,0,1991-03-31,INR,0.0
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NCPS_PUB_OTH,0,1991-03-31,USD,0.0
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NGB_CONCS,0,1991-03-31,INR,0.0
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NGB_CONCS,0,1991-03-31,USD,0.0
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NGB_NON_CON,0,1991-03-31,INR,19570000000
