DATAFLOW,AUDST,CAT_CNTR_TRD_RN,FREQ,REPYEAREND,REPYEARSTART,TERM_EXT_TRD_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_EU_NET,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,1921179406654
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_EU_NET,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,5017673230
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_ODC_AS_MALY,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,12539868638
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_EU_NET,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,22760622294
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OTH_OECD_SWZ,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,21803804689
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_BEN,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,1194976313
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_ODC_AS_THAI,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,14267926646
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_ODC_AS_THAI,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,407224064516
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OPEC_IRN,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,441861746
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS_SA_SRI_LNK,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,385029435993
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS_SA_MALD,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,560873951
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS_OTH,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,21099231470665
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_EU,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,4562050975418
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_EU_BEL,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,557324376024
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_LAT_AM,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,1023703337088
RBI:DIR_FR_TRD_RN(1.0),N_A,CT_OECD_AO_OTH,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,49652010077.9995
RBI:DIR_FR_TRD_RN(1.0),N_A,CT_OECD_EU_OTH,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,904516079384
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS_SA_NEP,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,7334867601
RBI:DIR_FR_TRD_RN(1.0),N_A,CT_OECD_EU_OTH,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,10030895850
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS_SA_SRI_LNK,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,1303034072
RBI:DIR_FR_TRD_RN(1.0),N_A,CT_OECD_OOECD_OTH,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,2093663470024
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_LAT_AM,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,16428492952
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_EU_NET,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,424309231518
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_ODC_AS_INDN,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,454066611231
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_ODC_AS_SIN,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,12975386384
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OTH_OECD_SWZ,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,124546051324
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_UNSPC,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,3579332163
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_ODC_AS_MALY,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,1060125848169
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,255278953704
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OTH,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,1169230396
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_EE_RUS,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,4880829561
