DATAFLOW,AUDST,CAT_BOP_IND,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BOP_INDI_RN(1.0),N_A,CAD_TO_GDP,AFY,1993,1992,0,1993-03-31,PT,-1.41971
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_CURR_PYMTS,AFY,1993,1992,0,1993-03-31,PT,88.88714
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_GDP,AFY,1993,1992,0,1993-03-31,PT,11.35566
RBI:BOP_INDI_RN(1.0),N_A,EXT_TO_GDP,AFY,1993,1992,0,1993-03-31,PT,7.59742
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_EXP,AFY,1993,1992,0,1993-03-31,PT,2.95193
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_GDP,AFY,1993,1992,0,1993-03-31,PT,0.22427
RBI:BOP_INDI_RN(1.0),N_A,IMP_TO_GDP,AFY,1993,1992,0,1993-03-31,PT,9.7906
RBI:BOP_INDI_RN(1.0),N_A,NET_TO_GDP,AFY,1993,1992,0,1993-03-31,PT,0.77347
RBI:BOP_INDI_RN(1.0),N_A,PYMTS_TO_GDP,AFY,1993,1992,0,1993-03-31,PT,2.98477
RBI:BOP_INDI_RN(1.0),N_A,RCPTS_TO_GDP,AFY,1993,1992,0,1993-03-31,PT,3.75824
RBI:BOP_INDI_RN(1.0),N_A,TERM_IMP_RES,AFY,1993,1992,0,1993-03-31,PT,4.85211
RBI:BOP_INDI_RN(1.0),N_A,CAD_TO_GDP,AFY,1994,1993,0,1994-03-31,PT,-0.41499
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_CURR_PYMTS,AFY,1994,1993,0,1994-03-31,PT,96.70373
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_GDP,AFY,1994,1993,0,1994-03-31,PT,12.17465
RBI:BOP_INDI_RN(1.0),N_A,EXT_TO_GDP,AFY,1994,1993,0,1994-03-31,PT,8.1218
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_EXP,AFY,1994,1993,0,1994-03-31,PT,18.66155
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_GDP,AFY,1994,1993,0,1994-03-31,PT,1.51565
RBI:BOP_INDI_RN(1.0),N_A,IMP_TO_GDP,AFY,1994,1993,0,1994-03-31,PT,9.57408
RBI:BOP_INDI_RN(1.0),N_A,NET_TO_GDP,AFY,1994,1993,0,1994-03-31,PT,1.03729
RBI:BOP_INDI_RN(1.0),N_A,PYMTS_TO_GDP,AFY,1994,1993,0,1994-03-31,PT,3.01555
RBI:BOP_INDI_RN(1.0),N_A,RCPTS_TO_GDP,AFY,1994,1993,0,1994-03-31,PT,4.05284
RBI:BOP_INDI_RN(1.0),N_A,TERM_IMP_RES,AFY,1994,1993,0,1994-03-31,PT,8.64086
RBI:BOP_INDI_RN(1.0),N_A,CAD_TO_GDP,AFY,1995,1994,0,1995-03-31,PT,-1.02944
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_CURR_PYMTS,AFY,1995,1994,0,1995-03-31,PT,92.64057
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_GDP,AFY,1995,1994,0,1995-03-31,PT,12.95856
RBI:BOP_INDI_RN(1.0),N_A,EXT_TO_GDP,AFY,1995,1994,0,1995-03-31,PT,8.20586
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_EXP,AFY,1995,1994,0,1995-03-31,PT,17.89983
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_GDP,AFY,1995,1994,0,1995-03-31,PT,1.46883
