DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_OF_COM_TRD,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1989,1988,TERM_TRD_EXP,0,1989-03-31,USD,13970400000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1989,1988,TERM_TRD_IMP,0,1989-03-31,INR,282352000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1989,1988,TERM_TRD_IMP,0,1989-03-31,USD,19497200000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1989,1988,TERM_TTL_TRD_BAL,0,1989-03-31,INR,-80037000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1989,1988,TERM_TTL_TRD_BAL,0,1989-03-31,USD,-5526800000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1990,1989,COMM_NON_OIL,0,1990-03-31,INR,290558000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1990,1989,COMM_NON_OIL,0,1990-03-31,USD,17451700000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1990,1989,COMM_NON_OIL1,0,1990-03-31,INR,269618000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1990,1989,COMM_NON_OIL1,0,1990-03-31,USD,16194100000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1990,1989,COMM_NON_OIL2,0,1990-03-31,INR,-20940000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1990,1989,COMM_NON_OIL2,0,1990-03-31,USD,-1257600000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1990,1989,COMM_OIL,0,1990-03-31,INR,62725000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1990,1989,COMM_OIL,0,1990-03-31,USD,3767500000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1990,1989,COMM_OIL1,0,1990-03-31,INR,6967000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1990,1989,COMM_OIL1,0,1990-03-31,USD,418400000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1990,1989,COMM_OIL2,0,1990-03-31,INR,-55758000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1990,1989,COMM_OIL2,0,1990-03-31,USD,-3349100000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1990,1989,TERM_TRD_EXP,0,1990-03-31,INR,276585000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1990,1989,TERM_TRD_EXP,0,1990-03-31,USD,16612500000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1990,1989,TERM_TRD_IMP,0,1990-03-31,INR,353283000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1990,1989,TERM_TRD_IMP,0,1990-03-31,USD,21219200000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1990,1989,TERM_TTL_TRD_BAL,0,1990-03-31,INR,-76698000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1990,1989,TERM_TTL_TRD_BAL,0,1990-03-31,USD,-4606700000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1991,1990,COMM_NON_OIL,0,1991-03-31,INR,323768000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1991,1990,COMM_NON_OIL,0,1991-03-31,USD,18044400000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1991,1990,COMM_NON_OIL1,0,1991-03-31,INR,316198000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1991,1990,COMM_NON_OIL1,0,1991-03-31,USD,17622500000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1991,1990,COMM_NON_OIL2,0,1991-03-31,INR,-7570000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1991,1990,COMM_NON_OIL2,0,1991-03-31,USD,-421900000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1991,1990,COMM_OIL,0,1991-03-31,INR,108161000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1991,1990,COMM_OIL,0,1991-03-31,USD,6028100000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1991,1990,COMM_OIL1,0,1991-03-31,INR,9378000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1991,1990,COMM_OIL1,0,1991-03-31,USD,522700000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1991,1990,COMM_OIL2,0,1991-03-31,INR,-98783000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1991,1990,COMM_OIL2,0,1991-03-31,USD,-5505400000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1991,1990,TERM_TRD_EXP,0,1991-03-31,INR,325576000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1991,1990,TERM_TRD_EXP,0,1991-03-31,USD,18145200000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1991,1990,TERM_TRD_IMP,0,1991-03-31,INR,431929000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1991,1990,TERM_TRD_IMP,0,1991-03-31,USD,24072500000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1991,1990,TERM_TTL_TRD_BAL,0,1991-03-31,INR,-106353000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1991,1990,TERM_TTL_TRD_BAL,0,1991-03-31,USD,-5927300000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1992,1991,COMM_NON_OIL,0,1992-03-31,INR,347241000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1992,1991,COMM_NON_OIL,0,1992-03-31,USD,14085700000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1992,1991,COMM_NON_OIL1,0,1992-03-31,INR,430195000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1992,1991,COMM_NON_OIL1,0,1992-03-31,USD,17450700000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1992,1991,COMM_NON_OIL2,0,1992-03-31,INR,82954000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1992,1991,COMM_NON_OIL2,0,1992-03-31,USD,3365000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1992,1991,COMM_OIL,0,1992-03-31,INR,131267000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1992,1991,COMM_OIL,0,1992-03-31,USD,5324800000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1992,1991,COMM_OIL1,0,1992-03-31,INR,10223000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1992,1991,COMM_OIL1,0,1992-03-31,USD,414700000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1992,1991,COMM_OIL2,0,1992-03-31,INR,-121044000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1992,1991,COMM_OIL2,0,1992-03-31,USD,-4910100000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1992,1991,TERM_TRD_EXP,0,1992-03-31,INR,440418000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1992,1991,TERM_TRD_EXP,0,1992-03-31,USD,17865400000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1992,1991,TERM_TRD_IMP,0,1992-03-31,INR,478508000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1992,1991,TERM_TRD_IMP,0,1992-03-31,USD,19410500000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1992,1991,TERM_TTL_TRD_BAL,0,1992-03-31,INR,-38090000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1992,1991,TERM_TTL_TRD_BAL,0,1992-03-31,USD,-1545100000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1993,1992,COMM_NON_OIL,0,1993-03-31,INR,462328000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1993,1992,COMM_NON_OIL,0,1993-03-31,USD,15781600000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1993,1992,COMM_NON_OIL1,0,1993-03-31,INR,523090000000.00006
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1993,1992,COMM_NON_OIL1,0,1993-03-31,USD,18061000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1993,1992,COMM_NON_OIL2,0,1993-03-31,INR,60762000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1993,1992,COMM_NON_OIL2,0,1993-03-31,USD,2279400000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1993,1992,COMM_OIL,0,1993-03-31,INR,171417000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1993,1992,COMM_OIL,0,1993-03-31,USD,6100000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1993,1992,COMM_OIL1,0,1993-03-31,INR,13793000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1993,1992,COMM_OIL1,0,1993-03-31,USD,476200000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1993,1992,COMM_OIL2,0,1993-03-31,INR,-157624000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1993,1992,COMM_OIL2,0,1993-03-31,USD,-5623800000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1993,1992,TERM_TRD_EXP,0,1993-03-31,INR,536883000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1993,1992,TERM_TRD_EXP,0,1993-03-31,USD,18537200000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1993,1992,TERM_TRD_IMP,0,1993-03-31,INR,633745000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1993,1992,TERM_TRD_IMP,0,1993-03-31,USD,21881600000
