DATAFLOW,AUDST,FREQ,IO_BOP_RN,REPYEAREND,REPYEARSTART,TRANC_TYP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_FI_FDI,1991,1990,TRANC_NET,0,1991-03-31,USD,103000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_FI_FDI_IND,1991,1990,TRANC_CRD,0,1991-03-31,INR,2020000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_FI_FDI_IND,1991,1990,TRANC_CRD,0,1991-03-31,USD,107000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_FI_FDI_IND,1991,1990,TRANC_DEB,0,1991-03-31,INR,190000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_FI_FDI_IND,1991,1990,TRANC_DEB,0,1991-03-31,USD,10000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_FI_FDI_IND,1991,1990,TRANC_NET,0,1991-03-31,INR,1830000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_FI_FDI_IND,1991,1990,TRANC_NET,0,1991-03-31,USD,97000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_FI_FPI,1991,1990,TRANC_CRD,0,1991-03-31,INR,100000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_FI_FPI,1991,1990,TRANC_CRD,0,1991-03-31,USD,6000000.0
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_FI_FPI,1991,1990,TRANC_NET,0,1991-03-31,INR,100000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_FI_FPI,1991,1990,TRANC_NET,0,1991-03-31,USD,6000000.0
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_FRG_INV,1991,1990,TRANC_CRD,0,1991-03-31,INR,2020000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_FRG_INV,1991,1990,TRANC_CRD,0,1991-03-31,USD,113000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_FRG_INV,1991,1990,TRANC_DEB,0,1991-03-31,INR,190000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_FRG_INV,1991,1990,TRANC_DEB,0,1991-03-31,USD,10000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_FRG_INV,1991,1990,TRANC_NET,0,1991-03-31,INR,1830000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_FRG_INV,1991,1990,TRANC_NET,0,1991-03-31,USD,103000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN,1991,1990,TRANC_CRD,0,1991-03-31,INR,169240000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN,1991,1990,TRANC_CRD,0,1991-03-31,USD,9432000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN,1991,1990,TRANC_DEB,0,1991-03-31,INR,69950000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN,1991,1990,TRANC_DEB,0,1991-03-31,USD,3899000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN,1991,1990,TRANC_NET,0,1991-03-31,INR,99290000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN,1991,1990,TRANC_NET,0,1991-03-31,USD,5533000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_CB_BY_IND,1991,1990,TRANC_CRD,0,1991-03-31,INR,540000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_CB_BY_IND,1991,1990,TRANC_CRD,0,1991-03-31,USD,30000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_CB_BY_IND,1991,1990,TRANC_DEB,0,1991-03-31,INR,440000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_CB_BY_IND,1991,1990,TRANC_DEB,0,1991-03-31,USD,24000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_CB_BY_IND,1991,1990,TRANC_NET,0,1991-03-31,INR,100000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_CB_BY_IND,1991,1990,TRANC_NET,0,1991-03-31,USD,6000000.0
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_CB_TO_IND,1991,1990,TRANC_CRD,0,1991-03-31,INR,76300000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_CB_TO_IND,1991,1990,TRANC_CRD,0,1991-03-31,USD,4252000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_CB_TO_IND,1991,1990,TRANC_DEB,0,1991-03-31,INR,35950000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_CB_TO_IND,1991,1990,TRANC_DEB,0,1991-03-31,USD,2004000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_CB_TO_IND,1991,1990,TRANC_NET,0,1991-03-31,INR,40350000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_CB_TO_IND,1991,1990,TRANC_NET,0,1991-03-31,USD,2248000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_COMM_BORRW,1991,1990,TRANC_CRD,0,1991-03-31,INR,76840000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_COMM_BORRW,1991,1990,TRANC_CRD,0,1991-03-31,USD,4282000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_COMM_BORRW,1991,1990,TRANC_DEB,0,1991-03-31,INR,36390000000
