DATAFLOW,AUDST,FREQ,IO_BOP_RN,REPYEAREND,REPYEARSTART,TRANC_TYP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI,2021,2020,TRANC_NET,0,2021-03-31,USD,2678538278.18674
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD,2021,2020,TRANC_CRD,0,2021-03-31,INR,124934704360
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD,2021,2020,TRANC_CRD,0,2021-03-31,USD,1714105977.9547
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD,2021,2020,TRANC_DEB,0,2021-03-31,INR,348819779815.093
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD,2021,2020,TRANC_DEB,0,2021-03-31,USD,4785812500
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD,2021,2020,TRANC_NET,0,2021-03-31,INR,-223885075455.093
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD,2021,2020,TRANC_NET,0,2021-03-31,USD,-3071706522.0453
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD_EQT,2021,2020,TRANC_CRD,0,2021-03-31,INR,124934704360
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD_EQT,2021,2020,TRANC_CRD,0,2021-03-31,USD,1714105977.9547
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD_EQT,2021,2020,TRANC_DEB,0,2021-03-31,INR,87260110711.071
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD_EQT,2021,2020,TRANC_DEB,0,2021-03-31,USD,1197210000
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD_EQT,2021,2020,TRANC_NET,0,2021-03-31,INR,37674593648.9289
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD_EQT,2021,2020,TRANC_NET,0,2021-03-31,USD,516895977.954697
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD_OC,2021,2020,TRANC_CRD,0,2021-03-31,INR,0.0
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD_OC,2021,2020,TRANC_CRD,0,2021-03-31,USD,0.0
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD_OC,2021,2020,TRANC_DEB,0,2021-03-31,INR,206657213273.802
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD_OC,2021,2020,TRANC_DEB,0,2021-03-31,USD,2835340000
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD_OC,2021,2020,TRANC_NET,0,2021-03-31,INR,-206657213273.802
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD_OC,2021,2020,TRANC_NET,0,2021-03-31,USD,-2835340000
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD_RE,2021,2020,TRANC_CRD,0,2021-03-31,INR,0.0
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD_RE,2021,2020,TRANC_CRD,0,2021-03-31,USD,0.0
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD_RE,2021,2020,TRANC_DEB,0,2021-03-31,INR,54902455830.2204
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD_RE,2021,2020,TRANC_DEB,0,2021-03-31,USD,753262500
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD_RE,2021,2020,TRANC_NET,0,2021-03-31,INR,-54902455830.2204
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_ABD_RE,2021,2020,TRANC_NET,0,2021-03-31,USD,-753262500
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND,2021,2020,TRANC_CRD,0,2021-03-31,INR,996991302402.717
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND,2021,2020,TRANC_CRD,0,2021-03-31,USD,13678735305.548
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND,2021,2020,TRANC_DEB,0,2021-03-31,INR,577877698370
