DATAFLOW,AUDST,COMD_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_VEG_OIL,AFY,2024,2023,0,2024-03-31,USD,14871664670
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_LEATH,AFY,2024,2023,0,2024-03-31,USD,912776046
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_SULPH,AFY,2024,2023,0,2024-03-31,USD,211176218
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_NEWSPRINT,AFY,2024,2023,0,2024-03-31,USD,425495296
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_OTH_IMP_COMMD,AFY,2024,2023,0,2024-03-31,USD,30252091818
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_VEG_OIL,AFY,2024,2023,0,2024-03-31,INR,1230787209749
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PRJ_GDS,AFY,2024,2023,0,2024-03-31,USD,1321398825
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_TERM_TTL_IMP,AFY,2024,2023,0,2024-03-31,INR,56160423662943
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PROF_INST,AFY,2024,2023,0,2024-03-31,USD,7760538274
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PRJ_GDS,AFY,2024,2023,0,2024-03-31,INR,109467699246
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_SILV,AFY,2024,2023,0,2024-03-31,INR,451647500036
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_FRT_VEG,AFY,2024,2023,0,2024-03-31,USD,2920565576
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_CHEM_MATR_PROD,AFY,2024,2023,0,2024-03-31,INR,1054264512472
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_GYE_MTRL,AFY,2024,2023,0,2024-03-31,INR,407938840161
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_ARTF_RESIN,AFY,2024,2023,0,2024-03-31,INR,1838839303520
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_ARTF_RESIN,AFY,2024,2023,0,2024-03-31,USD,22212130771
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_IRN_STL,AFY,2024,2023,0,2024-03-31,INR,1965900531730
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_CTTN_RAW,AFY,2024,2023,0,2024-03-31,INR,49471159090
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_WOOD_ORD,AFY,2024,2023,0,2024-03-31,INR,531655053558
