DATAFLOW,AUDST,COMD_RN,COUNTRYCODE,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_DRGS_PHARCTCLS,N_A,AFY,2022,2021,0,2022-03-31,INR,1833399652573
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_TEA,N_A,AFY,2022,2021,0,2022-03-31,INR,55966747919
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CASHEW,N_A,AFY,2022,2021,0,2022-03-31,INR,33774044045
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_LEATH,N_A,AFY,2022,2021,0,2022-03-31,USD,4381465215
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CFF,N_A,AFY,2022,2021,0,2022-03-31,USD,1020738248
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CFF,N_A,AFY,2022,2021,0,2022-03-31,INR,76136208075
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CTTN_YRN,N_A,AFY,2022,2021,0,2022-03-31,USD,15298033149
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_IRN_ORE,N_A,AFY,2022,2021,0,2022-03-31,INR,241449762086
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_MAR_PRD,N_A,AFY,2022,2021,0,2022-03-31,INR,579103617422
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_RMG_TEXTLS,N_A,AFY,2022,2021,0,2022-03-31,INR,1194736717992
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_ENG_GDS,N_A,AFY,2022,2021,0,2022-03-31,INR,8361282967150
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_TOC,N_A,AFY,2022,2021,0,2022-03-31,USD,923567936
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_MAR_PRD,N_A,AFY,2022,2021,0,2022-03-31,USD,7772364433
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_GEMS,N_A,AFY,2022,2021,0,2022-03-31,USD,39099111731
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_GEMS,N_A,AFY,2022,2021,0,2022-03-31,INR,2914811374880
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CARPET,N_A,AFY,2022,2021,0,2022-03-31,USD,1789894538
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_SPI,N_A,AFY,2022,2021,0,2022-03-31,USD,3896030084
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_DRGS_PHARCTCLS,N_A,AFY,2022,2021,0,2022-03-31,USD,24594269869
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_RMG_TEXTLS,N_A,AFY,2022,2021,0,2022-03-31,USD,16014814000
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CTTN_YRN_HL,N_A,AFY,2022,2021,0,2022-03-31,INR,1140295027622
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_JTE_MFG_FLR_COVRNG,N_A,AFY,2022,2021,0,2022-03-31,INR,37859494507
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_SPI,N_A,AFY,2022,2021,0,2022-03-31,INR,290392663863
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_JTE_MFG_FLR_COVRNG,N_A,AFY,2022,2021,0,2022-03-31,USD,507649538
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CASHEW,N_A,AFY,2021,2020,0,2021-03-31,INR,31122238360
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_LEATH,N_A,AFY,2021,2020,0,2021-03-31,INR,244033560676
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CFF,N_A,AFY,2021,2020,0,2021-03-31,INR,53396466703
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_RMG_TEXTLS,N_A,AFY,2021,2020,0,2021-03-31,USD,12272126760
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_MAR_PRD,N_A,AFY,2021,2020,0,2021-03-31,INR,441757536785
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CTTN_YRN_HL,N_A,AFY,2021,2020,0,2021-03-31,INR,726555756011
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_TOC,N_A,AFY,2021,2020,0,2021-03-31,USD,876684602
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_RMG_TEXTLS,N_A,AFY,2021,2020,0,2021-03-31,INR,906393003356
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_IRN_ORE,N_A,AFY,2021,2020,0,2021-03-31,USD,4896549194
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_ORG_INORG_CHEM,N_A,AFY,2021,2020,0,2021-03-31,INR,1637263096817
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CARPET,N_A,AFY,2021,2020,0,2021-03-31,INR,110204327466
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_TEA,N_A,AFY,2021,2020,0,2021-03-31,INR,56035016615
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CARPET,N_A,AFY,2021,2020,0,2021-03-31,USD,1491371955
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_DRGS_PHARCTCLS,N_A,AFY,2021,2020,0,2021-03-31,USD,24444030526
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_LEATH,N_A,AFY,2021,2020,0,2021-03-31,USD,3301426612
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_OIL_ML,N_A,AFY,2021,2020,0,2021-03-31,USD,1584968023
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_DRGS_PHARCTCLS,N_A,AFY,2021,2020,0,2021-03-31,INR,1812607572087
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_TOC,N_A,AFY,2021,2020,0,2021-03-31,INR,64969882094
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_SPI,N_A,AFY,2021,2020,0,2021-03-31,INR,295293926587
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_IRN_ORE,N_A,AFY,2021,2020,0,2021-03-31,INR,362535529101
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_ORG_INORG_CHEM,N_A,AFY,2021,2020,0,2021-03-31,USD,22088476584
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_RIC,N_A,AFY,2021,2020,0,2021-03-31,USD,8829290059
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_SPI,N_A,AFY,2021,2020,0,2021-03-31,USD,3984018069
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_OIL_ML,N_A,AFY,2021,2020,0,2021-03-31,INR,116885596678
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CTTN_YRN,N_A,AFY,2021,2020,0,2021-03-31,USD,9827972578
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_JTE_MFG_FLR_COVRNG,N_A,AFY,2021,2020,0,2021-03-31,INR,27406427603
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CFF,N_A,AFY,2021,2020,0,2021-03-31,USD,719660396
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_TEA,N_A,AFY,2021,2020,0,2021-03-31,USD,756248250
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_GEMS,N_A,AFY,2021,2020,0,2021-03-31,INR,1919281397800
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_RIC,N_A,AFY,2021,2020,0,2021-03-31,INR,654047324216
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_JTE_MFG_FLR_COVRNG,N_A,AFY,2021,2020,0,2021-03-31,USD,371321659
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_MAR_PRD,N_A,AFY,2021,2020,0,2021-03-31,USD,5962432141
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_CASHEW,N_A,AFY,2021,2020,0,2021-03-31,USD,420431640
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_ENG_GDS,N_A,AFY,2021,2020,0,2021-03-31,INR,5678002732470
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_ENG_GDS,N_A,AFY,2021,2020,0,2021-03-31,USD,76719597206
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_GEMS,N_A,AFY,2021,2020,0,2021-03-31,USD,26022948174
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_SPI,N_A,AFY,2020,2019,0,2020-03-31,USD,3621381404
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_RIC,N_A,AFY,2020,2019,0,2020-03-31,INR,454266561390
RBI:EXP_SEL_PRIN_COMM_RN(1.0),N_A,EPC_RIC,N_A,AFY,2020,2019,0,2020-03-31,USD,6403244295
