DATAFLOW,AUDST,FREQ,LIB_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,1998,1997,0,1998-03-31,RO,56.02
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,1998,1997,0,1998-03-31,RO,66.29
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,1999,1998,0,1999-03-31,RO,56.14
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,1999,1998,0,1999-03-31,RO,46.28
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,1999,1998,0,1999-03-31,RO,9.87
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,1999,1998,0,1999-03-31,RO,22.16
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,1999,1998,0,1999-03-31,RO,57.24
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,1999,1998,0,1999-03-31,RO,67.11
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2000,1999,0,2000-03-31,RO,56.81
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2000,1999,0,2000-03-31,RO,47.58
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2000,1999,0,2000-03-31,RO,9.23
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2000,1999,0,2000-03-31,RO,25.19
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2000,1999,0,2000-03-31,RO,61.24
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2000,1999,0,2000-03-31,RO,70.47
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2001,2000,0,2001-03-31,RO,59.36
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2001,2000,0,2001-03-31,RO,50.64
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2001,2000,0,2001-03-31,RO,8.73
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2001,2000,0,2001-03-31,RO,27.29
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2001,2000,0,2001-03-31,RO,64.94
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2001,2000,0,2001-03-31,RO,73.67
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2002,2001,0,2002-03-31,RO,63.44
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2002,2001,0,2002-03-31,RO,54.96
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2002,2001,0,2002-03-31,RO,8.47
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2002,2001,0,2002-03-31,RO,29.32
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2002,2001,0,2002-03-31,RO,70.32
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2002,2001,0,2002-03-31,RO,78.79
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2003,2002,0,2003-03-31,RO,66.85
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2003,2002,0,2003-03-31,RO,59.12
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2003,2002,0,2003-03-31,RO,7.73
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2003,2002,0,2003-03-31,RO,31.01
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2003,2002,0,2003-03-31,RO,75.13
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2003,2002,0,2003-03-31,RO,82.86
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2004,2003,0,2004-03-31,RO,65.98
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2004,2003,0,2004-03-31,RO,59.5
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2004,2003,0,2004-03-31,RO,6.48
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2004,2003,0,2004-03-31,RO,31.79
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2004,2003,0,2004-03-31,RO,76.75
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2004,2003,0,2004-03-31,RO,83.23
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2005,2004,0,2005-03-31,RO,65.53
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2005,2004,0,2005-03-31,RO,59.64
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2005,2004,0,2005-03-31,RO,5.9
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2005,2004,0,2005-03-31,RO,31.28
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2005,2004,0,2005-03-31,RO,76.24
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2005,2004,0,2005-03-31,RO,82.13
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2006,2005,0,2006-03-31,RO,63.9
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2006,2005,0,2006-03-31,RO,58.64
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2006,2005,0,2006-03-31,RO,5.25
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2006,2005,0,2006-03-31,RO,31.08
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2006,2005,0,2006-03-31,RO,73.82
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2006,2005,0,2006-03-31,RO,79.07
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2007,2006,0,2007-03-31,RO,61.4
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2007,2006,0,2007-03-31,RO,56.72
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2007,2006,0,2007-03-31,RO,4.68
