DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_GEXP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CCS_EXP_RN(1.0),N_A,AFY,2003,2002,GE31,0,2003-03-31,INR,3593290000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2003,2002,GE32,0,2003-03-31,INR,3395230000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2003,2002,GE33,0,2003-03-31,INR,60520000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2004,2003,GE1,0,2004-03-31,INR,4387260000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2004,2003,GE11,0,2004-03-31,INR,1954280000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2004,2003,GE12,0,2004-03-31,INR,2432980000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2004,2003,GE2,0,2004-03-31,INR,5163500000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2004,2003,GE21,0,2004-03-31,INR,2728480000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2004,2003,GE22,0,2004-03-31,INR,1665380000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2004,2003,GE23,0,2004-03-31,INR,761960000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2004,2003,GE3,0,2004-03-31,INR,7963840000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2004,2003,GE31,0,2004-03-31,INR,4178340000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2004,2003,GE32,0,2004-03-31,INR,3716510000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2004,2003,GE33,0,2004-03-31,INR,68990000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2005,2004,GE1,0,2005-03-31,INR,4778600000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2005,2004,GE11,0,2005-03-31,INR,2149550000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2005,2004,GE12,0,2005-03-31,INR,2629040000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2005,2004,GE2,0,2005-03-31,INR,5723540000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2005,2004,GE21,0,2005-03-31,INR,2864730000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2005,2004,GE22,0,2005-03-31,INR,1851520000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2005,2004,GE23,0,2005-03-31,INR,905180000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2005,2004,GE3,0,2005-03-31,INR,8697570000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2005,2004,GE31,0,2005-03-31,INR,4453540000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2005,2004,GE32,0,2005-03-31,INR,4163400000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2005,2004,GE33,0,2005-03-31,INR,80630000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2006,2005,GE1,0,2006-03-31,INR,5197370000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2006,2005,GE11,0,2006-03-31,INR,2290600000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2006,2005,GE12,0,2006-03-31,INR,2906770000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2006,2005,GE2,0,2006-03-31,INR,5616820000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2006,2005,GE21,0,2006-03-31,INR,3300440000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2006,2005,GE22,0,2006-03-31,INR,1900210000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2006,2005,GE23,0,2006-03-31,INR,416170000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2006,2005,GE3,0,2006-03-31,INR,9598550000000
