DATAFLOW,AUDST,COMP_COUNT,FREQ,GRWT_RT_RATIOS_RN,IND_CLASF_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,21,AFY,GRP_DESC_PROV,ICC_MFG_RUB_PLAS_PROD,PREV_YR,2013,2012,0,2013-03-31,PT,48.9
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,375,AFY,GRP_DESC_PROV,ICC_SRV,CURR_YR,2013,2012,0,2013-03-31,PT,18.1
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,375,AFY,GRP_DESC_PROV,ICC_SRV,PREV_YR,2013,2012,0,2013-03-31,PT,20.6
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,90,AFY,GRP_DESC_PROV,ICC_SRV_CRA,CURR_YR,2013,2012,0,2013-03-31,PT,31.3
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,90,AFY,GRP_DESC_PROV,ICC_SRV_CRA,PREV_YR,2013,2012,0,2013-03-31,PT,18.0
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,44,AFY,GRP_DESC_PROV,ICC_SRV_TSCO,CURR_YR,2013,2012,0,2013-03-31,PT,1.2
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,44,AFY,GRP_DESC_PROV,ICC_SRV_TSCO,PREV_YR,2013,2012,0,2013-03-31,PT,22.9
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,74,AFY,GRP_DESC_PROV,ICC_SRV_WHL_RET_TRD,CURR_YR,2013,2012,0,2013-03-31,PT,-5.2
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,74,AFY,GRP_DESC_PROV,ICC_SRV_WHL_RET_TRD,PREV_YR,2013,2012,0,2013-03-31,PT,44.0
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,917,AFY,GRP_DIV_PAID,ICC_ALL_INDS,CURR_YR,2013,2012,0,2013-03-31,PT,18.8
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,917,AFY,GRP_DIV_PAID,ICC_ALL_INDS,PREV_YR,2013,2012,0,2013-03-31,PT,-0.9
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,70,AFY,GRP_DIV_PAID,ICC_MCH_TOOLS,CURR_YR,2013,2012,0,2013-03-31,PT,-0.5
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,70,AFY,GRP_DIV_PAID,ICC_MCH_TOOLS,PREV_YR,2013,2012,0,2013-03-31,PT,17.5
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,448,AFY,GRP_DIV_PAID,ICC_MFG,CURR_YR,2013,2012,0,2013-03-31,PT,28.8
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,448,AFY,GRP_DIV_PAID,ICC_MFG,PREV_YR,2013,2012,0,2013-03-31,PT,4.6
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,41,AFY,GRP_DIV_PAID,ICC_MFG_CHEM_CD,CURR_YR,2013,2012,0,2013-03-31,PT,123.1
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,41,AFY,GRP_DIV_PAID,ICC_MFG_CHEM_CD,PREV_YR,2013,2012,0,2013-03-31,PT,13.8
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,33,AFY,GRP_DIV_PAID,ICC_MFG_EM_APPR,CURR_YR,2013,2012,0,2013-03-31,PT,8.4
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,33,AFY,GRP_DIV_PAID,ICC_MFG_EM_APPR,PREV_YR,2013,2012,0,2013-03-31,PT,-13.5
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,35,AFY,GRP_DIV_PAID,ICC_MFG_FP_BV,CURR_YR,2013,2012,0,2013-03-31,PT,1.8
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,35,AFY,GRP_DIV_PAID,ICC_MFG_FP_BV,PREV_YR,2013,2012,0,2013-03-31,PT,27.8
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,49,AFY,GRP_DIV_PAID,ICC_MFG_MTR_VEH_OTH_TRAN,CURR_YR,2013,2012,0,2013-03-31,PT,-33.8
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,49,AFY,GRP_DIV_PAID,ICC_MFG_MTR_VEH_OTH_TRAN,PREV_YR,2013,2012,0,2013-03-31,PT,-2.0
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,21,AFY,GRP_DIV_PAID,ICC_MFG_RUB_PLAS_PROD,CURR_YR,2013,2012,0,2013-03-31,PT,43.9
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,21,AFY,GRP_DIV_PAID,ICC_MFG_RUB_PLAS_PROD,PREV_YR,2013,2012,0,2013-03-31,PT,-50.4
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,375,AFY,GRP_DIV_PAID,ICC_SRV,CURR_YR,2013,2012,0,2013-03-31,PT,5.8
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,375,AFY,GRP_DIV_PAID,ICC_SRV,PREV_YR,2013,2012,0,2013-03-31,PT,-15.5
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,90,AFY,GRP_DIV_PAID,ICC_SRV_CRA,CURR_YR,2013,2012,0,2013-03-31,PT,-5.6
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,90,AFY,GRP_DIV_PAID,ICC_SRV_CRA,PREV_YR,2013,2012,0,2013-03-31,PT,-20.8
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,44,AFY,GRP_DIV_PAID,ICC_SRV_TSCO,CURR_YR,2013,2012,0,2013-03-31,PT,73.3
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,44,AFY,GRP_DIV_PAID,ICC_SRV_TSCO,PREV_YR,2013,2012,0,2013-03-31,PT,15.3
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,74,AFY,GRP_DIV_PAID,ICC_SRV_WHL_RET_TRD,CURR_YR,2013,2012,0,2013-03-31,PT,139.5
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,74,AFY,GRP_DIV_PAID,ICC_SRV_WHL_RET_TRD,PREV_YR,2013,2012,0,2013-03-31,PT,66.7
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,917,AFY,GRP_EBIT,ICC_ALL_INDS,CURR_YR,2013,2012,0,2013-03-31,PT,3.8
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,917,AFY,GRP_EBIT,ICC_ALL_INDS,PREV_YR,2013,2012,0,2013-03-31,PT,2.0
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,70,AFY,GRP_EBIT,ICC_MCH_TOOLS,CURR_YR,2013,2012,0,2013-03-31,PT,14.6
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,70,AFY,GRP_EBIT,ICC_MCH_TOOLS,PREV_YR,2013,2012,0,2013-03-31,PT,1.6
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,448,AFY,GRP_EBIT,ICC_MFG,CURR_YR,2013,2012,0,2013-03-31,PT,7.7
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,448,AFY,GRP_EBIT,ICC_MFG,PREV_YR,2013,2012,0,2013-03-31,PT,-6.7
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,41,AFY,GRP_EBIT,ICC_MFG_CHEM_CD,CURR_YR,2013,2012,0,2013-03-31,PT,21.4
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,41,AFY,GRP_EBIT,ICC_MFG_CHEM_CD,PREV_YR,2013,2012,0,2013-03-31,PT,7.6
