DATAFLOW,AUDST,COMP_COUNT,COUNTRYCODE,FREQ,GRWT_RT_RATIOS_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_PBT,CURR_YR,2013,2012,0,2013-03-31,PT,60.6
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_PBT,PREV_YR,2013,2012,0,2013-03-31,PT,-32.8
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_PBT_NON_OP_SD,CURR_YR,2013,2012,0,2013-03-31,PT,57.7
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_PBT_NON_OP_SD,PREV_YR,2013,2012,0,2013-03-31,PT,-35.2
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_PFT_RET,CURR_YR,2013,2012,0,2013-03-31,PT,135.7
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_PFT_RET,PREV_YR,2013,2012,0,2013-03-31,PT,-54.0
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_REM_EMP,CURR_YR,2013,2012,0,2013-03-31,PT,29.7
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_REM_EMP,PREV_YR,2013,2012,0,2013-03-31,PT,21.0
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_SAL,CURR_YR,2013,2012,0,2013-03-31,PT,15.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_SAL,PREV_YR,2013,2012,0,2013-03-31,PT,19.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TGA,CURR_YR,2013,2012,0,2013-03-31,PT,17.7
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TGA,PREV_YR,2013,2012,0,2013-03-31,PT,20.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TNA,CURR_YR,2013,2012,0,2013-03-31,PT,17.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TNA,PREV_YR,2013,2012,0,2013-03-31,PT,21.7
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TTL_BORRW,CURR_YR,2013,2012,0,2013-03-31,PT,51.5
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TTL_BORRW,PREV_YR,2013,2012,0,2013-03-31,PT,71.1
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TTL_ERN_FC,CURR_YR,2013,2012,0,2013-03-31,PT,-30.5
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TTL_ERN_FC,PREV_YR,2013,2012,0,2013-03-31,PT,32.6
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TTL_ERN_FC_EXP,CURR_YR,2013,2012,0,2013-03-31,PT,-26.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TTL_ERN_FC_EXP,PREV_YR,2013,2012,0,2013-03-31,PT,37.1
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TTL_EXP_FC,CURR_YR,2013,2012,0,2013-03-31,PT,15.7
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TTL_EXP_FC,PREV_YR,2013,2012,0,2013-03-31,PT,20.0
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TTL_EXP_FC_IMP,CURR_YR,2013,2012,0,2013-03-31,PT,17.0
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TTL_EXP_FC_IMP,PREV_YR,2013,2012,0,2013-03-31,PT,22.1
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TTL_INC,CURR_YR,2013,2012,0,2013-03-31,PT,17.0
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TTL_INC,PREV_YR,2013,2012,0,2013-03-31,PT,17.7
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_VAL_PROD,CURR_YR,2013,2012,0,2013-03-31,PT,15.6
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_VAL_PROD,PREV_YR,2013,2012,0,2013-03-31,PT,17.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_BORRW_BNKS,CURR_YR,2013,2012,0,2013-03-31,PT,34.0
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_BORRW_BNKS,PREV_YR,2013,2012,0,2013-03-31,PT,68.8
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_CURR_ASST,CURR_YR,2013,2012,0,2013-03-31,PT,17.3
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_CURR_ASST,PREV_YR,2013,2012,0,2013-03-31,PT,24.1
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_CURR_LIB,CURR_YR,2013,2012,0,2013-03-31,PT,14.5
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_CURR_LIB,PREV_YR,2013,2012,0,2013-03-31,PT,44.8
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_DESC_PROV,CURR_YR,2013,2012,0,2013-03-31,PT,21.5
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_DESC_PROV,PREV_YR,2013,2012,0,2013-03-31,PT,16.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_DIV_PAID,CURR_YR,2013,2012,0,2013-03-31,PT,-11.4
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_DIV_PAID,PREV_YR,2013,2012,0,2013-03-31,PT,-26.4
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_EBIT,CURR_YR,2013,2012,0,2013-03-31,PT,12.7
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_EBIT,PREV_YR,2013,2012,0,2013-03-31,PT,31.1
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_EBITDA,CURR_YR,2013,2012,0,2013-03-31,PT,23.2
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_EBITDA,PREV_YR,2013,2012,0,2013-03-31,PT,23.2
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_GFA,CURR_YR,2013,2012,0,2013-03-31,PT,11.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_GFA,PREV_YR,2013,2012,0,2013-03-31,PT,17.5
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_GRS_SAV,CURR_YR,2013,2012,0,2013-03-31,PT,112.2
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_GRS_SAV,PREV_YR,2013,2012,0,2013-03-31,PT,18.4
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_GVA,CURR_YR,2013,2012,0,2013-03-31,PT,22.2
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_GVA,PREV_YR,2013,2012,0,2013-03-31,PT,24.3
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_INT_EXP,CURR_YR,2013,2012,0,2013-03-31,PT,17.6
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_INT_EXP,PREV_YR,2013,2012,0,2013-03-31,PT,42.8
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_INVN,CURR_YR,2013,2012,0,2013-03-31,PT,6.0
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_INVN,PREV_YR,2013,2012,0,2013-03-31,PT,31.8
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_LNG_BORRW,CURR_YR,2013,2012,0,2013-03-31,PT,6.4
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_LNG_BORRW,PREV_YR,2013,2012,0,2013-03-31,PT,-10.5
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_MNF_EXP,CURR_YR,2013,2012,0,2013-03-31,PT,19.6
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_MNF_EXP,PREV_YR,2013,2012,0,2013-03-31,PT,24.0
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_NC_LIB,CURR_YR,2013,2012,0,2013-03-31,PT,8.7
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_NC_LIB,PREV_YR,2013,2012,0,2013-03-31,PT,-13.5
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_NET_WRT,CURR_YR,2013,2012,0,2013-03-31,PT,15.2
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_NET_WRT,PREV_YR,2013,2012,0,2013-03-31,PT,14.1
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_NFA,CURR_YR,2013,2012,0,2013-03-31,PT,7.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_NFA,PREV_YR,2013,2012,0,2013-03-31,PT,15.5
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_NON_CUR_ASST,CURR_YR,2013,2012,0,2013-03-31,PT,6.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_NON_CUR_ASST,PREV_YR,2013,2012,0,2013-03-31,PT,19.7
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_NON_OP_SD,PREV_YR,2013,2012,0,2013-03-31,PT,-50.3
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_NVA,CURR_YR,2013,2012,0,2013-03-31,PT,22.3
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_NVA,PREV_YR,2013,2012,0,2013-03-31,PT,25.8
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_OP_EXP,CURR_YR,2013,2012,0,2013-03-31,PT,19.2
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_OP_EXP,PREV_YR,2013,2012,0,2013-03-31,PT,23.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_PAT,CURR_YR,2013,2012,0,2013-03-31,PT,211.3
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_PAT,PREV_YR,2013,2012,0,2013-03-31,PT,4.4
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_PBT,CURR_YR,2013,2012,0,2013-03-31,PT,166.6
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_PBT,PREV_YR,2013,2012,0,2013-03-31,PT,6.7
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_PBT_NON_OP_SD,CURR_YR,2013,2012,0,2013-03-31,PT,7.6
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_PBT_NON_OP_SD,PREV_YR,2013,2012,0,2013-03-31,PT,21.0
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_PFT_RET,CURR_YR,2013,2012,0,2013-03-31,PT,289.2
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_PFT_RET,PREV_YR,2013,2012,0,2013-03-31,PT,21.6
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_REM_EMP,CURR_YR,2013,2012,0,2013-03-31,PT,23.5
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_REM_EMP,PREV_YR,2013,2012,0,2013-03-31,PT,18.2
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_SAL,CURR_YR,2013,2012,0,2013-03-31,PT,20.3
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_SAL,PREV_YR,2013,2012,0,2013-03-31,PT,24.7
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_TGA,CURR_YR,2013,2012,0,2013-03-31,PT,14.7
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_TGA,PREV_YR,2013,2012,0,2013-03-31,PT,22.5
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_TNA,CURR_YR,2013,2012,0,2013-03-31,PT,14.2
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_TNA,PREV_YR,2013,2012,0,2013-03-31,PT,22.8
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_TTL_BORRW,CURR_YR,2013,2012,0,2013-03-31,PT,19.8
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_TTL_BORRW,PREV_YR,2013,2012,0,2013-03-31,PT,27.4
