DATAFLOW,AUDST,COMP_COUNT,COUNTRYCODE,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,LR_CA_CL,0,2013-03-31,PT,1.4
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,LR_CA_TNA,0,2013-03-31,PT,63.6
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,LR_QA_CL,0,2013-03-31,PT,54.7
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,LR_TP_CA,0,2013-03-31,PT,37.5
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,PPAR_DIV_NW,0,2013-03-31,PT,2.1
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,PPAR_EBD_SAL,0,2013-03-31,PT,6.1
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,PPAR_GP_SAL,0,2013-03-31,PT,6.6
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,PPAR_GP_TNA,0,2013-03-31,PT,6.7
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,PPAR_OD_TO_OPC,0,2013-03-31,PT,14.2
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,PPAR_PAT_SAL,0,2013-03-31,PT,3.1
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,PPAR_PAT_TNW,0,2013-03-31,PT,7.3
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,PPAR_PR_PAT,0,2013-03-31,PT,80.0
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,PPAR_TP_PBT,0,2013-03-31,PT,33.5
