DATAFLOW,AUDST,COMP_COUNT,FREQ,GRWT_RT_RATIOS_RN,IND_TYP_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_INT_EXP,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,41.76307462
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_INVN,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,15.049381863388
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_INVN,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,19.331761913396
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_INVN,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,10.266048217051
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_INVN,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,8.974892315
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_LNG_BORRW,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,23.041655336398
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_LNG_BORRW,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,12.33926770009
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_LNG_BORRW,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,19.071813763096
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_LNG_BORRW,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,13.56037191
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_MNF_EXP,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,34.00891279329
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_MNF_EXP,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,29.620675256141
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_MNF_EXP,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,13.99164460186
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_MNF_EXP,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,18.06459021
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_NC_LIB,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,24.171404876996
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_NC_LIB,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,13.069922479624
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_NC_LIB,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,16.894329144387
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_NC_LIB,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,11.30471753
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_NET_WRT,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,13.13269591551
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_NET_WRT,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,14.412259818369
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_NET_WRT,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,9.974036227404
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_NET_WRT,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,8.785873376
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_NFA,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,15.720932254979
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_NFA,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,17.419750114877
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_NFA,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,8.468598532528
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_NFA,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,11.07623609
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_NON_CUR_ASST,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,15.002107967676
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_NON_CUR_ASST,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,19.553130121099
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_NON_CUR_ASST,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,13.523279961199
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_NON_CUR_ASST,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,14.67070792
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_NON_OP_SD,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,-19.278779472954
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_NON_OP_SD,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,-79.69014084507
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_NON_OP_SD,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,-219.708325641499
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_NVA,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,19.575170556841
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_NVA,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,24.071852318298
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_NVA,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,8.416582474292
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_NVA,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,4.27784811
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_OP_EXP,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,27.870850903592
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_OP_EXP,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,27.816034264161
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_OP_EXP,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,13.477736824056
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_OP_EXP,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,18.22724672
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_PAT,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,21.41783124005
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_PAT,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,-23.179887888568
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_PAT,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,3.214646688962
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_PAT,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,-15.8058889
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_PBT,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,21.331641784282
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_PBT,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,-4.574442787038
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_PBT,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,4.479982110819
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_PBT,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,-11.48996244
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_PBT_NON_OP_SD,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,23.424174567631
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_PBT_NON_OP_SD,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,17.89254921785
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_PBT_NON_OP_SD,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,-5.648892907066
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_PBT_NON_OP_SD,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,-7.025744417
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_PFT_RET,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,6.198395162228
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_PFT_RET,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,-27.866789698851
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_PFT_RET,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,-7.088282396904
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_PFT_RET,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,-23.81170265
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_REM_EMP,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,19.663117617701
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_REM_EMP,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,24.087817264123
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_REM_EMP,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,18.437882243546
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_REM_EMP,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,19.40032164
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_SAL,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,27.643542201643
