DATAFLOW,AUDST,FREQ,GRWT_RT_RATIOS_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_PBT_NON_OP_SD,PREV_YR,2013,2012,0,2013-03-31,PT,-5.7
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_PFT_RET,CURR_YR,2013,2012,0,2013-03-31,PT,-6.2
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_PFT_RET,PREV_YR,2013,2012,0,2013-03-31,PT,-24.1
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_REM_EMP,CURR_YR,2013,2012,0,2013-03-31,PT,18.7
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_REM_EMP,PREV_YR,2013,2012,0,2013-03-31,PT,20.3
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_SAL,CURR_YR,2013,2012,0,2013-03-31,PT,14.2
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_SAL,PREV_YR,2013,2012,0,2013-03-31,PT,17.7
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_TGA,CURR_YR,2013,2012,0,2013-03-31,PT,12.6
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_TGA,PREV_YR,2013,2012,0,2013-03-31,PT,14.2
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_TNA,CURR_YR,2013,2012,0,2013-03-31,PT,11.1
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_TNA,PREV_YR,2013,2012,0,2013-03-31,PT,13.4
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_TTL_BORRW,CURR_YR,2013,2012,0,2013-03-31,PT,17.7
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_TTL_BORRW,PREV_YR,2013,2012,0,2013-03-31,PT,18.6
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_TTL_ERN_FC,CURR_YR,2013,2012,0,2013-03-31,PT,19.6
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_TTL_ERN_FC,PREV_YR,2013,2012,0,2013-03-31,PT,25.5
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_TTL_ERN_FC_EXP,CURR_YR,2013,2012,0,2013-03-31,PT,13.4
