DATAFLOW,AUDST,COUNTRYCODE,FREQ,IND_CLASF_RN,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MULT,OBS_VALUE
RBI:IND_CNTRY_FDI_RN(1.0),N_A,OTH,AFY,ICC_MFG,2013,2012,2013-03-31,0,144.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,OTH,AFY,ICC_MFG_CHEM_CD,2013,2012,2013-03-31,0,19.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,OTH,AFY,ICC_MFG_EM_APPR,2013,2012,2013-03-31,0,11.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,OTH,AFY,ICC_MFG_FP_BV,2013,2012,2013-03-31,0,16.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,OTH,AFY,ICC_MFG_MTR_VEH_OTH_TRAN,2013,2012,2013-03-31,0,8.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,OTH,AFY,ICC_MFG_OTH,2013,2012,2013-03-31,0,144.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,OTH,AFY,ICC_MFG_RUB_PLAS_PROD,2013,2012,2013-03-31,0,8.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,OTH,AFY,ICC_SRV,2013,2012,2013-03-31,0,131.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,OTH,AFY,ICC_SRV_CRA,2013,2012,2013-03-31,0,20.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,OTH,AFY,ICC_SRV_OTHE,2013,2012,2013-03-31,0,94.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,OTH,AFY,ICC_SRV_TSCO,2013,2012,2013-03-31,0,18.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,OTH,AFY,ICC_SRV_WHL_RET_TRD,2013,2012,2013-03-31,0,37.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,OTH,AFY,ICC_TTL,2013,2012,2013-03-31,0,305.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,US,AFY,ICC_MCH_TOOLS,2013,2012,2013-03-31,0,14.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,US,AFY,ICC_MFG,2013,2012,2013-03-31,0,66.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,US,AFY,ICC_MFG_CHEM_CD,2013,2012,2013-03-31,0,3.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,US,AFY,ICC_MFG_EM_APPR,2013,2012,2013-03-31,0,4.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,US,AFY,ICC_MFG_FP_BV,2013,2012,2013-03-31,0,8.0
